Gene = atk
index = 1615
Annotated 5SS: [ 117 5434 7993 8179]
Annotated 3SS: [5240 5492 8054 8233]
SMsplice 5SS: [ 117 5434 7993 8179]
SMsplice 3SS: [5240 5492 8054 8233]
top_k =  1000
Partition function (log Z): -0.6525196778431371

Sorted 5' Splice Sites (High to Low Probability):
Position 8179: 0.9991497960292735
Position 5434: 0.9891162581270244
Position 7993: 0.960854222866087
Position 117: 0.3976184578099496
Position 6112: 0.3627651755641591
Position 829: 0.298888981321461
Position 467: 0.1098027351614405
Position 991: 0.08329328058491835
Position 718: 0.06623609058297664
Position 6067: 0.05787614053412427
Position 1415: 0.05035575580271184
Position 9212: 0.03962932315012814
Position 7947: 0.03363832215399663
Position 9034: 0.032722719769199896
Position 7430: 0.024233747889427313
Position 147: 0.02239012214068752
Position 5843: 0.01866455883384693
Position 6464: 0.017980928532239274
Position 3042: 0.015338300692414946
Position 3046: 0.014455926147055728
Position 6178: 0.013587536151034344
Position 8368: 0.013383477775370366
Position 609: 0.012329654182841389
Position 38: 0.010935340440597758
Position 3237: 0.01003945705427579
Position 15: 0.009629180398411395
Position 2781: 0.008306266915746962
Position 8746: 0.008298485433440804
Position 480: 0.007547564869769725
Position 36: 0.007410077733679949
Position 6381: 0.00656841047367036
Position 5069: 0.006338904689076601
Position 8676: 0.005729032188743273
Position 1694: 0.005678764976521628
Position 3856: 0.00516641662001987
Position 606: 0.0051179938946814465
Position 5086: 0.004821944062150783
Position 4240: 0.004678032291667613
Position 796: 0.004545644415891926
Position 953: 0.004365524025751922
Position 6103: 0.004133501842028197
Position 4596: 0.00403126706734345
Position 7529: 0.00393988537308322
Position 542: 0.0038512893199990597
Position 4021: 0.0036462282192653355
Position 8553: 0.003645266594740003
Position 5759: 0.0034792332522144425
Position 770: 0.0032707104136068007
Position 1494: 0.0031463046727565145
Position 4945: 0.002853270089958691
Position 7420: 0.0027772464455021566
Position 601: 0.0026218744038140483
Position 5635: 0.0025933055551501834
Position 57: 0.0024981591028727223
Position 395: 0.002461336923625833
Position 8524: 0.002205773138969923
Position 30: 0.0021909781023499294
Position 41: 0.0021338480742744644
Position 6373: 0.0020683827225651354
Position 2524: 0.0019769050147611243
Position 8372: 0.001764919716838591
Position 9421: 0.001727482951131565
Position 657: 0.0014868454085803695
Position 209: 0.0014838189490912596
Position 5860: 0.001340606111969499
Position 2970: 0.0012288201512141112
Position 750: 0.0011926926990555489
Position 9395: 0.0011331825251632314
Position 6199: 0.0011266325795141752
Position 5725: 0.0010707643619969453
Position 3634: 0.0009168735491123322
Position 9169: 0.0008808993186245258
Position 5710: 0.0008318777413068183
Position 9362: 0.0006621666478213397
Position 5722: 0.0006472097835009062
Position 4711: 0.0006320850733776769
Position 599: 0.0006076434845220366
Position 841: 0.0005894383979882775
Position 5612: 0.0005208485652809149
Position 9649: 0.0005033909781130336
Position 6423: 0.0005024085165635178
Position 9059: 0.00046452353819354794
Position 984: 0.0004553887881480378
Position 2955: 0.0004255103056104377
Position 923: 0.00041008248502432066
Position 5969: 0.000377568248787561
Position 8480: 0.0003137307088188752
Position 9886: 0.0003001421531050285
Position 9166: 0.0002672952614929959
Position 5943: 0.0002495653205370444
Position 9005: 0.00023056214853015052
Position 9471: 0.00022401053610225313
Position 6116: 0.0001757104466362433
Position 5858: 0.00017512515380125687
Position 645: 0.00016790909192731629
Position 7911: 0.0001391266189685947
Position 5575: 0.00012130939702759408
Position 8340: 0.00011400390021959376
Position 5528: 8.969845577455963e-05
Position 9038: 8.674256437015417e-05
Position 2465: 8.498236706326911e-05
Position 6041: 8.335269340060608e-05
Position 6098: 8.157199753745065e-05
Position 9017: 6.99428424077232e-05
Position 5673: 6.465316047578917e-05
Position 6020: 5.7090149320508355e-05
Position 8183: 4.8108258922466334e-05
Position 8255: 4.7817569891313136e-05
Position 3050: 4.606806255231368e-05
Position 47: 4.5922677160839505e-05
Position 10093: 4.517067312704417e-05
Position 161: 4.335620493831742e-05
Position 8172: 4.177553363207111e-05
Position 9014: 3.5479922124741064e-05
Position 9278: 1.8998243950913713e-05
Position 156: 1.6189422339804927e-05
Position 727: 1.1591937316518927e-05
Position 1793: 1.1086032967873211e-05
Position 1262: 1.0473487751635802e-05
Position 1511: 8.461517523282723e-06
Position 577: 7.360944749852325e-06
Position 1138: 7.135693608640969e-06
Position 409: 6.476942106778482e-06
Position 8600: 5.921022340140895e-06
Position 8898: 5.0248233443543526e-06
Position 8538: 4.99913562982802e-06
