Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  1000
Partition function (log Z): -2.6666775974397456

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994475049210972
Position 192: 0.0005349786293664102
Position 534: 0.0002502171578680307
Position 433: 5.18723301003696e-05
Position 74: 5.036174562606339e-05
Position 452: 4.5503355050706576e-05
Position 289: 1.8308249952434027e-05
Position 423: 1.8182387910646428e-05
Position 183: 1.3929134243787475e-05
Position 470: 3.3068186477956814e-06
Position 512: 1.5386537551332453e-06
Position 525: 8.101254224755304e-07
Position 176: 6.726556292080319e-07
Position 181: 5.448669592944161e-07
Position 34: 3.358777545762638e-07
Position 97: 2.79387481016077e-07
Position 32: 1.8338508821234555e-07
Position 137: 1.4343586148311142e-07
Position 302: 1.238156427857209e-07
Position 27: 7.976255821540701e-08
Position 540: 5.685392517792186e-08
Position 152: 4.962400262797623e-08
Position 537: 2.6819633395167472e-08
Position 379: 1.8624090643540092e-08
Position 284: 1.296258386288533e-08
Position 52: 1.2261784585856186e-08
Position 543: 1.1635339324507803e-08
Position 255: 4.561430657551974e-09
Position 230: 7.442759497734128e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9975084203716655
Position 390: 0.0010108457793462447
Position 327: 0.0008525273685725877
Position 590: 0.0002714832533570578
Position 330: 0.00026053512103550426
Position 396: 0.00014593409299268372
Position 521: 0.00013834779851955246
Position 321: 9.257670471015551e-05
Position 282: 7.543598468680384e-05
Position 149: 2.8976575626351735e-05
Position 130: 1.715552617721056e-05
Position 554: 1.5800850425341826e-05
Position 533: 4.6695803166727495e-06
Position 137: 3.4917038960196466e-06
Position 298: 3.16650405243418e-06
Position 414: 2.5181995892345544e-06
Position 366: 2.3201426180732042e-06
Position 475: 1.918941848142918e-06
Position 537: 5.58992216967642e-07
Position 342: 5.393646844491207e-07
Position 426: 5.358222190434978e-07
Position 445: 4.001132436643601e-07
Position 97: 2.516311476227517e-07
Position 543: 2.1913297771029372e-07
Position 213: 1.5300579200912273e-07
Position 82: 8.70460549232335e-08
Position 105: 7.703419546343479e-08
Position 110: 6.053735231303917e-08
Position 117: 2.0981910888323398e-08
Position 436: 2.0648120274844012e-08
Position 430: 8.90051844213276e-09
Position 181: 7.3682789447901e-09
Position 423: 5.5416463319531845e-09
Position 132: 1.3711426419373494e-10
Position 188: 2.4527838302624832e-11
Position 192: 1.6454829489397122e-12
