Gene = trbl
index = 1918
Annotated 5SS: [1184]
Annotated 3SS: [4133]
SMsplice 5SS: [1184]
SMsplice 3SS: [4133]
top_k =  1000
Partition function (log Z): -6.260353524526224

Sorted 5' Splice Sites (High to Low Probability):
Position 1184: 0.9825566425769323
Position 2025: 0.4906397865188176
Position 4031: 0.2537264023745861
Position 4045: 0.15234719687255482
Position 4315: 0.050376539061526976
Position 260: 0.01739506572605213
Position 2893: 0.014834848424132178
Position 4941: 0.013820125908453905
Position 133: 0.009232783159826258
Position 58: 0.009044561025855928
Position 4319: 0.008906380714026902
Position 3933: 0.008221416038490824
Position 2990: 0.007985416023356338
Position 2021: 0.007431573875415773
Position 3213: 0.0071390816230298875
Position 1544: 0.0070045521792606764
Position 2074: 0.006686948873418432
Position 1548: 0.006483713295788099
Position 2903: 0.0056806013942783656
Position 1564: 0.005258464675414923
Position 1201: 0.005152767044479369
Position 2701: 0.004249908905831805
Position 1572: 0.0042466634781351655
Position 338: 0.004180936875556126
Position 2656: 0.003760524592193355
Position 2559: 0.0030325195755145935
Position 2964: 0.002805399092478069
Position 3406: 0.002765317294306645
Position 4944: 0.0026156593140877495
Position 3410: 0.002537094104204035
Position 4411: 0.00220043472977545
Position 2642: 0.0019174027632690878
Position 3104: 0.0017577553992654553
Position 97: 0.0017509789178408559
Position 2603: 0.0014641447056180418
Position 3054: 0.0013086336887499627
Position 4407: 0.0012812348794452833
Position 3361: 0.0012768767969323987
Position 2192: 0.0011943847512978206
Position 325: 0.0011744595273880472
Position 227: 0.0011266005356526136
Position 136: 0.0010239357161137717
Position 3454: 0.0010008729438377975
Position 513: 0.0009412481455264349
Position 2705: 0.0007688677919951211
Position 3938: 0.0007455600124290271
Position 2720: 0.0007130425599619532
Position 1874: 0.0007072512759606136
Position 840: 0.0005665452264408282
Position 161: 0.0005326645997225666
Position 1969: 0.0004922081695516905
Position 299: 0.00047700999302484684
Position 2548: 0.00047609086242063277
Position 819: 0.0004756509246805282
Position 3300: 0.0004640620880336129
Position 35: 0.00044701311186816914
Position 2585: 0.0004221027066509798
Position 4311: 0.00036987974881152655
Position 803: 0.00034650489761024685
Position 1988: 0.000346084443775402
Position 4641: 0.00031367017053930365
Position 1113: 0.0002824243900421711
Position 2036: 0.000281544393983849
Position 330: 0.0002420271172491842
Position 139: 0.00023969489411902802
Position 317: 0.00023737772541071266
Position 2148: 0.00023211969368683552
Position 67: 0.0002245184506164415
Position 1552: 0.00022245674724976976
Position 1979: 0.0001978309584679822
Position 248: 0.0001959858087124562
Position 3920: 0.00018487517740889257
Position 335: 0.00017449485260503266
Position 2023: 0.00017363103119551288
Position 364: 0.00014090020982412976
Position 2554: 0.00013582266034925145
Position 101: 0.0001337600933450631
Position 493: 0.00013335684194815117
Position 3365: 0.0001333132102539197
Position 2104: 0.00012953831270577
Position 2255: 0.00012937782816847785
Position 737: 0.00011382002015407821
Position 1455: 0.00011217707058402851
Position 1595: 0.00010925607251897128
Position 3971: 0.00010844083870753266
Position 814: 9.978426148333095e-05
Position 1754: 9.901340072323942e-05
Position 2795: 9.725331105210885e-05
Position 673: 9.527927339212721e-05
Position 1019: 9.181989978263272e-05
Position 1718: 9.03592556751535e-05
Position 1997: 8.831720694353416e-05
Position 3289: 8.22768113009787e-05
Position 2441: 8.057143761065457e-05
Position 1188: 7.835020405926571e-05
Position 53: 7.688408647859438e-05
Position 5087: 7.438316348199774e-05
Position 750: 7.178540350656863e-05
Position 414: 6.280762655848261e-05
Position 2029: 6.214507485334227e-05
Position 1937: 5.901388767174029e-05
Position 3903: 5.8042297469019805e-05
Position 3829: 5.6369858881307636e-05
Position 3711: 5.629787056576978e-05
