Gene = TyrRS
index = 1578
Annotated 5SS: [ 699 1128 1514]
Annotated 3SS: [ 760 1189 1572]
SMsplice 5SS: [ 699 1128 1514]
SMsplice 3SS: [ 760 1189 1572]
top_k =  1000
Partition function (log Z): 5.530792873697332

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9989239086043796
Position 1514: 0.989802664647889
Position 1128: 0.929415921733199
Position 1132: 0.044674923480067415
Position 866: 0.03677413458420633
Position 1071: 0.01688679475193712
Position 509: 0.01322194833129849
Position 1849: 0.0026413357353903214
Position 403: 0.0023395728668357744
Position 521: 0.002187339263750196
Position 955: 0.0016213866540182335
Position 590: 0.0010578430983488511
Position 340: 0.0007964994054357831
Position 1017: 0.0006869611751901176
Position 1302: 0.0006110914234287001
Position 1046: 0.0004592654570950653
Position 14: 0.0003680768251008109
Position 838: 0.00036721460981415966
Position 353: 0.0003584986701524649
Position 512: 0.00030910949298356164
Position 260: 0.00029149229838075394
Position 1311: 0.000261108812979224
Position 452: 0.00023259184673792225
Position 1293: 0.00014283953534236974
Position 62: 0.00012918705179090426
Position 646: 0.00011777305101442441
Position 439: 0.00010494342218058547
Position 367: 8.919725859271605e-05
Position 1497: 8.467265791312638e-05
Position 1063: 6.936143244614121e-05
Position 1691: 6.157072911135875e-05
Position 1305: 5.2714005321528785e-05
Position 1403: 5.2531786326407594e-05
Position 470: 4.586004322690548e-05
Position 907: 4.2917741214860725e-05
Position 313: 3.652375062801958e-05
Position 580: 3.11491462988262e-05
Position 543: 3.0378376222006232e-05
Position 1873: 2.9178581777650375e-05
Position 703: 2.8895094277126365e-05
Position 1398: 2.281340532320389e-05
Position 1518: 2.0236356062931273e-05
Position 1227: 1.4750879435791952e-05
Position 558: 1.4714922885063143e-05
Position 658: 1.211136741831997e-05
Position 1344: 8.579071956940049e-06
Position 223: 8.1049557061284e-06
Position 316: 7.950502280370575e-06
Position 271: 7.105580374774244e-06
Position 526: 6.331629016385109e-06
Position 407: 5.490877610389974e-06
Position 1318: 4.642066350245422e-06
Position 606: 4.3702309953361975e-06
Position 473: 4.038187193818252e-06
Position 1502: 3.1037812582680845e-06
Position 1586: 3.0728060612003338e-06
Position 1847: 2.5693230898053804e-06
Position 1443: 2.494369922554922e-06
Position 1484: 2.1445993658376863e-06
Position 1175: 2.0788958818763753e-06
Position 383: 1.9875193612540543e-06
Position 1437: 1.2655597984706313e-06
Position 1653: 1.179635217678659e-06
Position 916: 1.1603486633007358e-06
Position 215: 1.0347690343534638e-06
Position 611: 9.763351901553696e-07
Position 1589: 8.845890054288776e-07
Position 1742: 8.463204926075043e-07
Position 1693: 5.767044772533486e-07
Position 930: 5.661550181164367e-07
Position 1601: 5.523300509183904e-07
Position 430: 5.136848962105073e-07
Position 900: 4.1444864515924126e-07
Position 1390: 3.1256171969065725e-07
Position 921: 2.301822167103373e-07
Position 1158: 2.1062464240818162e-07
Position 1744: 1.751166283344602e-07
Position 1629: 1.3828176426331937e-07
Position 203: 9.404971821480755e-08
Position 985: 8.22038369447092e-08
Position 776: 3.721424903701134e-08
Position 1463: 1.850963431973342e-08
Position 786: 4.0996648556282437e-11
Position 1179: 5.61041700501531e-13
Position 760: 1.0083777161679571e-15
Position 1198: 5.894420927420798e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 760: 0.9986094390537631
Position 1189: 0.9965467464897301
Position 1572: 0.9887837374246653
Position 936: 0.03363467614716012
Position 565: 0.01850956265825819
Position 1921: 0.0021235129499776583
Position 641: 0.001444406265924784
Position 1942: 0.0007924703959113052
Position 460: 0.0005790591144337349
Position 1226: 0.000563663998880398
Position 1356: 0.00045575737072967715
Position 1653: 0.0004388182761307239
Position 1352: 0.0003357277346125178
Position 80: 0.0003259109155173325
Position 1720: 0.0003005171237981019
Position 912: 0.0002903667049723297
Position 1390: 0.00015413422904590778
Position 465: 0.00013673645023182005
Position 1687: 0.00013234682045619795
Position 112: 0.0001172533965282859
Position 783: 0.00011239260803137184
Position 1120: 0.00011137981552465232
Position 1460: 8.628157991076437e-05
Position 1005: 8.102498597316214e-05
Position 940: 7.406646968165799e-05
Position 1090: 7.168703715527287e-05
Position 352: 5.5150144020920514e-05
Position 1610: 5.498953115047133e-05
Position 427: 5.4433980443684036e-05
Position 1629: 5.1074825922974265e-05
Position 1017: 4.770258931043679e-05
Position 1378: 4.273637937772913e-05
Position 646: 3.699160451913694e-05
Position 115: 3.4780173615913295e-05
Position 723: 3.30894066901691e-05
Position 619: 3.26692772946175e-05
Position 1403: 3.093657478260846e-05
Position 580: 2.699021352298984e-05
Position 307: 2.6012369973371042e-05
Position 412: 2.3039191314016005e-05
Position 1418: 2.244088003964299e-05
Position 328: 2.182653486606957e-05
Position 1014: 1.8991802105851995e-05
Position 493: 1.6606405190169506e-05
Position 1690: 1.5246510963733462e-05
Position 496: 1.4614201351492907e-05
Position 1684: 1.2086524641232194e-05
Position 1672: 1.0056777834941224e-05
Position 439: 8.184927502820698e-06
Position 520: 8.003361523604118e-06
Position 1128: 7.22004884617181e-06
Position 1232: 7.054730949610385e-06
Position 658: 5.1836725843965085e-06
Position 1885: 4.53594649193203e-06
Position 1728: 4.49079459246588e-06
Position 946: 4.382650531809905e-06
Position 85: 4.368242887292482e-06
Position 810: 4.114792077751576e-06
Position 1301: 3.88215312170805e-06
Position 1750: 3.381226211708987e-06
Position 394: 3.298472210427695e-06
Position 506: 3.2836216476368384e-06
Position 1104: 3.065769227600612e-06
Position 843: 2.98837561398391e-06
Position 403: 2.9518191504302174e-06
Position 643: 2.7613533501123194e-06
Position 1774: 2.522358647154243e-06
Position 1421: 2.482327132588949e-06
Position 966: 2.4213843353220515e-06
Position 801: 2.3240736731613687e-06
Position 247: 2.222987585457524e-06
Position 436: 1.864528276881339e-06
Position 340: 1.7744608480285338e-06
Position 1056: 1.6829012884060687e-06
Position 589: 1.5837414538851531e-06
Position 1866: 1.4681017848150404e-06
Position 798: 1.3703927501319588e-06
Position 846: 1.1478498400834397e-06
Position 1257: 1.0796515019048836e-06
Position 1236: 8.663609578766956e-07
Position 361: 8.175173534739245e-07
Position 1239: 7.929065858174165e-07
Position 417: 7.469580117164963e-07
Position 508: 7.395109205225451e-07
Position 1071: 6.677496572503513e-07
Position 739: 4.829088601092305e-07
Position 82: 4.7009587509585726e-07
Position 954: 2.831671729798239e-07
Position 1469: 2.7037985486156074e-07
Position 251: 2.6607518492922983e-07
Position 849: 2.2673758085696072e-07
Position 1791: 1.904555103034265e-07
Position 1326: 1.5958526252746312e-07
Position 229: 1.1477465311574649e-07
Position 1415: 9.756907529631597e-08
Position 1068: 9.656936247916552e-08
Position 133: 9.396050878670233e-08
Position 526: 7.977570524697437e-08
Position 1783: 7.654990763209138e-08
Position 1029: 7.197159842849074e-08
Position 1198: 7.155384600339579e-08
Position 673: 5.569245861361884e-08
Position 972: 5.385105347063425e-08
Position 1266: 5.270364910915142e-08
Position 1158: 4.219198207611099e-08
Position 1669: 3.9686222156905045e-08
Position 1430: 3.944406471495772e-08
Position 1795: 2.783476132957497e-08
Position 1367: 2.1990646318390944e-08
Position 858: 2.1693267371471004e-08
Position 166: 1.663454383212527e-08
Position 625: 1.451416475252554e-08
Position 577: 7.973835642985029e-09
Position 1645: 7.539941482150608e-09
Position 1514: 6.739347596153962e-09
Position 1490: 5.067271022758273e-09
Position 142: 2.3517874702237283e-09
Position 89: 7.346495648550772e-10
Position 260: 1.40966200944183e-11
Position 196: 9.593224367071936e-13
Position 372: 5.896289930571965e-13
Position 154: 3.780266229747229e-15
