Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  1000
Partition function (log Z): 31.507506574225957

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9993521747411795
Position 872: 0.9939036280509952
Position 3481: 0.9928487553685921
Position 4124: 0.9887338939960999
Position 4353: 0.9868321808228636
Position 4936: 0.9829869046430169
Position 3827: 0.9815683021307817
Position 595: 0.9715377126286631
Position 231: 0.7065246749974179
Position 1535: 0.4300820890450573
Position 1508: 0.19056435522671514
Position 4616: 0.0889940162508387
Position 1257: 0.08308323645591405
Position 3923: 0.06041503325817207
Position 1283: 0.04878810025923296
Position 2877: 0.04854694026083329
Position 2663: 0.024247916580174247
Position 2703: 0.02314961088726496
Position 3934: 0.020749136880525768
Position 2517: 0.017479189536063616
Position 2099: 0.013657845601546596
Position 1263: 0.011055571398923235
Position 1539: 0.010990175151497554
Position 1226: 0.010783162622741297
Position 4958: 0.00989079122641227
Position 85: 0.009164003042623652
Position 3319: 0.007137127009476442
Position 4109: 0.006580989430719935
Position 2913: 0.006561914582557441
Position 4357: 0.0062060106665901395
Position 2244: 0.004085897588943733
Position 599: 0.0039098649405677685
Position 4128: 0.0032288477060286648
Position 372: 0.0029027891127928135
Position 858: 0.002860925391696438
Position 1352: 0.0028559073114000836
Position 4871: 0.002783780151482601
Position 2008: 0.002189614747139456
Position 590: 0.002165808214056431
Position 430: 0.002047932500599793
Position 876: 0.001988698343088115
Position 235: 0.0019396268082000887
Position 1038: 0.0015920858326380022
Position 1384: 0.0015639838180896422
Position 1191: 0.0013598544654943665
Position 2103: 0.0013422178281303323
Position 4337: 0.0012774756239362721
Position 4517: 0.0010091397763272755
Position 608: 0.0009301487710781719
Position 1294: 0.0008812219238464684
Position 1998: 0.0008636199973618959
Position 1477: 0.000854077014994056
Position 3279: 0.0008254052127630667
Position 5331: 0.0007585096704168846
Position 191: 0.0007497710669541925
Position 3866: 0.0006391619161259872
Position 1172: 0.0006304040485282377
Position 2254: 0.0006191166214159238
Position 2357: 0.0006056225621773965
Position 2056: 0.0005318051369897514
Position 5271: 0.0004738940265804001
Position 5179: 0.0004726523448540729
Position 4583: 0.0004514650176172269
Position 2690: 0.0003958556001984372
Position 237: 0.00038773235329504866
Position 2218: 0.000347506219528134
Position 1287: 0.00031515427141318354
