Gene = dbr
index = 1665
Annotated 5SS: [ 131  522 1026 1281 1542 4068]
Annotated 3SS: [ 193  906 1086 1409 1602 4124]
SMsplice 5SS: [1026 1281 1542 4068]
SMsplice 3SS: [1086 1409 1602 4124]
top_k =  1000
Partition function (log Z): -4.7227162157943035

Sorted 5' Splice Sites (High to Low Probability):
Position 4068: 0.9822209776771074
Position 1542: 0.8206579829369535
Position 1905: 0.49032206450676524
Position 1281: 0.35212669215396
Position 1026: 0.28640333187039196
Position 131: 0.21472823965508214
Position 522: 0.16287938028413898
Position 372: 0.15214291582300807
Position 1219: 0.11985466664826079
Position 466: 0.11738755520218284
Position 74: 0.06620193330484418
Position 2173: 0.06298213922778077
Position 2204: 0.05700173145078634
Position 515: 0.046890387616996126
Position 1852: 0.03263734047078754
Position 992: 0.023128677377209875
Position 2715: 0.022907806040357262
Position 47: 0.021907986889830627
Position 1534: 0.021075895068496164
Position 3556: 0.018944051381193715
Position 123: 0.016988342312523982
Position 3515: 0.014457836763013925
Position 4388: 0.014019168790089435
Position 1988: 0.013469305682797094
Position 493: 0.012029310877578308
Position 3010: 0.01109660662446026
Position 2887: 0.010930607138473986
Position 487: 0.010220885135496665
Position 509: 0.007679175519539108
Position 997: 0.006703872983865986
Position 4501: 0.0054750381534600726
Position 489: 0.005153580536901192
Position 2708: 0.004580516679431251
Position 857: 0.0038520686678996767
Position 2278: 0.0036833294817617728
Position 673: 0.0034574918925658962
Position 999: 0.00334289003455263
Position 4347: 0.00332907693607691
Position 995: 0.0027452041902274404
Position 1345: 0.0024530772136916504
Position 435: 0.002372299474273569
Position 1285: 0.002082419568932825
Position 4653: 0.001989794449359958
Position 1212: 0.0019028940482426451
Position 2038: 0.001478636074413608
Position 135: 0.0014567942650924987
Position 2225: 0.00138604528657202
Position 1209: 0.0012979685021289634
Position 152: 0.0012653003974698964
Position 656: 0.0012310842192670745
Position 660: 0.0011690112808701344
Position 1464: 0.0010057911523592136
Position 2489: 0.0008747239882935208
Position 630: 0.0008615032524616954
Position 461: 0.000849732940835747
Position 4325: 0.0008051871552217636
Position 528: 0.000764622566181144
Position 186: 0.00074187463308111
Position 2143: 0.0007141735243232119
Position 1514: 0.0005640866664748197
Position 599: 0.0005425233358418671
Position 2992: 0.0005228295760617473
Position 2122: 0.0005077803343417183
Position 2533: 0.0004458382795340772
Position 66: 0.0004303658676761344
Position 2730: 0.00035556943871653654
Position 2294: 0.00030282954278222944
Position 297: 0.00026649937975351245
Position 619: 0.00021482461494804736
Position 961: 0.00020402223158951926
Position 772: 0.00019870557824860774
Position 4444: 0.00018039990002396923
Position 1512: 0.00017475626494576477
Position 1003: 0.00016938929730639068
Position 1410: 0.00016438912194947892
Position 1980: 0.0001518369361815945
Position 2681: 0.00014868033535647305
Position 513: 0.00014755816683692535
Position 4204: 0.00014047186122508913
Position 939: 0.0001232888327001101
Position 4447: 0.00011435427156420394
Position 4338: 0.00011073036315616218
Position 1221: 0.00010383537853253004
Position 1478: 0.00010052625521152626
Position 1014: 9.820852057556e-05
Position 1366: 8.53624137987938e-05
Position 367: 7.401451082447542e-05
Position 4604: 5.677554859170693e-05
Position 4657: 5.4745282094775875e-05
Position 4509: 5.355579381806346e-05
Position 4181: 4.034344427311721e-05
Position 2665: 3.079828752026398e-05
Position 1963: 2.6589280964001653e-05
Position 4516: 2.271057067010976e-05
Position 519: 1.8412729113688976e-05
Position 593: 1.7084365096136772e-05
