Gene = Ced-12
index = 1065
Annotated 5SS: [ 225 1529 2141]
Annotated 3SS: [ 517 1588 2203]
SMsplice 5SS: [ 225 1529 2141]
SMsplice 3SS: [ 517 1588 2203]
top_k =  1000
Partition function (log Z): 2.4713550921900382

Sorted 5' Splice Sites (High to Low Probability):
Position 1529: 0.9982908181899672
Position 225: 0.9880257968814184
Position 2141: 0.9480079746689182
Position 603: 0.21876405151355935
Position 989: 0.08757897498189457
Position 1726: 0.08202584762794665
Position 2630: 0.05805507713790458
Position 2428: 0.04769085866422603
Position 916: 0.014621286654368805
Position 2284: 0.011457712782563089
Position 2357: 0.00892385695641419
Position 1775: 0.005038825877187674
Position 542: 0.004942530229132405
Position 518: 0.003609980102942483
Position 697: 0.003593616923917642
Position 229: 0.003408538700160401
Position 1260: 0.0032429790876620755
Position 2883: 0.003130239721331804
Position 1021: 0.003024748717696202
Position 800: 0.0025438206445886086
Position 2134: 0.0018280964188890749
Position 734: 0.0017369426182065426
Position 955: 0.001369458637154945
Position 1026: 0.0010366642237692094
Position 2554: 0.000813206304955278
Position 470: 0.0007722353785509008
Position 2256: 0.0007110733959039461
Position 415: 0.0005971426978820198
Position 986: 0.000550834115214473
Position 420: 0.00048445224476934283
Position 1909: 0.00047370731410067036
Position 301: 0.00045793698084514256
Position 1042: 0.00045324745605818546
Position 1485: 0.00043180496392017186
Position 1146: 0.0003209259543395644
Position 407: 0.00022213005043904814
Position 904: 0.00021425449243663366
Position 1720: 0.00018417131337672326
Position 2065: 0.00018343126488556497
Position 2866: 0.00012856617183500802
Position 1733: 0.00011628279752837163
Position 660: 0.00010583946087716416
Position 783: 9.47437503841155e-05
Position 1108: 9.203659632826189e-05
Position 2042: 7.32641534956328e-05
Position 1906: 6.657707968679865e-05
Position 57: 5.79099941734694e-05
Position 409: 5.44444632021585e-05
Position 2779: 3.74301197590597e-05
Position 2872: 2.9275718444673467e-05
Position 1589: 2.8496311772846034e-05
Position 134: 2.7025318950436916e-05
Position 1307: 2.578543179325778e-05
Position 321: 2.409166936856315e-05
Position 1812: 2.4033914902816886e-05
Position 1641: 2.3455356061695856e-05
Position 2781: 2.2113239006731595e-05
Position 2204: 1.8938920950077094e-05
Position 2543: 1.8052990600105588e-05
Position 1791: 1.776401082953244e-05
Position 2475: 1.747725821207277e-05
Position 713: 1.6175162177124733e-05
Position 646: 1.5539955904217823e-05
Position 347: 1.499397910606431e-05
Position 2040: 1.2362377383703283e-05
Position 12: 1.1745267140760075e-05
Position 190: 1.0642402833929336e-05
Position 1096: 9.852848078047245e-06
Position 401: 9.792834721112147e-06
Position 2909: 7.838674917734063e-06
Position 607: 7.715790516808334e-06
Position 311: 6.366993302982885e-06
Position 2877: 6.123677897783523e-06
Position 2824: 5.675473036281319e-06
Position 906: 5.289506409150238e-06
Position 152: 5.009222572720242e-06
Position 274: 4.523064052977285e-06
Position 579: 4.4930391126073756e-06
Position 1461: 4.205337216348413e-06
Position 20: 2.811876905634597e-06
Position 934: 2.5981749736296065e-06
Position 2334: 2.216633088364006e-06
Position 1673: 2.1187607284252603e-06
Position 1427: 1.924336612752376e-06
Position 1539: 1.6156244019885738e-06
Position 2632: 1.5629247398330547e-06
Position 1578: 1.5602041072795595e-06
Position 1837: 1.030444917932547e-06
Position 1654: 9.051831380072136e-07
Position 105: 6.884103138285661e-07
Position 1599: 4.430775688437186e-07
Position 1612: 2.7971055588758503e-07
Position 1562: 2.4660137503718206e-07
Position 493: 1.0977638544036811e-07
Position 164: 1.0789831153909172e-07
Position 546: 5.354542070588932e-08
Position 340: 4.023243745594543e-08
Position 2250: 1.7680474828132845e-08
Position 478: 1.47720312762445e-08
Position 880: 1.424197160947179e-08
Position 2592: 1.045541940183432e-08
Position 1002: 8.45579994730569e-09
Position 1447: 7.581073132466092e-09
Position 1418: 6.595633077768296e-09
Position 1264: 2.7922399755060685e-09
Position 1206: 2.6978380178626105e-09
Position 1691: 1.4705875415652803e-09
Position 1689: 1.4518573638718052e-09
Position 1983: 3.2720741795475826e-11
Position 1421: 6.659176622801916e-13
