Gene = Atg18b
index = 36
Annotated 5SS: [ 313 6656 7350]
Annotated 3SS: [5924 6803 7405]
SMsplice 5SS: [ 313 6656 7350]
SMsplice 3SS: [5924 6803 7405]
top_k =  1000
Partition function (log Z): -5.264702664126919

Sorted 5' Splice Sites (High to Low Probability):
Position 7350: 0.9539886209911128
Position 6656: 0.9486648351866088
Position 313: 0.4211420908557758
Position 474: 0.3638488159584037
Position 889: 0.09820543169270371
Position 7952: 0.05493616083506507
Position 7709: 0.05231903527448535
Position 412: 0.04734528799948384
Position 7713: 0.04330959173197169
Position 7534: 0.036613402769520714
Position 5387: 0.03564691607981033
Position 7326: 0.017803338819780582
Position 3247: 0.01762050817550653
Position 2606: 0.017134350174940798
Position 7770: 0.016850632721118555
Position 225: 0.016031353169085397
Position 1545: 0.015646396763982738
Position 7517: 0.015060522915523773
Position 470: 0.01093745175680285
Position 6660: 0.01070891288683749
Position 8018: 0.00978888480926349
Position 6735: 0.00936606278618534
Position 458: 0.008710186137470738
Position 1445: 0.007616224716192641
Position 1842: 0.007465297711261966
Position 915: 0.006791589672581309
Position 7662: 0.0049210804411347914
Position 6739: 0.004889352724486775
Position 4651: 0.004639856603107724
Position 3978: 0.003991549099218283
Position 3422: 0.003749201612346768
Position 511: 0.0034360557351130515
Position 509: 0.003350229019675066
Position 7830: 0.002879024605333787
Position 6637: 0.0024987987979396583
Position 7157: 0.002368366913060681
Position 1079: 0.002357732314447101
Position 7729: 0.002235437214040003
Position 4025: 0.0020562598722342032
Position 7075: 0.0019312872484435859
Position 2638: 0.001724702500520979
Position 223: 0.0016726326749166194
Position 2891: 0.0015274257834771723
Position 7695: 0.0014659585939251854
Position 505: 0.001294204312042528
Position 1592: 0.0012864600994014744
Position 507: 0.0012672403272103994
Position 445: 0.0011961250367722857
Position 2764: 0.001104461091112316
Position 109: 0.001027751839459619
Position 5372: 0.0009466260896656539
Position 466: 0.000944716333859905
Position 7511: 0.0008783506294938008
Position 1073: 0.0008694598117727713
Position 7573: 0.0008523195104901738
Position 480: 0.0008499264028415467
Position 927: 0.0008209735055003722
Position 462: 0.0008137768352220273
Position 7975: 0.0007952695002425669
Position 7192: 0.0007126037950892114
Position 1201: 0.0006512942747359801
Position 7717: 0.0006502625259511181
Position 2883: 0.0006362266807198773
Position 317: 0.0005550110157694713
Position 977: 0.0005414929642964005
Position 6696: 0.0005247789930016141
Position 7834: 0.0005058390486191433
Position 1939: 0.0005056795303339263
Position 624: 0.0005054887454448558
Position 2954: 0.0005018144377842523
Position 6950: 0.0004219684045560903
Position 631: 0.00039722940842880746
Position 4879: 0.00038549562088373334
Position 14: 0.00038493671565740736
Position 7608: 0.00036848193798288335
Position 515: 0.00034123699096892484
Position 765: 0.0003163793432571863
Position 8146: 0.0003073104032256839
Position 3807: 0.000288490109668772
Position 3545: 0.0002772239296263122
Position 7345: 0.00026871792411203757
Position 6058: 0.0002464131239152188
Position 158: 0.00022206276267134551
Position 3: 0.00020992800054282876
Position 2929: 0.00018998730914940296
Position 1238: 0.00018850278109843206
Position 217: 0.00017696373238748487
Position 2609: 0.00011107137134716105
Position 6941: 0.00010643957466137257
Position 6156: 9.885631321019198e-05
Position 6980: 9.725331053229108e-05
Position 7870: 6.593561814667046e-05
Position 7774: 5.8993399044042014e-05
Position 2016: 5.862989941133056e-05
Position 6275: 5.6358244946965595e-05
Position 8125: 5.5548667681907e-05
Position 6128: 4.7290417704932854e-05
Position 7906: 4.5303847114611174e-05
Position 7768: 3.662066266799538e-05
Position 1142: 2.0245808514246808e-05
Position 1186: 1.9422293181466105e-05
Position 832: 1.668485553421818e-05
Position 7653: 1.6634471008982187e-05
Position 2438: 1.6305610277154336e-05
Position 684: 1.5079178884789659e-05
Position 7113: 1.3546253887078397e-05
Position 5986: 1.287146348795347e-05
Position 6481: 1.182354218484649e-05
Position 810: 1.1802807366192723e-05
Position 1568: 1.0800273836529644e-05
Position 7954: 9.784569286040214e-06
Position 661: 9.630938278323036e-06
Position 10: 9.337842195616064e-06
Position 7842: 8.999225166758799e-06
Position 7123: 8.270150195974333e-06
Position 1722: 7.045201983470443e-06
Position 1610: 6.602049713517309e-06
Position 1457: 6.591732424689754e-06
Position 1095: 6.074196103984227e-06
Position 141: 5.792370677426139e-06
Position 1677: 4.753162349193612e-06
Position 1282: 4.488393134614224e-06
Position 2123: 4.215822270529953e-06
Position 1455: 4.0570332960209e-06
Position 1839: 3.986270465451271e-06
Position 974: 3.2883876998325606e-06
Position 355: 2.7058414492146148e-06
Position 1393: 2.629498535607996e-06
Position 1233: 2.516593245198522e-06
Position 1173: 1.4656822752728947e-06
Position 1145: 1.347245342688415e-06
Position 1055: 1.1694696359478892e-06
Position 1124: 9.152184021259741e-07
Position 85: 9.100878142977594e-07
Position 7: 7.755996907999965e-07
Position 1166: 6.954753718187327e-07
Position 513: 6.244956867346066e-07
Position 7057: 5.667905466550153e-07
Position 518: 3.6051625870983556e-07
Position 7223: 2.6133462978924755e-07
Position 436: 1.953921043789962e-07
Position 490: 1.9265530748989196e-07
Position 371: 1.503721936368153e-07
Position 156: 1.291710460334173e-07
Position 95: 1.2182354729413607e-07
Position 12: 1.0659677488573536e-07
Position 464: 8.270692998893335e-08
Position 7104: 5.97163415599662e-08
Position 5: 5.748678204207751e-08
Position 329: 4.9733896426355676e-08
Position 27: 3.667802324007123e-08
Position 543: 3.0255057827187194e-08
Position 52: 6.671947139849899e-09
Position 726: 4.03967610454294e-09
Position 500: 8.678505863773385e-15
Position 594: 6.083716497193936e-15
Position 502: 4.280622736852031e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 6803: 0.9722341310683471
Position 7405: 0.9519481812886474
Position 5924: 0.8725293119643808
Position 7825: 0.1262584406660092
Position 5975: 0.09339892945978022
Position 8065: 0.04774595853260541
Position 8017: 0.042496316103561055
Position 2685: 0.034899780186490766
Position 7797: 0.028930746551298347
Position 6812: 0.015130722644647803
Position 1291: 0.013713243083210355
Position 4878: 0.009444687581662689
Position 1742: 0.008481393283213685
