Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
top_k =  1000
Partition function (log Z): -6.034373872784618

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.9803143840566714
Position 1187: 0.07676851751266295
Position 1447: 0.024102144088481173
Position 949: 0.01621498824835066
Position 533: 0.0049124876983116725
Position 367: 0.002251599834816286
Position 1117: 0.002120481811181366
Position 295: 0.0016753143005980463
Position 49: 0.0016492356223019634
Position 1050: 0.0015318742121989053
Position 523: 0.0014784015900567464
Position 148: 0.001425078343565018
Position 1283: 0.0014052753506490062
Position 546: 0.0007024806648848336
Position 467: 0.0005893277711127799
Position 1548: 0.0005780928065515112
Position 139: 0.0005135598442627597
Position 819: 0.0005123101023150358
Position 9: 0.00044690052410448466
Position 1008: 0.00029542243553724087
Position 772: 0.0002765751511757246
Position 14: 0.0002283137877900583
Position 236: 0.00016540423502973026
Position 1416: 0.00015824873290760098
Position 678: 0.00015685967502278197
Position 738: 0.00013805004386875872
Position 25: 8.04236917395764e-05
Position 954: 7.895423885218268e-05
Position 611: 7.418411836864981e-05
Position 1608: 5.825877554999646e-05
Position 1829: 5.3678299239665114e-05
Position 1737: 4.9199345136820695e-05
Position 1719: 4.086344000561859e-05
Position 1316: 3.163393589568988e-05
Position 108: 3.0435122488144538e-05
Position 1499: 2.8337864845107296e-05
Position 1365: 2.55646652670338e-05
Position 220: 2.323991767488047e-05
Position 1405: 2.0752916206748734e-05
Position 1682: 1.852687533259604e-05
Position 909: 1.3552800851987416e-05
Position 393: 1.11542335510658e-05
Position 690: 8.037607121505917e-06
Position 1839: 3.669108839960759e-06
Position 937: 3.267710388888532e-06
Position 246: 3.1646770758775633e-06
Position 1854: 1.1648384119464017e-06
Position 1801: 9.468054267418576e-07
Position 1739: 7.923502748303731e-07
Position 645: 8.010517476987358e-08
Position 889: 2.8472321969825485e-08
Position 1137: 1.7012044078440473e-08
Position 642: 7.988967328648847e-09
Position 1191: 3.836905033410704e-09
Position 1096: 2.1430875163117274e-09
Position 619: 1.2825253440780932e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5837970924656685
Position 1099: 0.40916748249997603
Position 1652: 0.025585759139187158
Position 1608: 0.017942318562383052
Position 1494: 0.014219487402713372
Position 603: 0.010452615831168183
Position 1674: 0.008693203158123485
Position 1632: 0.008079674505509058
Position 1105: 0.006293865303922127
Position 1338: 0.0049034348759144
Position 1307: 0.0048467607990541174
Position 1548: 0.0032121010734190766
Position 1313: 0.002693975552512488
Position 1267: 0.0026387819219736695
Position 1765: 0.0024108847483135434
Position 1635: 0.00240367675844513
Position 1235: 0.0018415512918678887
Position 1806: 0.001632822914861749
Position 120: 0.00111490770637831
Position 899: 0.0007405204364983653
Position 1429: 0.000700550229344774
Position 1434: 0.0006772023583547993
Position 1768: 0.0006508126547719264
Position 1324: 0.0005921867965800388
Position 1405: 0.0005843845934014948
Position 606: 0.0005842169612560142
Position 419: 0.0005284239670094106
Position 431: 0.0004165248182889642
Position 266: 0.0003815032149686204
Position 889: 0.0003613764037371082
Position 1382: 0.00035559956885438196
Position 1412: 0.0003221075588292489
Position 1008: 0.0002622676332802654
Position 669: 0.0002111779831571317
Position 189: 0.0001758268978011671
Position 590: 0.00016782373746522224
Position 515: 0.00014827846197362754
Position 339: 0.00014042614648669915
Position 192: 0.0001118189131287148
Position 1199: 0.00010173355893018452
Position 1232: 9.532578005060966e-05
Position 630: 8.709393769521113e-05
Position 1554: 8.375444346227357e-05
Position 1910: 8.369273169776215e-05
Position 786: 7.862659761134235e-05
Position 1340: 7.267625744608896e-05
Position 1386: 6.380267006511151e-05
Position 661: 5.3550035629936996e-05
Position 1202: 5.080749891675785e-05
Position 1180: 3.512151918226493e-05
Position 865: 3.184232107863332e-05
Position 1277: 2.900748790605065e-05
Position 1154: 2.4151180135897345e-05
Position 1447: 2.38398367692035e-05
Position 627: 2.232289265762927e-05
Position 1166: 2.205786994392046e-05
Position 1121: 1.910595580161737e-05
Position 1347: 1.6904611925390296e-05
Position 1356: 1.642043672946734e-05
Position 291: 1.604619982014443e-05
Position 1839: 1.391765824606019e-05
Position 201: 1.3295507733614157e-05
Position 836: 1.236255069140294e-05
Position 1915: 1.1497040068906357e-05
Position 367: 1.0792063825818575e-05
Position 1143: 1.0756723509996087e-05
Position 328: 1.050255354851565e-05
Position 710: 9.001463196831924e-06
Position 834: 8.934646707992652e-06
Position 767: 8.722412032637038e-06
Position 482: 8.470027342647608e-06
Position 683: 8.253565296965346e-06
Position 241: 7.870135369450301e-06
Position 619: 6.841850635511526e-06
Position 236: 6.29298506161252e-06
Position 1682: 5.527985815107626e-06
Position 678: 5.506502945387747e-06
Position 1223: 5.168346863975619e-06
Position 523: 3.926697757821566e-06
Position 819: 3.6201154066464675e-06
Position 295: 3.2666449230361596e-06
Position 791: 3.076543529217972e-06
Position 738: 2.66384207010197e-06
Position 81: 2.51205404855604e-06
Position 853: 2.226221136795285e-06
Position 1271: 1.8678477595586774e-06
Position 734: 1.6426011020079637e-06
Position 435: 1.368888495703872e-06
Position 353: 1.1738342206569028e-06
Position 1041: 1.1357504374393737e-06
Position 572: 1.0535128901992212e-06
Position 1701: 9.406682717117103e-07
Position 465: 8.243813360245063e-07
Position 135: 8.102972749344501e-07
Position 533: 6.293315202265439e-07
Position 914: 5.975779423673189e-07
Position 634: 3.697258970383246e-07
Position 125: 3.652311111867249e-07
Position 443: 3.219078166121686e-07
Position 869: 3.0376929997778823e-07
Position 772: 2.766629987734816e-07
Position 148: 2.57543141259215e-07
Position 251: 2.1486788900572815e-07
Position 687: 2.0732981844082492e-07
Position 378: 1.6879186713628502e-07
