Gene = Mcr
index = 1273
Annotated 5SS: [ 172 3220 7063 7320 7555 7729]
Annotated 3SS: [2369 3314 7125 7379 7622 7814]
SMsplice 5SS: [ 172 3220 7063 7320 7555 7729]
SMsplice 3SS: [2258 3314 7125 7379 7622 7814]
top_k =  1000
Partition function (log Z): 17.121265301350856

Sorted 5' Splice Sites (High to Low Probability):
Position 7320: 0.9991409317968054
Position 3220: 0.9939645679458264
Position 7729: 0.9939640701202567
Position 7063: 0.986833488714944
Position 7555: 0.9778715960389457
Position 172: 0.7306494518310039
Position 1052: 0.20878866207974392
Position 2520: 0.16426432115177858
Position 5383: 0.10888548546482
Position 5494: 0.08370793214090193
Position 88: 0.07162572917486862
Position 425: 0.04933210336400224
Position 2789: 0.030317442538360308
Position 8629: 0.02968935278651053
Position 4294: 0.027147756624076095
Position 1047: 0.025505381919543445
Position 2090: 0.025396962849827096
Position 3460: 0.024025617213988548
Position 5368: 0.022392098332850496
Position 2008: 0.022221404409758217
Position 673: 0.020412093879399375
Position 2306: 0.016094928225620114
Position 7495: 0.015616027560540252
Position 31: 0.015379607903794555
Position 43: 0.012053169070011105
Position 649: 0.011411947434137266
Position 3391: 0.010804545928484849
Position 4669: 0.008068701733131602
Position 2143: 0.006401001807545173
Position 8357: 0.006082743420770476
Position 2988: 0.005928650098969154
Position 7760: 0.005367796704463619
Position 4003: 0.00536163218415564
Position 3547: 0.00497434978500634
Position 373: 0.0045199337214953785
Position 2542: 0.004465126674249551
Position 226: 0.004272986089698835
Position 3917: 0.0041575687528712536
Position 1311: 0.0039984708472763095
Position 4506: 0.003996585159370894
Position 3517: 0.003942091531849666
Position 379: 0.0029542341766409822
Position 7893: 0.002843077038019526
Position 1059: 0.002715909865245426
Position 4037: 0.002536612518362239
Position 5165: 0.0025126478381593516
Position 47: 0.00228355134803677
Position 1255: 0.002261568911656672
Position 8082: 0.002141749034480354
Position 3829: 0.0019141434978081485
Position 4498: 0.0017452638497440654
Position 4548: 0.0016956438464820539
Position 336: 0.001682953437524096
Position 347: 0.0016681677708512955
Position 1646: 0.0015495819280964011
Position 8274: 0.0012456146997837229
Position 4007: 0.0012410889259221332
Position 704: 0.001215250842701317
Position 994: 0.0011177993340637205
Position 4801: 0.0011131498944857623
Position 4054: 0.001032443273128302
Position 2815: 0.001015395690695672
Position 3706: 0.0009635491999151564
Position 4157: 0.0009520443459850253
Position 3711: 0.0009496297674080036
Position 4102: 0.000916709582703904
Position 1211: 0.0007975298845597145
Position 4699: 0.0007666135495263696
Position 972: 0.0007461311480432825
Position 7874: 0.0007000450897615199
Position 521: 0.0006947694145981864
Position 4585: 0.000691533198339564
Position 8053: 0.0006839337745158227
Position 321: 0.0006619502903020625
Position 2799: 0.0006467719561888673
Position 3621: 0.0006228648043728187
Position 3632: 0.0006188189677832024
Position 7733: 0.0005800687436638252
Position 4406: 0.0005487192597638493
Position 950: 0.0005322682195825425
