Gene = trc
index = 1919
Annotated 5SS: [ 695 1371 1535 2077]
Annotated 3SS: [1160 1427 1591 2133]
SMsplice 5SS: [ 695 1371 1535 2077]
SMsplice 3SS: [1160 1427 1591 2133]
top_k =  1000
Partition function (log Z): 9.433467440508336

Sorted 5' Splice Sites (High to Low Probability):
Position 1371: 0.9986130353210775
Position 1535: 0.995927775587751
Position 2077: 0.9887591664893559
Position 695: 0.9372634754276074
Position 1270: 0.13723949994588228
Position 1748: 0.03566411615639369
Position 664: 0.0240041078146217
Position 737: 0.01776901560805107
Position 2211: 0.011428260497231769
Position 1081: 0.007870044264595873
Position 2754: 0.0069592437094714524
Position 2280: 0.004953130714452512
Position 1689: 0.004087108009473577
Position 3214: 0.004007609257076189
Position 2525: 0.0036417054284018945
Position 1727: 0.003259501118534015
Position 2482: 0.0031708415724661597
Position 3031: 0.0031450757550315297
Position 296: 0.002985557673951215
Position 2158: 0.0027804317745880073
Position 1259: 0.00226417350751418
Position 2016: 0.002091657355599374
Position 530: 0.002052701980512449
Position 90: 0.001824826503836198
Position 88: 0.0015865074183529033
Position 2081: 0.0015163310810539991
Position 679: 0.0011124645794980507
Position 2906: 0.0010990573491917583
Position 671: 0.0010670036193425733
Position 1812: 0.0009446480598568288
Position 1526: 0.0007891488410079274
Position 623: 0.0006292513533913369
Position 1987: 0.0006165864103127766
Position 3233: 0.000557901830590698
Position 741: 0.0005484175673119047
Position 477: 0.0005460368566387339
Position 1659: 0.0004985265751608529
Position 2612: 0.00043821162411573585
Position 1070: 0.0004033753442492748
Position 1740: 0.00036054953621128126
Position 565: 0.0003329568600083237
Position 3186: 0.00029378115892101655
Position 761: 0.00029274467803101523
Position 1730: 0.000243526462210401
Position 614: 0.00023838911469578142
Position 1946: 0.00023118339234501435
Position 525: 0.00023097404401449604
Position 1025: 0.000220218395037827
Position 2409: 0.00021291762365078124
Position 1107: 0.00021192950015701034
Position 3037: 0.0002081533774125953
Position 668: 0.000205307895367157
Position 185: 0.00020315731476114725
Position 3090: 0.00019654681405372688
Position 578: 0.00019302939883183908
Position 243: 0.00016923271775353592
Position 2608: 0.00015917542834898978
Position 2225: 0.00014039606442001136
Position 2747: 0.0001282421887420657
Position 753: 0.00012697218753149973
Position 2486: 0.00011720198440353868
Position 106: 0.00011106753225704889
Position 1036: 0.00010035458404493025
Position 3052: 9.396701914798293e-05
Position 2178: 8.914110804128652e-05
Position 970: 8.607337384070325e-05
Position 2758: 7.8550946558135e-05
Position 503: 6.507516373225795e-05
Position 2568: 5.840323917150985e-05
Position 2266: 5.508095521274871e-05
Position 2477: 5.2895455275356776e-05
Position 1542: 5.101422980774362e-05
Position 326: 5.039964164496529e-05
Position 92: 4.470576808022539e-05
Position 2433: 3.999238296164887e-05
Position 2779: 3.748027430750647e-05
Position 2260: 3.5842568556335e-05
Position 539: 3.57537041325154e-05
Position 2320: 3.5691228772565203e-05
Position 976: 2.8924066213769442e-05
Position 647: 2.8408244033647148e-05
Position 3304: 2.8381458689315525e-05
Position 2407: 2.439867706709721e-05
Position 2603: 2.392482189144946e-05
Position 2595: 2.3368224627808644e-05
Position 3194: 1.984244713789316e-05
Position 2494: 1.6993541187925675e-05
Position 448: 1.635059516940581e-05
Position 334: 1.6079268557007263e-05
Position 2195: 1.5752881569289818e-05
Position 699: 1.5143284817706172e-05
Position 94: 1.4961250254111717e-05
Position 479: 1.4588025145125917e-05
Position 2729: 1.4227502493850389e-05
Position 2394: 1.3701280604651323e-05
Position 301: 1.3032835484172446e-05
Position 917: 1.2454572100915542e-05
Position 2670: 1.1499070199720912e-05
Position 1930: 1.1266690934283003e-05
Position 1204: 9.137131446674364e-06
Position 1375: 8.41019673587122e-06
Position 687: 7.5304842515454205e-06
Position 420: 5.650671280346052e-06
Position 799: 5.587712494488957e-06
Position 2853: 4.774955774202166e-06
Position 930: 4.706323573426498e-06
Position 1201: 4.30988855772677e-06
Position 801: 3.1658028048596015e-06
Position 2805: 3.0527884981223715e-06
Position 2063: 2.8865117374011585e-06
Position 3024: 2.8571368583677e-06
Position 2051: 2.816204500941975e-06
Position 1993: 2.111247873742019e-06
Position 3040: 2.045850052888891e-06
Position 874: 1.9393148643765544e-06
Position 2769: 1.809442528333168e-06
Position 2323: 1.5856814540187378e-06
Position 879: 1.3744755142086607e-06
Position 1130: 1.3559507344763104e-06
Position 1309: 1.3158441077632783e-06
Position 520: 1.2796380038376378e-06
Position 1463: 9.491621281247178e-07
Position 563: 6.21420118514653e-07
Position 933: 5.999993480755362e-07
Position 394: 4.4540790230577056e-07
Position 534: 4.2018575982918255e-07
Position 1560: 3.0491746720104573e-07
Position 1612: 3.010741360524884e-07
Position 955: 1.4134741108542236e-07
Position 1622: 1.3234844701573676e-07
Position 1918: 9.663863577819248e-08
Position 1619: 9.371954662593684e-08
Position 2504: 7.579773506131877e-08
Position 641: 6.621105948369291e-08
Position 2061: 6.537416991842837e-08
Position 2792: 6.279822042478524e-08
Position 2606: 5.522255770020937e-08
Position 2551: 5.243383233072177e-08
Position 1122: 5.076460629551099e-08
Position 2036: 4.159571882117032e-08
Position 1190: 3.634421692823727e-08
Position 1445: 3.5075490953456435e-08
Position 1968: 2.262447456837595e-08
Position 2010: 1.4894581638248962e-08
Position 1591: 9.810896413757078e-09
Position 1950: 3.2497133582120115e-09
Position 1955: 1.7720674793183105e-09
Position 1493: 1.5618906384831035e-11
Position 2119: 1.178909861791041e-11
Position 1583: 1.2278769048326032e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1427: 0.9977308194751335
Position 2133: 0.9910242836229775
Position 1160: 0.9890709801696633
Position 1591: 0.9740539595663152
Position 1321: 0.14417218579594962
Position 1796: 0.02934936899961781
Position 1848: 0.024869049478134272
Position 2742: 0.011357373098892986
Position 3378: 0.00992427713188034
Position 1579: 0.008918692524909799
Position 2805: 0.007714439513755417
Position 3273: 0.006197901174315697
Position 1122: 0.004031290183634688
Position 2423: 0.002254386235027991
Position 2633: 0.002165399366798001
Position 1654: 0.001577038180773806
Position 2494: 0.001189501282081721
Position 2620: 0.0010757302832068976
Position 1700: 0.0007554878507920413
Position 2237: 0.0007539708057187044
Position 151: 0.0007369589464175049
Position 2500: 0.0006923509310311578
Position 577: 0.0006612769196299618
Position 735: 0.0006056955034328146
Position 2792: 0.0006021399574518173
Position 3109: 0.0005886550562336484
Position 2153: 0.0005113417825974937
Position 550: 0.0005036284560788064
Position 3233: 0.00042585716202621696
Position 1476: 0.0003946533723199664
Position 1874: 0.0003879250075257404
Position 3364: 0.0003641578784376633
Position 988: 0.0003085128079124788
Position 1521: 0.00028238049350481545
Position 2317: 0.0002798618526768354
Position 177: 0.000271164951695802
Position 1850: 0.0002512728834295431
Position 1232: 0.00024301284259615598
Position 2447: 0.00024010603627596112
Position 364: 0.0002321700412491491
Position 2716: 0.00022606040308541676
Position 2853: 0.00021908003587493754
Position 211: 0.00021182880389062432
Position 1229: 0.00018227922275244548
Position 2869: 0.00017677647731026303
Position 1689: 0.00016638573004101618
Position 352: 0.00016099248957202392
Position 544: 0.00015870184246362598
Position 1865: 0.00015305534883406916
Position 2524: 0.00014272854894535294
Position 1811: 0.00013909037665698379
Position 1607: 0.00013432533507737397
Position 3220: 0.00011831481338963334
Position 1463: 9.107907521706775e-05
Position 2894: 8.14974835488849e-05
