Gene = Adhr
index = 13
Annotated 5SS: [  92  886 1356 2092 2923]
Annotated 3SS: [ 750  950 1425 2517 2973]
SMsplice 5SS: [  92  886 1356 2923]
SMsplice 3SS: [ 226  950 2517 2973]
top_k =  1000
Partition function (log Z): 1.6990162683461187

Sorted 5' Splice Sites (High to Low Probability):
Position 1356: 0.9963274538433404
Position 2923: 0.9866968828694855
Position 886: 0.7941087898562886
Position 92: 0.7594941020176484
Position 2092: 0.266170357808183
Position 1696: 0.15598947527337934
Position 428: 0.12175066964733952
Position 2096: 0.07572205044121696
Position 633: 0.04754074963433402
Position 2187: 0.02829358891751798
Position 325: 0.02763247954701143
Position 672: 0.01474621699020607
Position 182: 0.012658384928553888
Position 1020: 0.01166238323435853
Position 2462: 0.010569722105608283
Position 172: 0.010249452309373469
Position 2068: 0.008562505295574938
Position 2112: 0.005946794847694444
Position 153: 0.005673807610897969
Position 926: 0.0050332049559607675
Position 2417: 0.003462327847428225
Position 1512: 0.0032821836301057446
Position 2696: 0.003047104470413925
Position 2706: 0.002641526734105477
Position 2656: 0.0025055011019421308
Position 2813: 0.0019295805752447294
Position 1246: 0.001753256003145632
Position 627: 0.0014641104317930033
Position 1249: 0.0012203754855690666
Position 514: 0.0011034111827265788
Position 2896: 0.00099878586477062
Position 2915: 0.0008955122214447007
Position 2170: 0.0007692503287197463
Position 1531: 0.0005054716894201666
Position 1998: 0.000431933754846049
Position 1135: 0.0004040712311347428
Position 1741: 0.0003960894225108272
Position 391: 0.0003378765778563121
Position 654: 0.0002925282961664228
Position 25: 0.00027532379030641244
Position 957: 0.00026251408636559424
Position 1732: 0.00023348814038677679
Position 415: 0.00020191627968303277
Position 609: 0.00019942709301028127
Position 96: 0.00015592314788948604
Position 248: 0.0001453804556047356
Position 193: 0.00013715032112166737
Position 3127: 0.00013274771668365953
Position 56: 0.00012936928248350452
Position 814: 0.00010480136423148662
Position 1240: 0.0001005477450046057
Position 329: 9.748567622721052e-05
Position 1662: 7.788163781967928e-05
Position 1492: 7.552022775399296e-05
Position 2383: 7.322737243241884e-05
Position 130: 7.170762213498948e-05
Position 1519: 6.508455360131243e-05
Position 541: 4.986124552085355e-05
Position 3207: 4.8053283669373726e-05
Position 2307: 4.616605760492903e-05
Position 1047: 3.838756858985792e-05
Position 3246: 3.1404932897942096e-05
Position 937: 2.6407264399707298e-05
Position 2879: 2.3826323426090206e-05
Position 295: 2.3051757601917283e-05
Position 370: 2.1095649635031086e-05
Position 845: 1.7982776430274693e-05
Position 1191: 1.7899718182461427e-05
Position 35: 1.618665401578817e-05
