Gene = Top2
index = 1564
Annotated 5SS: [ 240  952 1763 2244 5348]
Annotated 3SS: [ 696 1174 1819 2309 5428]
SMsplice 5SS: [ 240 1763 2244 5348]
SMsplice 3SS: [1174 1819 2309 5428]
top_k =  1000
Partition function (log Z): 10.736300400734233

Sorted 5' Splice Sites (High to Low Probability):
Position 2244: 0.9989546282681244
Position 5348: 0.9967124919363585
Position 240: 0.9932420940058557
Position 1763: 0.9843378603492964
Position 2730: 0.48108818734720715
Position 3967: 0.4067871001330529
Position 952: 0.35162239137180773
Position 1327: 0.2740429472230672
Position 3254: 0.09898199482404788
Position 5681: 0.07083578441900316
Position 4710: 0.05850552440327634
Position 3551: 0.047710902537698385
Position 933: 0.041571438125705476
Position 1021: 0.03757720237807856
Position 4115: 0.034569274769809887
Position 1552: 0.0265608471947919
Position 5865: 0.021687784294535387
Position 5499: 0.017714299929665275
Position 1333: 0.01701715679024212
Position 4122: 0.01644011520584827
Position 2350: 0.01643291610220487
Position 3815: 0.012239703222073944
Position 3281: 0.010835159539041888
Position 1358: 0.010242518677057165
Position 3593: 0.010231011920177554
Position 817: 0.009484140951498701
Position 3940: 0.009218980490543514
Position 1619: 0.008324819214306703
Position 3491: 0.008057552226446402
Position 2336: 0.007990767999875996
Position 4221: 0.007241846254817509
Position 3876: 0.007000682975390049
Position 2099: 0.006928118670767777
Position 3303: 0.0058479331962404
Position 821: 0.004768403997728033
Position 618: 0.004152581355840535
Position 3924: 0.0039301886727148155
Position 640: 0.0037441062336370586
Position 1961: 0.003652807955560655
Position 3809: 0.003643797262343958
Position 1994: 0.0033744912903299895
Position 3639: 0.002925930325958841
Position 608: 0.00291946088161876
Position 2682: 0.002894712370507813
Position 3572: 0.0028156618567030463
Position 3452: 0.0027882886202977557
Position 5869: 0.0024846095234501023
Position 905: 0.0024682032339601264
Position 1331: 0.0021155214374990313
Position 3184: 0.0018168386749731354
Position 66: 0.0017064225562676125
Position 1095: 0.0015962689481217414
Position 3787: 0.001567320570643497
Position 3100: 0.0014488228091993553
Position 446: 0.0012805307886503466
Position 1085: 0.0012629249430553548
Position 2744: 0.0011073061024393848
Position 1025: 0.0010971783719595754
Position 826: 0.0010506127345903708
Position 1123: 0.0009592123415330307
Position 3497: 0.0009068152932763751
Position 977: 0.0008944901266531967
Position 3937: 0.0008515223131289469
Position 5890: 0.0008244450297287449
Position 1967: 0.0008205216065688651
Position 5360: 0.0008098553576138543
Position 3486: 0.0007170275232131339
Position 2675: 0.0006713617602454378
Position 645: 0.0006487304154240521
Position 2497: 0.0005972409311095125
Position 379: 0.0005771782650608913
Position 5908: 0.00048169430390616365
Position 2919: 0.00043914398818018267
Position 3117: 0.0004304443996009365
Position 1030: 0.0004121491896988393
Position 1291: 0.0004031552468157409
