Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
top_k =  1000
Partition function (log Z): -2.1802991081319174

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9174005887819202
Position 109: 0.08214990486381643
Position 332: 0.0016331377898737667
Position 464: 0.0003565272414366258
Position 575: 0.00019641521072890128
Position 52: 0.00016878543301480854
Position 81: 0.00014082244603355224
Position 375: 0.00011971072840631361
Position 411: 0.00011416277206563725
Position 70: 0.00010660299992113224
Position 378: 0.00010616469000967418
Position 456: 6.992459851591331e-05
Position 311: 6.959964452465687e-05
Position 315: 5.188292238120836e-05
Position 425: 3.6276395765755505e-05
Position 300: 3.521572925698046e-05
Position 421: 3.354217118291138e-05
Position 303: 2.8714629315925458e-05
Position 104: 2.6576395832163983e-05
Position 755: 2.0863376476817372e-05
Position 498: 1.1473803848742726e-05
Position 291: 6.797567961166617e-06
Position 659: 5.8261066970359956e-06
Position 4: 4.446082296541342e-06
Position 350: 3.3304138748815377e-06
Position 747: 2.910098180749047e-06
Position 483: 2.7020742634287997e-06
Position 509: 2.0251870977534843e-06
Position 475: 1.2447617811875728e-06
Position 362: 9.75797452378686e-07
Position 288: 6.876719950356407e-07
Position 737: 6.062032235083417e-07
Position 439: 5.929209576972413e-07
Position 437: 3.032989038120248e-07
Position 282: 1.998966331446255e-07
Position 640: 1.578555694040155e-07
Position 431: 9.708014859956134e-08
Position 629: 1.839986391903609e-08
Position 260: 3.0553472580957475e-09
Position 695: 1.3254716384000038e-09
Position 608: 2.75907226579164e-10
Position 191: 5.253373639232762e-13
Position 232: 3.452342445944002e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.998521937423338
Position 624: 0.0013889012815524581
Position 453: 0.0012180162041451543
Position 191: 0.0012064527933163536
Position 520: 0.0001941951014423505
Position 509: 8.942002944709016e-05
Position 331: 8.754792510316269e-05
Position 475: 5.897400588612457e-05
Position 818: 3.612649931953284e-05
Position 401: 2.6315438962255723e-05
Position 355: 2.3308353576088222e-05
Position 538: 2.216356876128369e-05
Position 558: 1.6212504105814322e-05
Position 109: 5.1425765546971945e-06
Position 311: 2.8685484889209623e-06
Position 604: 2.658487160355511e-06
Position 782: 2.2824038800060292e-06
Position 337: 2.1645834366773384e-06
Position 651: 1.4836347396781553e-06
Position 583: 1.3871338976013996e-06
Position 637: 6.660017864080889e-07
Position 805: 5.259016447113362e-07
Position 640: 2.3537251554430288e-07
Position 789: 2.1327900723699411e-07
Position 712: 2.1058093488715552e-07
Position 586: 1.046052664293517e-07
Position 709: 9.397260727163768e-08
Position 690: 8.00673409352864e-08
Position 755: 6.133671317060333e-08
Position 677: 3.900065639673991e-08
Position 658: 1.069295901661591e-08
Position 664: 9.424581992896819e-09
Position 721: 6.763289252763058e-09
Position 655: 1.1741725652492765e-09
Position 421: 1.012152866872392e-09
Position 63: 6.606776135826156e-10
Position 70: 2.8046758321571373e-10
Position 104: 7.234248372793826e-11
Position 52: 2.285410211467758e-12
