Gene = gkt
index = 1716
Annotated 5SS: [ 199  800 1250 1903]
Annotated 3SS: [ 252  859 1304 1962]
SMsplice 5SS: [ 199  800 1250 1903]
SMsplice 3SS: [ 252  859 1304 1962]
top_k =  1000
Partition function (log Z): 9.154067882035937

Sorted 5' Splice Sites (High to Low Probability):
Position 800: 0.9952526532134819
Position 199: 0.994148445177932
Position 1903: 0.9416569055655588
Position 1250: 0.865930432434191
Position 1231: 0.10115326282072662
Position 2267: 0.04778433095201299
Position 2328: 0.03564924260413919
Position 2090: 0.032821989475838254
Position 933: 0.005641759382056489
Position 1912: 0.005459294291235081
Position 804: 0.004431977436821226
Position 1776: 0.0035392001767853487
Position 203: 0.003184058332536982
Position 1907: 0.0023845006707336747
Position 2182: 0.0018260435557293227
Position 2153: 0.001354333255158273
Position 417: 0.0010968500596443445
Position 1988: 0.000861649616190362
Position 1023: 0.0007795345351220605
Position 1240: 0.0007787876440116928
Position 2172: 0.0007408286509011695
Position 1184: 0.0006663155423476052
Position 1046: 0.0006626242521294178
Position 1764: 0.0004535760980248558
Position 1141: 0.00044464966254958565
Position 1172: 0.0004140202170573417
Position 41: 0.0002633782495457335
Position 1770: 0.0002557733906477988
Position 1179: 0.00023033438438676434
Position 1900: 0.00022901923791644987
Position 2341: 0.00018657528193671244
Position 2106: 0.0001473548511916354
Position 576: 0.00012867862736610494
Position 1623: 0.0001135028471363517
Position 1026: 0.0001096624117131537
Position 2140: 9.218708963929443e-05
Position 1474: 7.436659807549286e-05
Position 1879: 7.155009949832771e-05
Position 1588: 6.706148422555873e-05
Position 920: 5.457706917451669e-05
Position 1531: 5.267954600829876e-05
Position 965: 5.16995260108594e-05
Position 43: 3.9637992633845014e-05
Position 2032: 3.720253604311338e-05
Position 1351: 3.2131605035486624e-05
Position 2357: 3.1049452043395785e-05
Position 2013: 3.0344980492210368e-05
Position 1997: 2.7755264291435404e-05
Position 482: 2.4607751193587453e-05
Position 948: 2.1222507232143875e-05
Position 1266: 1.6577850115732865e-05
Position 1113: 1.5910315121039206e-05
Position 753: 1.5844875884944725e-05
Position 1768: 1.4538422289295619e-05
Position 1501: 9.973896110047717e-06
Position 90: 9.50501547796725e-06
Position 573: 9.188188046422308e-06
Position 632: 9.06025524670853e-06
Position 992: 9.029913109845815e-06
Position 455: 8.990088260123904e-06
Position 1271: 8.710552365555632e-06
Position 2350: 8.09369142888422e-06
Position 1780: 5.0357635559680885e-06
