Gene = Scox
index = 1476
Annotated 5SS: [504]
Annotated 3SS: [566]
SMsplice 5SS: [504]
SMsplice 3SS: [566]
top_k =  1000
Partition function (log Z): -1.7550780942938375

Sorted 5' Splice Sites (High to Low Probability):
Position 504: 0.9973329952692709
Position 105: 0.17106288631916863
Position 76: 0.015827193019615392
Position 134: 0.0032263553703738143
Position 653: 0.002126299608670342
Position 500: 0.0012802957834273526
Position 508: 0.0011492552191991769
Position 638: 0.0006240196959666943
Position 280: 0.00046118958174577826
Position 321: 0.00026472773733885856
Position 973: 0.00017242385906862957
Position 820: 0.00010628456631872794
Position 10: 8.666337050753623e-05
Position 859: 5.812087285136963e-05
Position 624: 5.4177980287142306e-05
Position 949: 5.152675993363636e-05
Position 990: 4.039482662139105e-05
Position 957: 3.957531692015849e-05
Position 695: 2.6193216492720013e-05
Position 641: 2.22959092195438e-05
Position 661: 2.1633425366296732e-05
Position 1003: 1.9836858096913652e-05
Position 144: 1.972526922260103e-05
Position 284: 1.6283495130420377e-05
Position 147: 1.4393822939239019e-05
Position 960: 1.4270973717329393e-05
Position 213: 1.395943526577271e-05
Position 878: 1.3556218827009324e-05
Position 796: 1.1862244180019197e-05
Position 713: 9.90603344635249e-06
Position 491: 8.70011260535626e-06
Position 174: 7.800453322340176e-06
Position 919: 7.639589005301886e-06
Position 357: 7.634106922612295e-06
Position 803: 6.293862520346614e-06
Position 731: 5.258573550436193e-06
Position 892: 4.613591522976624e-06
Position 266: 2.860907625680874e-06
Position 861: 2.304425406178027e-06
Position 231: 1.9072936605184126e-06
Position 611: 1.6192347982885034e-06
Position 776: 1.6017535819870516e-06
Position 368: 1.3532046198695436e-06
Position 488: 1.1111987208018355e-06
Position 415: 1.09712407209665e-06
Position 112: 9.79263368094399e-07
Position 590: 9.761770174382947e-07
Position 571: 3.932126457731509e-07
Position 1012: 3.8231382944015305e-07
Position 952: 2.4775421779003735e-07
Position 824: 1.757924119133446e-07
Position 386: 1.2887879193443868e-07
Position 715: 8.716885806519494e-08
Position 239: 2.2379875633299435e-08
Position 548: 2.078117122586527e-12
Position 459: 7.019531112156173e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 566: 0.9985831044213679
Position 194: 0.18207638195671458
Position 134: 0.004283248332632145
Position 741: 0.0025769848535647853
Position 206: 0.0016582513915706118
Position 231: 0.0008392619049272307
Position 379: 0.0008227787200875144
Position 713: 0.0005530056260324418
Position 228: 0.0004904418672332148
Position 163: 0.00043007883054797195
Position 571: 0.0004127977476520235
Position 590: 0.00019108951143175076
Position 1053: 0.0001903164965978994
Position 729: 0.00018414505609051505
Position 587: 0.00015582874158973114
Position 1059: 0.00015290027706231512
Position 887: 0.0001106878179441333
Position 1012: 0.00011019170226674016
Position 141: 8.358251739942695e-05
Position 410: 5.6028414756988756e-05
Position 620: 4.577173540824026e-05
Position 289: 4.1398509054598454e-05
Position 721: 2.792386757279299e-05
Position 211: 2.773239294098763e-05
Position 69: 2.5319694349587585e-05
Position 820: 2.3052292245626084e-05
Position 66: 2.1509251927416476e-05
Position 344: 1.6284902655450194e-05
Position 357: 9.859289920263178e-06
Position 913: 8.798086757978137e-06
Position 924: 3.882723689487483e-06
Position 341: 2.8319581968690496e-06
Position 473: 2.7885546923864997e-06
Position 853: 2.5074877771478845e-06
Position 263: 2.254007265335866e-06
Position 400: 2.2053097227137762e-06
Position 859: 1.5108576278869408e-06
Position 635: 1.2539101791108126e-06
Position 368: 1.0807498866303668e-06
Position 257: 8.92537313237602e-07
Position 595: 7.087611241425268e-07
Position 295: 6.645519094378423e-07
Position 928: 5.660978629815344e-07
Position 659: 3.9000691086498845e-07
Position 325: 2.729761929153711e-07
Position 81: 2.493960642672087e-07
Position 248: 1.6947904257924478e-07
Position 304: 1.4711146850025899e-07
Position 383: 6.948479927852966e-08
Position 892: 5.952591977962573e-08
Position 298: 4.457570630974582e-08
Position 475: 4.2231843250812554e-08
Position 109: 2.940777260510044e-08
Position 637: 2.7334044317642973e-08
Position 266: 2.6663522273206275e-08
Position 942: 2.006477008526356e-08
Position 478: 1.4916177322852077e-08
Position 500: 1.165657361013342e-08
Position 415: 9.541200880564176e-09
Position 316: 1.5071560129912867e-09
Position 469: 4.992172146785163e-10
Position 319: 3.3865562217091435e-10
Position 511: 3.3290181132804634e-13
Position 309: 3.962933701445862e-17
Position 291: 4.777159614898762e-19
