Gene = Rdh
index = 1417
Annotated 5SS: [302]
Annotated 3SS: [2938]
SMsplice 5SS: [1176]
SMsplice 3SS: [1352]
top_k =  1000
Partition function (log Z): -10.813148507025737

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.5273180985265709
Position 1199: 0.3335660245980369
Position 1551: 0.1489070655900692
Position 1547: 0.07088471634320176
Position 581: 0.05231672227088506
Position 1295: 0.04734134124089339
Position 2018: 0.01904239009907653
Position 2175: 0.017011414909588757
Position 834: 0.016742908868132175
Position 2746: 0.013025795761261892
Position 1196: 0.012034750967725681
Position 1555: 0.010051372294933244
Position 2203: 0.0098604892439205
Position 1227: 0.005688872740314897
Position 1267: 0.0055119926331772635
Position 1832: 0.0030662843488161937
Position 371: 0.001812802303296197
Position 1248: 0.001709774325981765
Position 593: 0.0014574081258455192
Position 919: 0.0013399246315593002
Position 1565: 0.0013077439359893681
Position 1961: 0.0010995226692902698
Position 2097: 0.0010956269985391443
Position 1544: 0.0008484188852433069
Position 1067: 0.0008216365705362368
Position 1540: 0.0007341930403302212
Position 1596: 0.0006778504231790435
Position 1150: 0.0006421197572944961
Position 2656: 0.00045711695955870455
Position 2605: 0.00043698194372462397
Position 1010: 0.00040391915516883886
Position 2503: 0.0003953582102101831
Position 941: 0.0003747808431635829
Position 815: 0.00034268165498407426
Position 487: 0.0002671725273032846
Position 419: 0.0002649129633936934
Position 1301: 0.0002612962498957168
Position 821: 0.00022926127614145242
Position 1700: 0.0002144360261975142
Position 1478: 0.00016085347803280198
Position 559: 0.0001505958316847458
Position 2776: 0.00014592587513616973
Position 2516: 0.00014061758108328153
Position 428: 0.00012618167242829033
Position 1829: 0.00010777657610204003
Position 753: 0.00010634396732128057
Position 755: 0.00010606351016097671
Position 480: 0.0001034843332255484
Position 994: 9.19694942950958e-05
Position 437: 8.681263570796773e-05
Position 2801: 8.07307800375338e-05
Position 670: 7.643937084111051e-05
Position 1502: 7.033452980514102e-05
Position 578: 6.970352103871676e-05
