Gene = Cpr73D
index = 1102
Annotated 5SS: [15094 16089 17054]
Annotated 3SS: [15950 16871 17105]
SMsplice 5SS: [ 475  665 2364]
SMsplice 3SS: [  568  2156 16871]
top_k =  1000
Partition function (log Z): -10.049116565694455

Sorted 5' Splice Sites (High to Low Probability):
Position 2364: 0.9064844621900953
Position 665: 0.8437086382710071
Position 9568: 0.6111124414063169
Position 475: 0.5864681118335867
Position 1429: 0.40364010870978034
Position 7964: 0.23956672250129848
Position 7199: 0.21054283952336403
Position 8702: 0.20176536361003367
Position 51: 0.0980215923790904
Position 3204: 0.09210342160237643
Position 62: 0.08325791576858887
Position 16089: 0.07862728686830572
Position 115: 0.03908772827755494
Position 6968: 0.036786715464517956
Position 9918: 0.03483996390382869
Position 2781: 0.03254945426346939
Position 1954: 0.03182090038091873
Position 2052: 0.025577629565081035
Position 805: 0.021570451331983265
Position 1400: 0.016605257062958966
Position 3068: 0.016352754705087746
Position 1997: 0.015810256983465155
Position 1167: 0.015194948951820407
Position 8269: 0.01486830556217978
Position 2045: 0.013818735358139848
Position 3081: 0.012340708503733809
Position 2006: 0.010304527083997171
Position 359: 0.01013145374303394
Position 76: 0.00951027221175099
Position 1693: 0.009163498662991744
Position 2853: 0.008768736256669272
Position 1416: 0.0084385903823514
Position 691: 0.008217694334605043
Position 2368: 0.008039096457163136
Position 95: 0.006855334129891206
Position 10020: 0.006174400106147818
Position 487: 0.006150204115162646
Position 2813: 0.005538346765117578
Position 2360: 0.004762745123739947
Position 5828: 0.004726022995947345
Position 764: 0.004549189094199784
Position 2353: 0.0043891966675493
Position 1440: 0.004180185174459347
Position 887: 0.0040253110069592936
Position 361: 0.0038026694085838675
Position 440: 0.0035312096217098273
Position 2271: 0.0035038271709639376
Position 1030: 0.0033007836037160254
Position 1130: 0.0031548032776521637
Position 2375: 0.002613782092151856
Position 363: 0.0024984843042953116
Position 7370: 0.002470379436571971
Position 879: 0.002256374009022685
Position 470: 0.002107949542284664
Position 1016: 0.002048149595432721
Position 216: 0.0019711839330735616
Position 3691: 0.0019434187006260807
Position 540: 0.0016374644921108934
Position 280: 0.0016325633046810565
Position 55: 0.0014704919755393097
Position 67: 0.0014273630723672013
Position 406: 0.001394153521126938
Position 1592: 0.001392724690247939
Position 1033: 0.0013372077330316983
Position 220: 0.001189234393514595
Position 1043: 0.0011527417254177357
Position 515: 0.000978386092042072
Position 435: 0.0009383688962769176
Position 1435: 0.0007927834863984273
Position 967: 0.0007489646350578711
Position 1443: 0.0006474101738848215
Position 1550: 0.0003744531436871518
Position 768: 0.00037013297636897743
Position 2397: 0.0003525145955019513
Position 2171: 0.00033354399030338677
Position 455: 0.0003022474029174478
Position 11270: 0.00019661216115855697
Position 1288: 0.00018288136752150203
Position 596: 0.000132623110677401
Position 11479: 0.00011979353650756955
Position 11519: 0.00011364125403365492
Position 444: 0.00010758879367908043
Position 1506: 8.357987502977316e-05
Position 409: 7.710705689757856e-05
Position 1462: 7.253113300147028e-05
Position 186: 6.732790727836808e-05
Position 365: 6.626885318838474e-05
Position 171: 6.482573776432576e-05
Position 367: 6.256264804889905e-05
Position 11870: 6.052121238455188e-05
Position 2278: 5.755022663775996e-05
Position 10311: 4.4971571716963546e-05
Position 600: 4.285565357121504e-05
Position 209: 4.030844639772094e-05
Position 2789: 3.227895433897367e-05
Position 1077: 3.133730493585876e-05
Position 868: 3.119403043384761e-05
Position 1091: 1.9253132651498415e-05
Position 1084: 1.4876839497985111e-05
Position 9942: 1.4247821723827733e-05
Position 2759: 1.2981550220640358e-05
Position 6: 1.2913837991095995e-05
Position 11434: 1.214543662232114e-05
Position 1053: 1.1994920868189573e-05
Position 240: 1.1423507385613788e-05
Position 1194: 1.0959234990038898e-05
Position 3270: 1.0378876360455988e-05
Position 11236: 7.217203534033632e-06
Position 9539: 5.591606864829989e-06
Position 192: 5.366449670767932e-06
Position 177: 4.7829616441018955e-06
Position 231: 3.965367847800662e-06
Position 855: 2.992446876493883e-06
Position 180: 2.949694642657412e-06
Position 713: 2.867062956024068e-06
Position 559: 2.1968027472485663e-06
Position 224: 2.0986425152592017e-06
Position 1252: 1.2743826783182863e-06
Position 604: 3.230176733371084e-07
Position 552: 6.155946078715639e-08
Position 543: 2.4697198166276644e-08
Position 578: 5.733219608253938e-09
Position 893: 7.916050306888285e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16871: 0.9929008637663124
Position 9390: 0.6482877411465989
Position 2156: 0.6171995591853925
Position 568: 0.5813131692685327
Position 855: 0.3124877703583623
Position 1906: 0.23053925024760358
Position 202: 0.212161049425633
Position 7248: 0.1862889943214707
Position 867: 0.10862534240022638
Position 2896: 0.10473689870403327
Position 15014: 0.08042265389103359
Position 6876: 0.06665142595179761
Position 2265: 0.0598607953326465
Position 8386: 0.05802312501230085
Position 8374: 0.0578395750064277
Position 8513: 0.04675159466110028
Position 2659: 0.04622308098752319
Position 6888: 0.04242470081611142
Position 6024: 0.03788842865746153
Position 6872: 0.03429161043660206
Position 1491: 0.03397576428710252
Position 7035: 0.03320344767877473
Position 8196: 0.03238208487460036
Position 7495: 0.03176312564552547
Position 6637: 0.017990933542955303
Position 780: 0.015750110973084888
Position 7269: 0.014623005834576154
Position 6834: 0.012764965494069531
Position 596: 0.012241746985890927
Position 7728: 0.012206663077442972
Position 2317: 0.007600295599923663
Position 1158: 0.007041185834111412
Position 2133: 0.006682568771404782
Position 817: 0.006618003609931246
Position 1505: 0.006340791925302427
Position 1197: 0.005555022784075987
Position 923: 0.005496182875016145
Position 6562: 0.005406350255738414
Position 7821: 0.00498517143590487
Position 5889: 0.004453461020520097
Position 1536: 0.004284092248938808
Position 2440: 0.004203575393857199
Position 1246: 0.004151870838915387
Position 707: 0.0038440563262067866
Position 8698: 0.003407340922082969
Position 1286: 0.0027030002083493813
Position 8558: 0.002594706772283038
Position 733: 0.0025783532552413175
Position 9673: 0.0023818634882073557
Position 9759: 0.002104883272688027
Position 13454: 0.002055423826375802
Position 2921: 0.002016099866822517
Position 3133: 0.0019832099187014124
Position 2637: 0.0015988598206539324
Position 2937: 0.0014060310957993607
Position 1216: 0.0012143612805899124
Position 5547: 0.001155005019846191
Position 3553: 0.0011317723585501076
Position 5229: 0.0011268636124359837
Position 2175: 0.00110066973078403
Position 5615: 0.0009888642565662716
Position 5205: 0.0009865922277286123
Position 10742: 0.0009758260687951197
Position 2739: 0.000965584980031991
Position 1515: 0.0008618023018854969
Position 11384: 0.0007398233106404718
Position 2665: 0.0006950517049621641
Position 11562: 0.0006386471761198327
Position 2557: 0.0005772960070196239
Position 2592: 0.0005665701274301627
Position 1087: 0.0005073680564035605
Position 5430: 0.0004688849339912718
Position 12775: 0.00038332988491969933
Position 942: 0.0003825430390059121
Position 1043: 0.0003438747838811287
Position 930: 0.00027933318712403924
Position 1365: 0.00027793889255125885
Position 2801: 0.00024591266378823324
Position 10159: 0.00022407712451564613
Position 431: 0.0001737185304095899
Position 2770: 0.000166264167922983
Position 2246: 0.00016084451526031986
Position 2566: 0.00013830669046652623
Position 2615: 0.0001339326141104663
Position 1297: 0.0001224614738369201
Position 1053: 0.00012199811833589679
Position 297: 9.599281063889288e-05
Position 7510: 8.813578357511341e-05
Position 1234: 8.063877414857955e-05
Position 3047: 7.182124869005676e-05
Position 10072: 6.212417781502138e-05
Position 11948: 6.0521212384551723e-05
Position 1222: 5.894236362164215e-05
Position 608: 5.4987509749020366e-05
Position 1204: 3.7217306420588684e-05
Position 3182: 3.3385919992930503e-05
Position 1564: 3.164630061999762e-05
Position 638: 2.0656670255282428e-05
Position 10284: 1.7508568384529847e-05
Position 1294: 1.364894250347047e-05
Position 1533: 1.283460867295871e-05
