Gene = Alg10
index = 18
Annotated 5SS: [258 786]
Annotated 3SS: [314 849]
SMsplice 5SS: [258 786]
SMsplice 3SS: [314 849]
top_k =  1000
Partition function (log Z): -5.716630596275109

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.9560017119984545
Position 786: 0.6899616631193165
Position 255: 0.013101408190724851
Position 684: 0.006593830931580661
Position 810: 0.006310071756328324
Position 1572: 0.005943045789985895
Position 765: 0.002967474857558763
Position 421: 0.0014955232334643
Position 680: 0.001245080369894647
Position 518: 0.0012013909398503456
Position 174: 0.0011493398035819123
Position 801: 0.0011427927681591985
Position 982: 0.0008173980449440752
Position 481: 0.0007752078996466328
Position 390: 0.0007504826964805249
Position 195: 0.00026811923190642894
Position 1079: 0.0002597453331545591
Position 1297: 0.0002342996276604718
Position 636: 0.00022254669701112607
Position 379: 0.00021690304318297692
Position 585: 0.00018482116916254768
Position 314: 0.0001672249497025979
Position 719: 0.00016572094900552838
Position 1251: 0.00013885447967311603
Position 1153: 0.00013765349629133643
Position 296: 0.0001063078705386144
Position 796: 0.00010136206227027074
Position 522: 7.364309788046073e-05
Position 1159: 7.270743947335844e-05
Position 979: 6.689351037936899e-05
Position 971: 5.028075883951218e-05
Position 1018: 4.703188793079452e-05
Position 723: 4.179899373360555e-05
Position 1156: 3.825836105528339e-05
Position 1177: 2.881468302237295e-05
Position 945: 2.657596875436605e-05
Position 654: 2.4483583167714252e-05
Position 1575: 2.330587355687518e-05
Position 1010: 2.284990542376519e-05
Position 652: 2.2087706624804646e-05
Position 149: 2.076104714968375e-05
Position 1245: 1.9410593069766232e-05
Position 750: 1.835165881625694e-05
Position 949: 1.779212943389313e-05
Position 1083: 1.628671078912601e-05
Position 1515: 1.4623468279938172e-05
Position 995: 1.4592129640932845e-05
Position 30: 9.7904770163246e-06
Position 135: 8.785409359363235e-06
Position 678: 7.281284562915931e-06
Position 209: 5.773869240776226e-06
Position 1316: 4.409102026622941e-06
Position 708: 3.9076795722268e-06
Position 1338: 2.8848010433720884e-06
Position 1506: 2.819439164679077e-06
Position 1254: 2.216215484230258e-06
Position 1530: 1.6891212102928408e-06
Position 1120: 1.6095128164267122e-06
Position 838: 1.2023245379592372e-06
Position 1454: 1.1466048625461847e-06
Position 144: 5.480757363215556e-07
Position 1513: 3.864099393742885e-07
Position 383: 3.5516452518175243e-07
Position 81: 2.3898602283698303e-07
Position 113: 1.9450509112197888e-07
Position 303: 1.7420541547814056e-07
Position 19: 1.2072567335851982e-07
Position 35: 9.626966845394905e-08
Position 593: 2.9798838259264562e-08
Position 915: 1.6917343415957047e-08
Position 5: 3.823199642229334e-09
Position 572: 2.662134678626435e-09
Position 70: 2.2678382157102838e-09
Position 1088: 3.3584372305010604e-11
Position 849: 2.929799646703193e-11
Position 865: 1.7739213668703153e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9493625796004403
Position 849: 0.6999365412613355
Position 872: 0.010045681027214431
Position 379: 0.00931264606471237
Position 1637: 0.006092685551615419
Position 1355: 0.0035578378825764983
Position 611: 0.002743636436725185
Position 547: 0.0023694207032928256
Position 326: 0.002019546944542386
Position 617: 0.0012865721097787166
Position 452: 0.0011355008811891798
Position 869: 0.0010378593013733273
Position 1380: 0.0010104563860937241
Position 1099: 0.0005735230647480893
Position 1083: 0.0004814032251822232
Position 224: 0.00041656847184295406
Position 1026: 0.0002937935202618838
Position 614: 0.00021007677693293618
Position 1205: 0.00014420793693121594
Position 1096: 5.7671299771244785e-05
Position 303: 5.3484583589665015e-05
Position 457: 4.2185480543598095e-05
Position 668: 3.256062188348242e-05
Position 1112: 2.318928814992883e-05
Position 412: 2.1730429812446485e-05
Position 652: 1.9181580833059375e-05
Position 915: 1.681018788940439e-05
Position 245: 1.4802464409588842e-05
Position 758: 1.3024490257127964e-05
Position 1229: 1.0792960552398839e-05
Position 1562: 1.0291454496311756e-05
Position 1527: 4.5875450806359944e-06
Position 289: 4.264045598966575e-06
Position 417: 4.187474980971221e-06
Position 420: 3.1417857051187784e-06
Position 78: 2.1734556933847005e-06
Position 1392: 1.9008387238656525e-06
Position 993: 1.7414666867349527e-06
Position 292: 1.6117814890664314e-06
Position 1010: 1.2776901943168471e-06
Position 209: 1.2452857747731376e-06
Position 1452: 1.0167757348120763e-06
Position 1177: 9.206622006588683e-07
Position 1331: 7.84673960280522e-07
Position 1575: 7.250391669656557e-07
Position 506: 2.539885849791155e-07
Position 93: 9.622392215302248e-08
Position 783: 1.4074634292127533e-08
Position 403: 9.197851637138462e-09
Position 206: 2.133489784679118e-09
Position 62: 3.9801277585337774e-10
Position 266: 2.303612926746196e-11
