Gene = ida
index = 1733
Annotated 5SS: [196]
Annotated 3SS: [257]
SMsplice 5SS: [196]
SMsplice 3SS: [257]
top_k =  1000
Partition function (log Z): -6.001232703011057

Sorted 5' Splice Sites (High to Low Probability):
Position 196: 0.7408353807569147
Position 186: 0.22358565942259725
Position 880: 0.1773189018114849
Position 915: 0.16146957485691915
Position 1326: 0.11707587562182066
Position 691: 0.03461026585640385
Position 546: 0.02507447128711937
Position 200: 0.024191477349020992
Position 799: 0.01368566366774796
Position 624: 0.010095788478412323
Position 1098: 0.009810673457132022
Position 1211: 0.00879191692956626
Position 376: 0.006773383465415053
Position 190: 0.004466124261203715
Position 567: 0.0032742409061347834
Position 558: 0.0029478744949498568
Position 1258: 0.0021327486003293204
Position 327: 0.0019495818155514078
Position 768: 0.0017753460703815943
Position 1526: 0.001429197512041771
Position 358: 0.001051986768083402
Position 1278: 0.0008587459378752268
Position 576: 0.0008211925950084663
Position 784: 0.0005660449228526546
Position 573: 0.0004889515278021507
Position 863: 0.0004792472660242132
Position 2398: 0.000466156797209254
Position 667: 0.00045581162938634304
Position 1460: 0.00041928955899651655
Position 1285: 0.00038849983647543833
Position 1666: 0.0003797922176086259
Position 1341: 0.0003601955747737189
Position 1076: 0.0003508598502857524
Position 614: 0.0003467857877012555
Position 681: 0.0003129079633476264
Position 777: 0.00029384538223324873
Position 836: 0.0002833266158437838
Position 987: 0.00022241775711716102
Position 451: 0.00022030560605682128
Position 536: 0.00021608803485291046
Position 166: 0.00020426860524949377
Position 2282: 0.0001895002180910086
Position 2217: 0.00017276564241066252
Position 1546: 0.00017055709999110822
Position 473: 0.00015135591827284493
Position 854: 0.0001283161006343265
Position 1614: 0.00010798828287135348
Position 440: 9.539498254037423e-05
Position 648: 9.407616628731679e-05
Position 1117: 8.839911753758084e-05
Position 1260: 7.342589094895111e-05
Position 1455: 5.6578322589918746e-05
Position 2271: 5.311473455396155e-05
Position 168: 5.154033609459799e-05
Position 2050: 4.83123301101702e-05
Position 1241: 3.819757315876111e-05
Position 1086: 3.7488176720077324e-05
Position 446: 3.0936993473794153e-05
Position 552: 3.0640564577456e-05
Position 1692: 2.4459478121098042e-05
Position 1450: 2.4298559694483576e-05
Position 592: 2.1014283309589848e-05
Position 1248: 1.520370486767867e-05
Position 314: 1.0963002167092752e-05
Position 380: 9.655068885368772e-06
Position 1044: 7.518281366288107e-06
Position 2339: 1.6383279802068576e-06
Position 271: 7.353725767846372e-07
Position 221: 4.548258771212162e-07
Position 21: 3.180248993715908e-07
Position 23: 3.547551153099886e-08
Position 84: 2.5965220609239785e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8463961186960727
Position 1024: 0.5214143846985726
Position 1382: 0.17894777261019412
Position 1882: 0.008814267269266634
Position 735: 0.006349244035756575
Position 854: 0.004352597870638145
Position 1515: 0.0016064325530477758
Position 335: 0.0014896097861885108
Position 1586: 0.0014616301743573146
Position 302: 0.0014424375925813691
Position 1387: 0.0013258095825846026
Position 991: 0.0009246060427681252
Position 1335: 0.0009224245859817163
Position 1036: 0.0008185749916306693
Position 830: 0.0007383479318836925
Position 2456: 0.0006452939822192105
Position 1657: 0.0003860860222609706
Position 565: 0.0003634760162955858
Position 1637: 0.00031093531579900297
Position 494: 0.00028014693607598143
Position 908: 0.0002793288390687706
Position 344: 0.0002495408904793163
Position 2332: 0.0002427917267542093
Position 1298: 0.0002420870661783617
Position 2270: 0.00020883693313737393
Position 1700: 0.00020673872380805433
Position 488: 0.00017693439443838187
Position 460: 0.00014190651194232948
Position 2300: 0.0001351535555095086
Position 1831: 0.00012853786449140754
Position 673: 0.00010479039495551482
Position 1225: 9.355708422909337e-05
Position 764: 9.258493998241572e-05
Position 761: 9.239713340723679e-05
Position 1169: 9.029894174471046e-05
Position 435: 8.750070118592933e-05
Position 740: 8.56391929573909e-05
Position 795: 7.551318826409245e-05
Position 911: 7.362144695120999e-05
Position 532: 7.0792962906716e-05
Position 2228: 6.011238478361911e-05
Position 2060: 3.8238673997651394e-05
Position 648: 2.6589319634219628e-05
Position 1256: 2.5012758067142547e-05
Position 2063: 2.3434690622184386e-05
Position 1519: 2.2969487882233406e-05
Position 1614: 2.173439372193892e-05
Position 350: 1.9530894763987347e-05
Position 684: 1.5328846690966426e-05
Position 620: 1.5247083810173194e-05
Position 703: 1.2530940739024842e-05
Position 1503: 1.2422783772334093e-05
Position 1939: 1.223288378539005e-05
Position 347: 1.1302511297416957e-05
Position 1039: 8.312958625808313e-06
Position 376: 5.0776592575960135e-06
Position 836: 5.0126734208852375e-06
Position 1567: 4.952347701212411e-06
Position 707: 2.904253187526044e-06
Position 536: 2.5511431943010963e-06
Position 869: 5.177896547235047e-07
Position 90: 2.6234430217684374e-07
Position 780: 2.476083440032802e-07
Position 645: 2.403462444643022e-07
Position 654: 2.3267902486805236e-07
Position 446: 1.1228404025665286e-08
Position 541: 7.166390268424322e-09
Position 124: 2.734527223689825e-09
Position 582: 1.7174797309946187e-09
Position 93: 1.257751232848103e-09
Position 602: 1.0576083529053893e-09
Position 356: 8.686417259405882e-10
Position 592: 6.697966980636081e-10
Position 467: 1.1894250776218648e-10
Position 641: 1.1647883990132136e-10
Position 141: 4.8396020444117994e-11
Position 186: 4.112549132142029e-11
Position 159: 8.013870236629517e-12
Position 368: 2.9067619698690193e-13
Position 126: 2.3632345639755594e-13
Position 199: 8.801896071755782e-14
Position 358: 8.817552697397197e-15
Position 506: 3.0739357757239457e-21
