Gene = Nmt
index = 1325
Annotated 5SS: [307]
Annotated 3SS: [789]
SMsplice 5SS: [307]
SMsplice 3SS: [789]
top_k =  1000
Partition function (log Z): -6.208175957829655

Sorted 5' Splice Sites (High to Low Probability):
Position 307: 0.9822159820613963
Position 900: 0.06574180866065472
Position 1758: 0.030149197728040318
Position 1437: 0.01599803817711594
Position 1651: 0.011669516140054476
Position 940: 0.01042250161171048
Position 370: 0.010323700380954063
Position 6: 0.009539842905602901
Position 195: 0.0053021856122354325
Position 1236: 0.002891348154790543
Position 1227: 0.0026275504272095618
Position 36: 0.0026049023517533535
Position 1431: 0.0014554658623151528
Position 2000: 0.0008339301005449131
Position 1459: 0.00047562230798324837
Position 724: 0.00039986358095079293
Position 1217: 0.0003933535991763107
Position 375: 0.00025868521695281545
Position 1892: 0.00022803858306786262
Position 1937: 0.00020571629233384153
Position 162: 0.00019401411570713423
Position 733: 0.00017306351659339452
Position 1287: 0.00016877145264249604
Position 1152: 0.00014642299061159728
Position 1179: 0.00014276784589569252
Position 1365: 0.00013576012320745432
Position 854: 0.00013210535377849482
Position 333: 0.0001234570816856493
Position 293: 0.00012285194650738963
Position 271: 0.0001153435277286943
Position 2081: 9.40534158182021e-05
Position 2086: 8.60117273249407e-05
Position 1746: 8.43250380111195e-05
Position 1028: 7.751858382905292e-05
Position 987: 6.0391522422068027e-05
Position 1622: 5.825031612603013e-05
Position 1634: 5.1116545700360235e-05
Position 1441: 3.9219617170725345e-05
Position 692: 3.3528745535502353e-05
Position 39: 3.220011955204713e-05
Position 1053: 2.9273579034505134e-05
Position 593: 2.4326946611028113e-05
Position 1318: 2.3845178564741887e-05
Position 838: 2.2196322081210612e-05
Position 1727: 2.137173395512643e-05
Position 419: 1.1344667868051526e-05
Position 326: 1.0500916511526897e-05
Position 1859: 1.0173672954291566e-05
Position 291: 1.0062779441323495e-05
Position 1731: 9.492764359181484e-06
Position 1271: 8.08234030285724e-06
Position 311: 6.082541803789355e-06
Position 393: 2.9687402348887554e-06
Position 1214: 1.0565915238846048e-06
Position 76: 7.284943054135655e-07
Position 1323: 7.135254458274651e-07
Position 1106: 6.551182100323378e-07
Position 1073: 5.331096439886206e-07
Position 133: 3.606889662142189e-07
Position 866: 3.025743986223968e-07
Position 689: 2.6863585467569454e-07
Position 1627: 2.4526050779450753e-07
Position 1146: 2.4129054300704914e-07
Position 813: 1.6468110973458775e-07
Position 682: 1.5357900080017715e-07
Position 1490: 8.522789060229766e-08
Position 1785: 7.435333814016569e-08
Position 1097: 6.678651412758345e-08
Position 665: 5.539662643867961e-08
Position 753: 4.7833734023397013e-08
Position 591: 4.1191306193968434e-08
Position 459: 4.058647518757632e-08
Position 1078: 3.752701844713249e-08
Position 614: 3.489609705494509e-08
Position 1166: 2.7764514315664905e-08
Position 380: 2.619326473842358e-08
Position 93: 2.4741009126157652e-08
Position 568: 2.2681833611523662e-08
Position 879: 1.160882657172658e-08
Position 1368: 3.1822816652757106e-09
Position 668: 2.6290242408706075e-09
Position 1109: 8.342025888620079e-10
Position 1156: 6.246846783515825e-10
Position 198: 5.541933846857273e-10
Position 779: 2.699825192561687e-10
Position 1158: 5.237092004911059e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 789: 0.9319705798596786
Position 972: 0.05381631464529581
Position 2047: 0.03443292133607052
Position 797: 0.028331827520172048
Position 2139: 0.017713985502442978
Position 1850: 0.01450904422874073
Position 1508: 0.013452438644943521
Position 996: 0.011016327126033513
Position 120: 0.007825434412885784
Position 1708: 0.006234284382874876
Position 875: 0.003421613390796851
Position 1475: 0.0028006663082224886
Position 602: 0.0023714887832689655
Position 2003: 0.0021483923591284135
Position 1118: 0.0020364268631865245
Position 85: 0.002001641482189762
Position 2119: 0.0016994775243929137
Position 832: 0.0014987218950357443
Position 557: 0.0014736897287539073
Position 719: 0.001454906400897122
Position 1647: 0.0012472592429135154
Position 1346: 0.001245084676979617
Position 93: 0.001215749529630379
Position 475: 0.0011504233347038792
Position 1539: 0.0010940517894238771
Position 1796: 0.0010678528624675483
Position 1427: 0.0008536175518591626
Position 1106: 0.0007063276810705367
Position 1194: 0.0006995341842494793
Position 1685: 0.0006053966171150051
Position 1424: 0.0005095919248686877
Position 1650: 0.00044693834031199703
Position 1204: 0.0004205916613533847
Position 218: 0.00037989547307760237
Position 2148: 0.00035913330057206944
Position 2020: 0.0003585939056106963
Position 810: 0.0003262564998741209
Position 682: 0.0003224359988202447
Position 1937: 0.00024552915296753477
Position 1595: 0.00023768357917216637
Position 1025: 0.0002245157896254755
Position 2269: 0.0001854723960750151
Position 1022: 0.00017214794659136447
Position 1883: 0.00016132855259704164
Position 480: 0.00015501204540287972
Position 1268: 0.00014245281771858831
Position 932: 0.00010241934387197077
Position 1514: 9.420418143758334e-05
Position 1496: 9.302017095870325e-05
Position 1166: 8.961577343311278e-05
Position 1754: 8.736038651191273e-05
Position 949: 8.723445770469035e-05
Position 1271: 8.664454935835993e-05
Position 842: 7.47994937074552e-05
Position 1383: 6.82834829968143e-05
Position 243: 5.7861265791448144e-05
Position 704: 5.434228434845738e-05
Position 393: 3.744730354859798e-05
Position 374: 3.685001270693964e-05
Position 1279: 3.617209590724342e-05
Position 138: 3.2609253937715845e-05
Position 1973: 3.215163304389599e-05
Position 1296: 2.0627286732733166e-05
Position 2183: 1.8398993480711227e-05
Position 1359: 1.767009418026336e-05
Position 879: 1.7629100125831986e-05
Position 940: 1.6001542747122105e-05
Position 2240: 1.5302987085776004e-05
Position 1889: 1.4921830040354192e-05
Position 240: 1.3708054784262694e-05
Position 1487: 1.2884094229632498e-05
Position 1208: 1.2286644478381605e-05
Position 733: 8.393333554762248e-06
Position 263: 7.193909553309554e-06
Position 724: 6.34411183230456e-06
Position 1046: 5.10841611238334e-06
Position 194: 8.494065415693703e-07
Position 260: 7.243846810795151e-07
Position 122: 4.196431201340026e-07
Position 146: 3.995295151266067e-07
Position 149: 2.6429300633295567e-07
Position 1544: 2.438383777768097e-07
Position 1235: 2.097479372713041e-07
Position 278: 1.046648775861622e-07
Position 152: 9.987931301825586e-08
Position 140: 5.820323733548149e-08
Position 158: 5.1904016699285246e-08
Position 854: 4.6579075487932704e-08
Position 161: 4.580295087536137e-08
Position 341: 2.4179713718545272e-08
Position 369: 2.3167052579656626e-08
Position 333: 2.184504370234942e-08
Position 291: 1.8323287780535008e-08
Position 851: 9.758372459007228e-09
Position 568: 4.28825001971732e-09
Position 899: 3.7761932649629724e-09
Position 307: 2.693389513181954e-09
Position 284: 1.3513008249373284e-09
Position 311: 9.759535479594658e-10
Position 179: 2.501189067434371e-10
Position 343: 9.32470251018677e-11
Position 251: 2.778622203227699e-11
Position 1097: 1.2637583399775314e-11
