Gene = nudE
index = 1824
Annotated 5SS: [ 115  844 1066 1456 1778 2194]
Annotated 3SS: [ 484  911 1181 1519 2101 2319]
SMsplice 5SS: [ 844 1066 1456 1778 2194]
SMsplice 3SS: [ 911 1181 1519 2101 2909]
top_k =  1000
Partition function (log Z): 11.515269074606767

Sorted 5' Splice Sites (High to Low Probability):
Position 844: 0.9990647651945592
Position 1066: 0.9853038457890292
Position 1456: 0.9698469407577933
Position 2194: 0.9283388681257382
Position 1778: 0.6627196833952986
Position 34: 0.2932512014848095
Position 2845: 0.17613481200220069
Position 1669: 0.1397006999238893
Position 115: 0.08504640308293371
Position 2660: 0.06310075275785526
Position 2251: 0.062395769502064824
Position 1646: 0.0602850539694166
Position 157: 0.031132948461963433
Position 2043: 0.022917566086289448
Position 2627: 0.018443344174801393
Position 1738: 0.017410817833460816
Position 15: 0.011960079439617978
Position 1863: 0.011231349939407501
Position 1266: 0.010982654101651864
Position 73: 0.008535650656343388
Position 1733: 0.007878953250263322
Position 3035: 0.006510296936440254
Position 1004: 0.005228321144100571
Position 2015: 0.004860480429319887
Position 1714: 0.004714578510086235
Position 1708: 0.004665320371652679
Position 210: 0.004321923138411354
Position 2785: 0.004267272887486983
Position 28: 0.004006017107877454
Position 2002: 0.003908167176323218
Position 2255: 0.0037780114495053695
Position 417: 0.003286561715384801
Position 7: 0.0030509795275619808
Position 618: 0.002929465274528184
Position 1947: 0.002749751150141854
Position 2032: 0.0022945297631369937
Position 1125: 0.002219337624038309
Position 522: 0.002183801999255812
Position 2036: 0.001874472651885362
Position 2710: 0.0018220606010336668
Position 2471: 0.0015376931038079075
Position 1868: 0.0014847840951291386
Position 1038: 0.0014563225479965179
Position 332: 0.0014269772373255712
Position 2683: 0.001326173468550519
Position 2522: 0.001262929653797474
Position 337: 0.0012084200793120077
Position 319: 0.001196526368910657
Position 1606: 0.001134019021389408
Position 93: 0.001007654068364443
Position 632: 0.000913151164886616
Position 122: 0.0007394259020407219
Position 1936: 0.0007068178567477045
Position 2178: 0.000688793982218181
Position 3059: 0.0005833953971854181
Position 3147: 0.0005659737236197454
Position 3444: 0.00056172620222924
Position 2080: 0.0005342715112826717
Position 1398: 0.0005213693154788665
Position 2369: 0.0005045247630909625
Position 2423: 0.00047787128882393264
Position 2046: 0.00047508264424135323
Position 1880: 0.00045219295226546616
Position 1845: 0.0004031854408871609
Position 143: 0.00040251530560934457
Position 1119: 0.00034533033574604124
Position 3109: 0.0003197775324585354
Position 3052: 0.00031531363941766417
Position 2826: 0.0003075406511546913
Position 3153: 0.0002734887563893119
Position 3475: 0.0002647314299103453
Position 296: 0.00025194729210839756
Position 662: 0.0002436116193708237
Position 1909: 0.00023993974007092928
Position 1268: 0.00023927515744875686
Position 2861: 0.00021011469500598447
Position 1942: 0.00019778148112072598
Position 220: 0.00019652639466958462
Position 119: 0.00018293733365498118
Position 3168: 0.00017949555173183307
Position 31: 0.00016874993226592266
Position 1975: 0.00015564080809287573
Position 3125: 0.00014855665912873406
Position 1626: 0.00014846752328205522
Position 287: 0.00014440626397930624
Position 1239: 0.00014021312393316238
Position 2384: 0.0001385491948066583
Position 1056: 0.00013743565886776752
Position 2026: 0.0001358098964940819
Position 1895: 0.0001347946674537497
Position 548: 0.00013173331751959732
Position 635: 0.00012227242831535292
Position 2729: 0.00011767859271611266
Position 3318: 0.00011581431823146315
Position 3329: 0.00011504584045835353
Position 1986: 0.00011367832092447507
Position 3114: 0.00011165501154456855
Position 3288: 0.00011027367213341412
Position 2461: 0.00010549695026254601
Position 3040: 9.346027222181435e-05
Position 3607: 9.33574181938881e-05
Position 2246: 9.161351953280947e-05
Position 1309: 8.52356350043267e-05
Position 1564: 8.417482371031633e-05
Position 848: 7.752199114983239e-05
Position 214: 6.956648517799026e-05
Position 1545: 6.909412576626303e-05
Position 113: 6.78753041357069e-05
Position 3546: 6.782265689249219e-05
Position 2346: 5.923546158629527e-05
Position 647: 5.6942483177746685e-05
Position 2024: 5.585770917283091e-05
Position 3554: 5.233002155951672e-05
Position 1790: 5.222449592901242e-05
Position 106: 5.204072834701758e-05
Position 2355: 4.5860241951735283e-05
Position 3301: 4.56810306600235e-05
Position 299: 4.56266299503108e-05
Position 2367: 4.0035609916030575e-05
Position 3038: 3.664436693988101e-05
Position 1540: 3.629600929002629e-05
Position 1579: 3.3373063190298873e-05
Position 19: 3.063401879030422e-05
Position 1824: 2.8558676245490957e-05
Position 3209: 2.739419683799109e-05
Position 550: 2.4148200014056014e-05
Position 484: 2.3696537583323968e-05
Position 1922: 2.2969809939687248e-05
Position 237: 2.2805973857991356e-05
Position 2217: 2.258973021528277e-05
Position 445: 1.7702201888400096e-05
Position 737: 1.7422995173449768e-05
Position 3136: 1.6045904282670726e-05
Position 832: 1.5321464526924896e-05
