Gene = Hip14
index = 1212
Annotated 5SS: [ 953 1825 2173]
Annotated 3SS: [1149 1892 2226]
SMsplice 5SS: [ 953 1825 2173]
SMsplice 3SS: [1149 1892 2226]
top_k =  1000
Partition function (log Z): 3.3886376257431907

Sorted 5' Splice Sites (High to Low Probability):
Position 1825: 0.9985844467138433
Position 953: 0.993313170062282
Position 2173: 0.9777230194969334
Position 2346: 0.15014710010974183
Position 1090: 0.1466283687252001
Position 2912: 0.0695382970468472
Position 2612: 0.030220265049945873
Position 2935: 0.021346826832069853
Position 3047: 0.014786876100051824
Position 2927: 0.01248793568671183
Position 1325: 0.008271422017627716
Position 68: 0.008207817374171835
Position 1384: 0.006181447035552555
Position 2280: 0.00558128045260199
Position 2287: 0.004181926310901149
Position 2160: 0.004068637213386689
Position 2618: 0.003246242502048675
Position 2018: 0.0023311816811054024
Position 3227: 0.0022266629973977606
Position 1078: 0.002014123957911072
Position 2393: 0.001675776414668706
Position 1542: 0.0011585466381785288
Position 1962: 0.0007460180386201246
Position 987: 0.0007174741731012375
Position 2145: 0.0005977359715743416
Position 3539: 0.0005724497154553519
Position 1102: 0.0005666355658262423
Position 822: 0.0005453947518034908
Position 2138: 0.0005444191227147977
Position 2271: 0.0004948443728637686
Position 2946: 0.00040650873127341615
Position 219: 0.00038695027584318564
Position 657: 0.0003739478031123535
Position 1831: 0.0003623800755194048
Position 178: 0.0003250567784979742
Position 673: 0.00031074898116529063
Position 29: 0.0003055501476108849
Position 2123: 0.0002410940297239646
Position 444: 0.00023446967996640323
Position 1290: 0.00022997281567248192
Position 962: 0.00019431445581828008
Position 2874: 0.00018254087267636612
Position 1995: 0.00017407071501476156
Position 937: 0.00015680716096990683
Position 569: 0.00015120182059778116
Position 1531: 0.00014935938933858481
Position 1829: 0.00014788424644394726
Position 3247: 0.00014726712923555428
Position 3690: 0.0001394202043330898
Position 1470: 0.00013860386475105324
Position 2893: 0.00013563910296831078
Position 1752: 0.00013518238178559914
Position 3100: 0.00012352030607886173
Position 2040: 0.00010867488065194922
Position 1059: 8.142559670212815e-05
Position 581: 7.95430823788412e-05
Position 3552: 7.640734687588902e-05
Position 792: 6.697477623371988e-05
Position 1483: 6.649233703662041e-05
Position 3231: 5.8540803944233036e-05
Position 337: 5.823542926450856e-05
Position 550: 5.818284766654923e-05
Position 1004: 5.137878386959189e-05
Position 306: 5.1089703089823814e-05
Position 2958: 4.36250566409008e-05
Position 195: 4.319660219346394e-05
Position 165: 4.2234218975514915e-05
Position 2313: 4.014583235290964e-05
Position 167: 3.819922663693424e-05
Position 599: 3.799028259628678e-05
Position 2989: 3.5554307470496416e-05
Position 1207: 3.304232495303836e-05
Position 11: 3.235055548247616e-05
Position 1309: 3.1601313647120447e-05
Position 1018: 2.916578288207596e-05
Position 1689: 2.8333900502451054e-05
Position 2108: 2.5160878800475044e-05
Position 469: 2.1823618817400104e-05
Position 2701: 1.9728071146637316e-05
Position 1083: 1.8530086246911414e-05
Position 1790: 1.842890735647792e-05
Position 555: 1.7955570877214696e-05
Position 522: 1.3049596532946009e-05
Position 335: 1.1696781985255432e-05
Position 1117: 1.1589408345928033e-05
Position 1302: 1.0873605003070409e-05
Position 1554: 1.0274364989732909e-05
Position 698: 1.0088782494366722e-05
Position 707: 9.751442923130605e-06
Position 1756: 7.070561930438042e-06
Position 225: 7.042868921140763e-06
Position 391: 6.788161088652081e-06
Position 1473: 5.338351876830818e-06
Position 2616: 5.101677269424204e-06
Position 2010: 4.748184604416167e-06
Position 2437: 4.683443727067944e-06
Position 2577: 4.294527432952726e-06
Position 1522: 4.130222339461174e-06
Position 2071: 3.5019007038504617e-06
Position 1150: 3.432369438170252e-06
Position 2490: 2.7374278877459767e-06
Position 212: 2.6957496378571065e-06
Position 1999: 2.6848222973173477e-06
Position 1668: 2.5651432530056073e-06
Position 1476: 2.5469755478443566e-06
Position 134: 2.4511072181075993e-06
Position 770: 2.3202107821501613e-06
Position 2741: 2.1977795663389616e-06
Position 623: 2.1529402563012533e-06
Position 1282: 2.1344405241119425e-06
Position 1997: 2.070060540240041e-06
Position 2670: 2.068894155428846e-06
Position 147: 1.7067561192651426e-06
Position 2177: 1.6601416447615312e-06
Position 1524: 1.4479342924009075e-06
Position 399: 1.4397648150405326e-06
Position 1723: 1.1431495979644463e-06
Position 536: 1.085840088439946e-06
Position 1710: 8.868551894287861e-07
Position 227: 8.51258340303479e-07
Position 773: 7.923487653933858e-07
Position 50: 7.379876075235485e-07
Position 506: 7.218562677076027e-07
Position 2008: 5.739714863750341e-07
Position 1770: 5.140139482411781e-07
Position 1396: 4.086947561459362e-07
Position 1563: 2.9750161550232404e-07
Position 2471: 1.9903300157585557e-07
Position 312: 1.8495175220814093e-07
Position 346: 1.7891463176230313e-07
Position 1835: 1.748404498067192e-07
