Gene = mus312
index = 1808
Annotated 5SS: [ 232  506 1108 2100 2205]
Annotated 3SS: [ 296  583 1166 2159 2260]
SMsplice 5SS: [ 232  506 1108 2100 2205]
SMsplice 3SS: [ 296  583 1166 2159 2260]
top_k =  1000
Partition function (log Z): 6.420379558176731

Sorted 5' Splice Sites (High to Low Probability):
Position 1108: 0.9993554451165532
Position 506: 0.9878321386021796
Position 232: 0.9742349189655772
Position 2100: 0.9467625297938186
Position 2205: 0.9386012079354833
Position 2422: 0.3904021241199265
Position 1407: 0.022705979160247098
Position 2308: 0.019447838967164347
Position 3676: 0.012358017131685018
Position 2662: 0.0072093588968349
Position 65: 0.007117077532219168
Position 3017: 0.006021862594630203
Position 4158: 0.005595134053987757
Position 3552: 0.005387428506046412
Position 35: 0.005172456429935224
Position 1624: 0.0050274376388770295
Position 4171: 0.004501071160781067
Position 1487: 0.004392631490844373
Position 1212: 0.0037309691137183795
Position 1658: 0.0030387759957152963
Position 2467: 0.0027347939532803268
Position 2457: 0.002407191614606415
Position 1928: 0.0018038193459423756
Position 2074: 0.0014151780162842999
Position 2869: 0.0013719062234279703
Position 3478: 0.001309281282102
Position 1645: 0.0012618082614576477
Position 3972: 0.001228191670490317
Position 2209: 0.0008487339506551975
Position 255: 0.000776019660509114
Position 2448: 0.0007529645672851713
Position 2223: 0.0006872517564617491
Position 1560: 0.0006190923583415535
Position 3451: 0.0005004858369083455
Position 2390: 0.0004621142709676345
Position 2693: 0.00043116352371287475
Position 1225: 0.00024272705687833438
Position 4187: 0.00023517588158456214
Position 2374: 0.00022690933426994242
Position 4123: 0.00021006559305882614
Position 1632: 0.00020939245965328278
Position 1761: 0.0002086083427235317
Position 45: 0.0002039583918359774
Position 2624: 0.00017961957218242712
Position 811: 0.0001640835621123012
Position 72: 0.0001352293922038046
Position 1982: 0.00012448831509225051
Position 1134: 9.951603297181076e-05
Position 3697: 9.745674931560648e-05
Position 3724: 9.359119350079852e-05
Position 1370: 9.333911983574466e-05
Position 1721: 9.139891714049862e-05
Position 1469: 7.754403538802758e-05
Position 3344: 7.70658804667882e-05
Position 263: 7.482059418045837e-05
Position 1961: 7.069798864659628e-05
Position 1237: 6.811181130477945e-05
Position 1079: 6.756969678671668e-05
Position 3964: 6.488176570701792e-05
Position 806: 5.917854649246024e-05
Position 2298: 5.471033775270476e-05
Position 1350: 4.775096967357591e-05
Position 1994: 3.8927015495702406e-05
Position 1794: 3.763085480323047e-05
Position 1017: 3.5483528546298016e-05
Position 1691: 3.2905087229822985e-05
Position 169: 3.1824100312327725e-05
Position 853: 3.163657502725859e-05
Position 2081: 2.9792139262949705e-05
Position 663: 2.5966570262265772e-05
Position 973: 2.100458562760535e-05
