Gene = Acp26Aa
index = 8
Annotated 5SS: [59]
Annotated 3SS: [114]
SMsplice 5SS: [59]
SMsplice 3SS: [114]
top_k =  1000
Partition function (log Z): -5.476134106799928

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9970746908793333
Position 347: 0.0611369289007521
Position 570: 0.031865381239107766
Position 181: 0.004748686673273385
Position 476: 0.00453515163907412
Position 676: 0.00415745992038315
Position 196: 0.0026877195564956567
Position 145: 0.0021736610742483075
Position 691: 0.0016111352126373121
Position 261: 0.0015305354410718665
Position 922: 0.00039583799634024296
Position 878: 0.00027305471894776634
Position 213: 0.000259045758590872
Position 754: 0.00025478136823626357
Position 451: 0.00024558052291758485
Position 499: 0.00022578140320731824
Position 738: 9.249797474097757e-05
Position 578: 3.09802552593298e-05
Position 722: 2.5994542038700598e-05
Position 63: 1.3688507038348556e-05
Position 892: 1.2404416598327465e-05
Position 929: 9.05938812852711e-06
Position 828: 7.589114034633886e-06
Position 612: 4.523101206180444e-06
Position 685: 3.2267393252649894e-06
Position 662: 2.7670117180710486e-06
Position 816: 2.081432696561911e-06
Position 787: 8.150787309314472e-07
Position 99: 5.52852458013499e-07
Position 129: 3.082400285339439e-08
Position 109: 1.5556357949155428e-09
Position 114: 7.554452620656271e-10
Position 674: 1.716780049951991e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.6054071425807984
Position 129: 0.3661604820212299
Position 402: 0.08233695164152192
Position 622: 0.03616119893417113
Position 346: 0.0067815707668210795
Position 408: 0.003900374938211164
Position 780: 0.0024609148496654563
Position 981: 0.0021698721759853055
Position 594: 0.0021222545455867785
Position 728: 0.0016787175502308153
Position 1010: 0.0013534057718680825
Position 543: 0.00045656694677472144
Position 165: 0.00040897195643928405
Position 722: 0.00021427826746827844
Position 426: 0.00021017542225786507
Position 537: 0.00020075803629460533
Position 908: 0.0001454487880065324
Position 662: 0.00012780377293098184
Position 570: 0.00012187195265980313
Position 878: 0.00011791446101711121
Position 451: 0.0001177842247049658
Position 196: 0.00010835907623899321
Position 816: 9.009580274121043e-05
Position 438: 8.992519261884007e-05
Position 787: 7.324359868834004e-05
Position 239: 4.570323365000235e-05
Position 224: 3.8171561484279546e-05
Position 578: 3.569103091977717e-05
Position 691: 3.5591275021852384e-05
Position 364: 2.3455315504248664e-05
Position 264: 2.2167552347222366e-05
Position 671: 1.7170314584588065e-05
Position 473: 1.6199554470967623e-05
Position 136: 1.5267642576585496e-05
Position 742: 1.4612043469143012e-05
Position 913: 1.4592820741021734e-05
Position 794: 1.2935967507651442e-05
Position 732: 1.1269201369901793e-05
Position 461: 9.409833172428382e-06
Position 249: 8.811506337031179e-06
Position 855: 8.618412131156858e-06
Position 181: 8.24209168226681e-06
Position 284: 4.874138009465649e-06
Position 255: 4.117182419598164e-06
Position 145: 3.814596886083761e-06
Position 839: 3.7571865665172517e-06
Position 939: 2.381332144125247e-06
Position 273: 2.138090139507836e-06
Position 791: 2.125776103853252e-06
Position 602: 1.8953209869785193e-06
Position 491: 1.5318122035948784e-06
Position 922: 9.849643622507878e-07
Position 499: 2.2476144894821486e-08
Position 475: 5.381598221997695e-09
Position 550: 3.413105973270942e-09
Position 233: 6.863255738138843e-10
Position 488: 6.495711631168589e-10
Position 545: 3.520710689358111e-10
Position 149: 3.481285750583124e-11
