Gene = RhoGAP68F
index = 1422
Annotated 5SS: [  84 1261 2510 2609 2862]
Annotated 3SS: [1094 2383 2575 2665 2924]
SMsplice 5SS: [  84 1261 2510 2609 2862]
SMsplice 3SS: [1094 2383 2572 2665 2924]
top_k =  1000
Partition function (log Z): 0.5145194033890081

Sorted 5' Splice Sites (High to Low Probability):
Position 1261: 0.9929762081143663
Position 2862: 0.9881716974090895
Position 2510: 0.8650614252483592
Position 2609: 0.7448341478201561
Position 84: 0.6781159761838277
Position 3081: 0.23195014635468014
Position 2160: 0.08618445889794754
Position 924: 0.06387125197608189
Position 2304: 0.05795825843694391
Position 1050: 0.02384239447289884
Position 44: 0.021522952275956426
Position 461: 0.01793003534803581
Position 234: 0.015487898287795534
Position 3078: 0.012831358524562707
Position 934: 0.011852700187318191
Position 834: 0.01054310720007292
Position 361: 0.008791096824915532
Position 442: 0.007959561100415053
Position 150: 0.007181268513029086
Position 118: 0.005684797563978195
Position 2034: 0.005513190564435316
Position 548: 0.00524842173053221
Position 3088: 0.004938468926261487
Position 959: 0.004652301270697857
Position 183: 0.004505721352549034
Position 447: 0.004168760290062991
Position 2692: 0.0039393779053985695
Position 1938: 0.003907500862100121
Position 3085: 0.00378778953884328
Position 870: 0.0035579978422459386
Position 3993: 0.0023821866159895078
Position 3983: 0.002161133727914398
Position 1038: 0.0019111617226115541
Position 174: 0.0017719012696876802
Position 571: 0.0015835832216059159
Position 3099: 0.0015522381895913303
Position 445: 0.0014718498462404203
Position 1951: 0.0013241872868178536
Position 838: 0.0012987179207780252
Position 3102: 0.0012845706038439161
Position 3987: 0.0012510611356990934
Position 3112: 0.0010908621981349997
Position 221: 0.001070215502181857
Position 196: 0.0010270058810615264
Position 2193: 0.0010039103618188188
Position 2857: 0.0009256681126498008
Position 522: 0.0008310471444102224
Position 3420: 0.0007492492534908665
Position 459: 0.0006510282960707566
Position 2469: 0.0006280249996572742
Position 2132: 0.0005546376271976731
Position 473: 0.0005425198516159841
Position 355: 0.0004990233717459396
Position 1445: 0.00048629539170197433
Position 71: 0.00048380005988917874
Position 552: 0.00047093647812115056
Position 4013: 0.0004415748419652863
Position 1935: 0.00042381962971167335
Position 1487: 0.00041554660923616074
Position 1497: 0.000412102259855705
Position 1451: 0.00038706591893780125
Position 3948: 0.0003859265065178633
Position 357: 0.00032483103512843107
Position 4140: 0.000298814984644869
Position 213: 0.00026597130247121316
Position 1826: 0.000248922452603811
Position 2329: 0.00024258953117034963
Position 33: 0.00022873402063094562
Position 719: 0.00018504171946454723
Position 3353: 0.0001740321336370841
Position 711: 0.00016669945088681136
Position 290: 0.00014112657746707618
Position 699: 0.00013158975876968965
Position 3818: 0.00011818057565077103
Position 1595: 0.00011542826093303434
Position 2879: 0.00010514821456412217
Position 618: 9.67361560198706e-05
Position 2079: 9.515517491554817e-05
Position 407: 9.248325382710295e-05
Position 536: 8.188225265375588e-05
Position 4144: 7.556309151363656e-05
Position 2584: 6.851256625976831e-05
Position 945: 6.726642719994416e-05
Position 2006: 6.459226319451533e-05
Position 846: 6.359562845031761e-05
Position 1413: 5.4020808532053044e-05
Position 1501: 5.27532617566266e-05
Position 684: 4.951116862155306e-05
Position 331: 4.216766555646946e-05
Position 2588: 4.161939102407453e-05
Position 3036: 3.9419393865240535e-05
Position 1334: 3.8077457676249446e-05
Position 1833: 3.638071484626584e-05
Position 1265: 3.4962155077667045e-05
Position 1741: 3.4906606468917364e-05
Position 2072: 3.3121970065085656e-05
Position 4399: 3.247738227923761e-05
Position 756: 3.232045280815529e-05
Position 1900: 2.974755755435701e-05
Position 4106: 2.914298073918319e-05
Position 36: 2.8760279409448014e-05
Position 1286: 2.8075025888944158e-05
Position 4111: 2.5906136325183336e-05
Position 3735: 2.233035859189863e-05
Position 1361: 2.1120294226066912e-05
Position 1876: 2.1113130375393718e-05
Position 3627: 2.0499312675716317e-05
Position 2974: 1.6993977285197695e-05
Position 374: 1.581856986902542e-05
Position 1632: 1.3445819285492981e-05
Position 557: 1.3292602155173613e-05
Position 1163: 1.1859505173047772e-05
Position 2736: 9.384901836703499e-06
Position 2613: 9.330144014937239e-06
Position 764: 9.0402352671606e-06
Position 365: 8.809766091333603e-06
Position 876: 8.385526077081268e-06
Position 271: 5.35757692627672e-06
Position 4432: 4.832091944141583e-06
Position 1812: 4.193658052395482e-06
Position 1623: 2.2307280965927197e-06
Position 2545: 1.2121571345006074e-06
Position 600: 1.1578983986830792e-06
Position 2795: 1.1373758601822046e-06
Position 3848: 8.472475436132973e-07
Position 2384: 7.97460059466661e-07
Position 3562: 4.591197893313971e-07
Position 3383: 2.8110454984947874e-07
Position 3754: 2.8019304084438294e-07
Position 3671: 2.2307224037586722e-07
Position 312: 2.067571627849319e-07
Position 2953: 1.4265070719704236e-07
Position 3682: 1.373274533261363e-07
Position 731: 7.174825419279187e-08
Position 359: 6.569705163940983e-08
Position 3021: 6.017334290049173e-08
Position 293: 4.117200378705728e-08
Position 1625: 3.525899632583917e-08
Position 2890: 2.233184280225429e-08
Position 4136: 1.06170454356036e-08
Position 758: 4.2558040347816473e-10
Position 296: 4.164598302271462e-10
Position 766: 3.990149505030827e-10
Position 426: 2.097480022307401e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2924: 0.9900645765760133
Position 2383: 0.8714409501648276
Position 1094: 0.8234603740973645
Position 2665: 0.7117333211685765
Position 2572: 0.598814018565227
Position 2575: 0.27778327611909276
Position 3143: 0.18242209427766423
Position 2271: 0.08474472998948539
Position 3131: 0.05139995251841858
Position 1989: 0.036005359308823634
Position 1870: 0.026108298307053784
Position 2671: 0.020239944880942013
Position 3179: 0.018584979387601706
Position 2050: 0.018394142560560794
Position 858: 0.017512113895203116
Position 304: 0.017275704518401956
Position 1316: 0.015252664935210465
Position 2072: 0.01205381617930142
Position 2059: 0.01153987276619883
Position 2093: 0.010791188353825238
Position 1690: 0.010769316994049795
Position 663: 0.009998091862940898
Position 206: 0.009946752968510053
Position 2751: 0.009736783678073034
Position 2329: 0.0071605723226042806
Position 978: 0.006259608369587926
Position 2132: 0.005652412737065725
Position 2184: 0.004969362349973043
Position 1833: 0.0046426121244683306
Position 2308: 0.004006240728288424
Position 407: 0.0037256188111586207
Position 252: 0.0033907926140313532
Position 4039: 0.003112615445491743
Position 4224: 0.0026050264458105364
Position 1561: 0.00257472453486447
Position 2989: 0.0024727316771697714
Position 374: 0.0023767500822497287
Position 2706: 0.0023534514170187983
Position 116: 0.002320749944336547
Position 1008: 0.0022337775807490193
Position 2608: 0.0019305798213291902
Position 2295: 0.0019262769105454199
Position 3021: 0.0019193586333690683
Position 1361: 0.001851997467810775
Position 1487: 0.0017551436688786643
Position 4250: 0.0017286779202711293
Position 1345: 0.0016791498258068183
Position 571: 0.0015300058819589422
Position 3903: 0.0013063289929445318
Position 1048: 0.0012933343895097434
Position 1632: 0.001053750574560397
Position 2098: 0.00104166789825181
Position 1731: 0.0009442484260076481
Position 1392: 0.0009083276789491348
Position 2079: 0.0008829498563256112
Position 257: 0.0007888054866127476
Position 221: 0.0007830748011629988
Position 3383: 0.0007761376261585179
Position 1812: 0.0007166436517734198
Position 536: 0.0006975135699963812
Position 2164: 0.0006838514056978162
Position 95: 0.0006186332548604591
Position 618: 0.000586292594664978
Position 2937: 0.0005785228433332619
Position 1406: 0.0005499322035308852
Position 4163: 0.0004947854583547996
Position 1883: 0.00048128015713041464
Position 3162: 0.00040153304178896344
Position 724: 0.00039109208178206425
Position 3495: 0.00036488116690390406
Position 4017: 0.00036419222018719476
Position 3568: 0.0003535007725333526
Position 1386: 0.0003488705966625151
Position 942: 0.0003205819041979219
Position 4069: 0.0003167830682935599
Position 557: 0.00027976640682322266
Position 4282: 0.0002766274433196119
Position 2685: 0.00023396037915099458
Position 3318: 0.0002265490711387373
Position 3420: 0.00022209312322549603
Position 3842: 0.00021440542040793509
Position 2528: 0.0002102536137122702
Position 442: 0.00019008436179527332
Position 2339: 0.0001835437424366416
Position 4453: 0.0001792336664533439
Position 996: 0.0001356856997722372
Position 3150: 0.00012973661453029626
Position 807: 0.0001266107523109595
Position 4121: 0.00011587576398460228
Position 234: 0.00010311444943346182
Position 2545: 0.00010298559931788025
Position 884: 0.00010079995072529639
Position 3321: 9.342672134558363e-05
Position 324: 8.442686926033587e-05
Position 3735: 8.292402644240296e-05
Position 3758: 7.939742609148185e-05
Position 1188: 7.893767126991745e-05
Position 4381: 7.562158960255303e-05
Position 2759: 6.954714155575678e-05
Position 1442: 6.424267418034051e-05
Position 3198: 6.417055630243224e-05
Position 158: 6.359279451217289e-05
Position 3652: 6.21931654360601e-05
Position 2100: 4.604372074532293e-05
Position 2729: 4.45121330138908e-05
Position 4499: 4.285383182692599e-05
Position 800: 3.6796664014630096e-05
Position 575: 3.507694894650576e-05
Position 148: 3.433350518925392e-05
Position 1457: 3.32622180721735e-05
Position 3159: 3.250643279625435e-05
Position 3266: 3.1437906611822505e-05
Position 1737: 3.115440197941017e-05
Position 592: 2.6098503996323455e-05
Position 3462: 2.451750533177994e-05
Position 271: 2.140420539097245e-05
Position 2689: 1.980683406539474e-05
Position 750: 1.9572528450193596e-05
Position 1163: 1.8891041464770337e-05
Position 2940: 1.7448840810857275e-05
Position 2997: 1.645605674521552e-05
Position 1594: 1.2993220828488143e-05
Position 2790: 1.2565428343041135e-05
Position 1025: 1.1177001903234223e-05
Position 2793: 9.083005039181367e-06
Position 4435: 7.998013301299197e-06
Position 2736: 7.122308537081696e-06
Position 1124: 6.896502899503909e-06
Position 3166: 6.602067570309641e-06
Position 628: 5.309910739987877e-06
Position 545: 3.8791285321646314e-06
Position 671: 3.339063982488218e-06
Position 895: 3.1355859685582405e-06
Position 1013: 3.0297010720527973e-06
Position 387: 2.583999433667896e-06
Position 139: 2.1324751832962847e-06
Position 866: 1.8564397248909745e-06
Position 83: 1.4391546433566968e-06
Position 2613: 1.2183743177442133e-06
Position 1708: 7.946850199079583e-07
Position 1741: 7.470257705368692e-07
Position 747: 2.7702792446063047e-07
Position 3042: 1.408462007687235e-07
Position 473: 1.209771191490753e-07
Position 420: 9.514186130233337e-08
Position 118: 2.470153397458474e-08
Position 455: 2.8438303210788016e-11
Position 379: 4.177818178432521e-12
