Gene = mTTF
index = 1782
Annotated 5SS: [ 493 1138]
Annotated 3SS: [ 556 1192]
SMsplice 5SS: [ 493 1138]
SMsplice 3SS: [ 556 1192]
top_k =  1000
Partition function (log Z): 1.668632836219292

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9972113110694553
Position 1138: 0.9956939389398625
Position 661: 0.20989308013770835
Position 751: 0.04850171746464095
Position 1018: 0.019367171763936774
Position 958: 0.010496078195307039
Position 185: 0.0019732842608170455
Position 1323: 0.0016469760625719549
Position 1114: 0.000729912828763574
Position 1202: 0.0005917639879907387
Position 235: 0.0005767059274318232
Position 397: 0.0005748559889413306
Position 1343: 0.0005487032327009423
Position 804: 0.0005064510488684745
Position 202: 0.00039848207293253655
Position 736: 0.0003771265333129518
Position 841: 0.00023980196007509938
Position 1481: 0.000221779156186515
Position 665: 0.0002068745489425118
Position 1487: 0.00019343646600383883
Position 1492: 0.00019317017117870684
Position 894: 0.00014012611757947962
Position 1369: 0.00013661284279533234
Position 64: 0.00011232366509988488
Position 464: 9.152557386006293e-05
Position 856: 8.855535822603921e-05
Position 1247: 7.403695981064983e-05
Position 1123: 6.026022690950554e-05
Position 795: 5.425304741515016e-05
Position 1042: 2.5742048415124854e-05
Position 1466: 2.465508849473855e-05
Position 441: 2.3297637695495128e-05
Position 709: 2.2244656924917227e-05
Position 640: 1.6477352078002334e-05
Position 1039: 1.605053370454726e-05
Position 707: 1.5918883331062805e-05
Position 951: 1.4611181679654058e-05
Position 328: 1.3626468228352828e-05
Position 1419: 1.3224324173947103e-05
Position 588: 1.0892131126684214e-05
Position 903: 6.95602070633144e-06
Position 24: 6.632015476540199e-06
Position 777: 5.806235899474412e-06
Position 1421: 5.8003831232300375e-06
Position 1067: 5.691752248190312e-06
Position 33: 5.4875081991353366e-06
Position 1484: 5.2108383763609856e-06
Position 223: 4.949201634913269e-06
Position 1142: 4.89508582125424e-06
Position 303: 4.727232815896896e-06
Position 459: 4.706920856807437e-06
Position 1129: 4.2222675681142346e-06
Position 1029: 3.92113630816981e-06
Position 647: 3.5139392211262403e-06
Position 843: 2.9822731639350265e-06
Position 378: 2.836251529499128e-06
Position 1326: 2.350198313514617e-06
Position 521: 2.1456298210209233e-06
Position 13: 1.3982514103469766e-06
Position 53: 1.33526985425423e-06
Position 619: 1.241224693032526e-06
Position 898: 1.1325738745703391e-06
Position 536: 1.115962509344461e-06
Position 479: 1.069382940747622e-06
Position 1152: 9.55767025572023e-07
Position 1061: 8.661094477880692e-07
Position 1231: 8.639434355094845e-07
Position 414: 7.884681018991605e-07
Position 1378: 4.979825194555132e-07
Position 261: 2.502153553995083e-07
Position 1079: 1.103301555722005e-07
Position 543: 2.3100883908383723e-09
Position 908: 1.3476419867129445e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 556: 0.9948066177137923
Position 1192: 0.9885605861621094
Position 894: 0.1440367874028801
Position 722: 0.0872248836943407
Position 1073: 0.02923395272896599
Position 1017: 0.01547938092154671
Position 1278: 0.005879000571179993
Position 822: 0.005641679154129379
Position 903: 0.004626320825499639
Position 1387: 0.002288704547736143
Position 813: 0.0018718901556359253
Position 275: 0.0018571727886965252
Position 1359: 0.0016705889252813272
Position 1113: 0.0015556204231518982
Position 1079: 0.0010954861595992701
Position 1543: 0.000658900197265887
Position 729: 0.0006025331613673905
Position 771: 0.0005737390015101651
Position 234: 0.0004574031733814431
Position 1199: 0.0003833000000556563
Position 603: 0.00029328711580550894
Position 1513: 0.0002605685248557678
Position 1231: 0.00023088635081415366
Position 864: 0.00021684123625122448
Position 400: 0.0001969817193912574
Position 1419: 0.0001764066898940342
Position 1294: 0.00016256477547961878
Position 296: 0.000143248911519404
Position 924: 0.00010704171119729265
Position 1054: 9.546357092617597e-05
Position 984: 7.650076074213059e-05
Position 996: 7.412307656476554e-05
Position 801: 5.627627205639148e-05
Position 1239: 5.146858586670741e-05
Position 1246: 4.5308152763668645e-05
Position 1172: 3.930430076601245e-05
Position 936: 3.81469120524441e-05
Position 238: 3.47494980000004e-05
Position 1297: 3.088163013029303e-05
Position 1225: 2.9575268001795758e-05
Position 315: 2.5825781661928297e-05
Position 740: 2.544677550525671e-05
Position 106: 2.471773177331382e-05
Position 588: 2.3378424284644157e-05
Position 1430: 2.1587132593493895e-05
Position 573: 2.142286483877067e-05
Position 163: 1.9463932817943433e-05
Position 431: 1.7818554107097626e-05
Position 113: 1.5570322555623607e-05
Position 579: 1.4146997337105188e-05
Position 1407: 1.1586583874829133e-05
Position 1201: 1.0765897557409194e-05
Position 185: 1.0000508710044566e-05
Position 1427: 9.915896763194289e-06
Position 1492: 9.167815870376542e-06
Position 942: 8.8681596973037e-06
Position 1398: 5.343294519203741e-06
Position 350: 4.924703429041766e-06
Position 454: 4.190090890706177e-06
Position 699: 4.119800004081949e-06
Position 915: 4.0226633741761515e-06
Position 73: 3.9572318978393995e-06
Position 166: 3.890505748383571e-06
Position 367: 3.410878491486752e-06
Position 1208: 3.252131568278549e-06
Position 125: 2.9225341361878174e-06
Position 1027: 2.6982319079158684e-06
Position 1084: 2.363634190564703e-06
Position 1089: 2.3179016623509204e-06
