Gene = Tspo
index = 1574
Annotated 5SS: [426]
Annotated 3SS: [484]
SMsplice 5SS: [426]
SMsplice 3SS: [484]
top_k =  1000
Partition function (log Z): -5.468067973062308

Sorted 5' Splice Sites (High to Low Probability):
Position 426: 0.9948527763058304
Position 699: 0.12461346646699616
Position 726: 0.08897688292896318
Position 694: 0.02906656984735098
Position 200: 0.0008066458925249401
Position 430: 0.0006932618998759597
Position 356: 0.00034577092590571534
Position 45: 0.0001952758337661337
Position 843: 5.1176160403422416e-05
Position 300: 3.5522674808209165e-05
Position 135: 2.454695374955397e-05
Position 269: 2.2391291599468685e-05
Position 455: 1.087199851858372e-05
Position 736: 7.47134074859836e-06
Position 243: 5.702423204030066e-06
Position 307: 4.090215584462244e-06
Position 72: 4.0027002124314804e-06
Position 548: 3.3831235090314773e-06
Position 97: 3.0761166294740925e-06
Position 575: 2.036451215588841e-06
Position 520: 1.5660287183497027e-06
Position 101: 1.4713667063778992e-06
Position 215: 6.949568187571306e-07
Position 500: 6.600001546013183e-07
Position 32: 6.317326357817806e-07
Position 738: 5.535670267944818e-07
Position 257: 5.372791940489626e-07
Position 386: 5.137022031849818e-07
Position 103: 4.208061810869674e-07
Position 584: 3.6892806644517133e-07
Position 792: 2.0955169960414587e-07
Position 815: 1.4205802006582498e-07
Position 457: 1.0929600592565032e-07
Position 462: 1.0054003252352335e-07
Position 538: 6.940323642539961e-08
Position 862: 3.039267011908219e-08
Position 533: 2.3218504843190573e-08
Position 302: 7.817684042665688e-09
Position 221: 2.4788286016759376e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 484: 0.9924617848234872
Position 757: 0.15166285401606536
Position 780: 0.09363210102262245
Position 500: 0.0010550519074148783
Position 815: 0.0002955743545717979
Position 556: 0.00014853476499751352
Position 905: 0.00014391390483803907
Position 230: 8.875609066537927e-05
Position 410: 7.094652942517168e-05
Position 368: 4.773962619192325e-05
Position 812: 3.274687725194781e-05
Position 792: 2.838407721100812e-05
Position 194: 1.6531888003844233e-05
Position 181: 1.4659491554963606e-05
Position 631: 1.3546829928574142e-05
Position 215: 6.424734816418074e-06
Position 548: 5.880641079789136e-06
Position 843: 3.549126897258041e-06
Position 454: 1.4298290565934897e-06
Position 649: 5.896304713598064e-07
Position 185: 5.894298145275866e-07
Position 449: 4.28446836797629e-07
Position 652: 3.937481313860125e-07
Position 646: 1.6797780484112442e-07
Position 196: 1.5475694167404625e-07
Position 709: 9.660286212483133e-08
Position 726: 8.922377204749646e-08
Position 422: 4.5340333931886886e-08
Position 704: 4.5090318643998175e-08
Position 332: 7.1082479908258e-09
Position 684: 6.823733030782721e-09
Position 661: 2.5528348815781402e-09
Position 673: 1.9664711129751184e-09
Position 694: 1.7663920437288234e-09
Position 643: 1.680048334684839e-09
Position 430: 8.921382022625574e-10
Position 681: 6.005638980258175e-10
Position 670: 4.2982074943398507e-10
Position 318: 6.953541412670288e-11
Position 667: 2.631881466116602e-12
