Gene = ND-30
index = 1297
Annotated 5SS: [170 305]
Annotated 3SS: [229 362]
SMsplice 5SS: [170 305]
SMsplice 3SS: [229 362]
top_k =  1000
Partition function (log Z): -6.625267831284556

Sorted 5' Splice Sites (High to Low Probability):
Position 305: 0.6397834771104476
Position 170: 0.3925197512783773
Position 174: 0.3361415639057913
Position 309: 0.2031195534048552
Position 724: 0.002553667496256993
Position 748: 0.0023780771207154265
Position 732: 0.0019492987797671282
Position 989: 0.0014952277717803588
Position 442: 0.000407421667389938
Position 485: 0.00040343502273450547
Position 611: 0.0003782643515969834
Position 704: 0.00015951867262045671
Position 455: 0.0001436575910712347
Position 343: 6.194841459199132e-05
Position 614: 3.338951860044766e-05
Position 156: 2.3738255094517513e-05
Position 315: 2.331268106946374e-05
Position 509: 1.826202748500891e-05
Position 269: 1.8128895437150975e-05
Position 131: 1.719629893406911e-05
Position 280: 1.0949961644699189e-05
Position 59: 1.0322074221619243e-05
Position 506: 7.899415725255834e-06
Position 97: 6.581513091973746e-06
Position 563: 5.973029481767503e-06
Position 757: 3.8683910616745836e-06
Position 1018: 3.5034671856311474e-06
Position 550: 2.421913928783654e-06
Position 925: 2.2409165895416906e-06
Position 232: 1.998317684443264e-06
Position 578: 1.8416039405648663e-06
Position 804: 1.828994999198206e-06
Position 78: 1.7996460364120697e-06
Position 992: 1.5291150653095167e-06
Position 584: 1.4902634296178542e-06
Position 1032: 9.024560821774262e-07
Position 755: 7.011896301783863e-07
Position 145: 5.224293941626897e-07
Position 137: 4.516234945231766e-07
Position 916: 4.4587743635369664e-07
Position 1028: 4.127486646040623e-07
Position 101: 3.8422036399245953e-07
Position 446: 1.480807616266121e-08
Position 523: 9.113331944065167e-09
Position 229: 2.3535475176622736e-09
Position 591: 1.424573341278623e-09
Position 332: 8.954525479791779e-10
Position 515: 6.515657922613017e-10
Position 330: 4.691889691023347e-10
Position 851: 3.680409789719948e-10
Position 430: 2.709641873960466e-10
Position 656: 1.0110083122982088e-10
Position 368: 3.148471854282639e-11
Position 386: 2.751707140603101e-13
Position 422: 1.1483773736043288e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 362: 0.8419482247740465
Position 229: 0.7221320568286071
Position 823: 0.006295973144552311
Position 376: 0.005169936463690921
Position 811: 0.0016297157432815788
Position 1051: 0.00162105183969795
Position 661: 0.0013125613859863677
Position 854: 0.0003879683678674105
Position 544: 0.000368925967814124
Position 386: 0.00020049218708693804
Position 523: 0.00016125883785367243
Position 347: 0.00011886575352243489
Position 269: 9.044958065642739e-05
Position 532: 3.906885792484122e-05
Position 451: 3.7631863804396995e-05
Position 442: 3.188174018700719e-05
Position 550: 3.0315572171061988e-05
Position 192: 1.4247408026393271e-05
Position 676: 1.3228378515784748e-05
Position 712: 1.2858358053487644e-05
Position 308: 9.638396252197685e-06
Position 992: 8.3480314144891e-06
Position 1003: 8.18971304485776e-06
Position 500: 8.00338048107856e-06
Position 122: 7.067311527009663e-06
Position 454: 6.690335375579387e-06
Position 877: 6.65836954169937e-06
Position 1076: 6.35298474129224e-06
Position 598: 5.966655170254824e-06
Position 952: 3.1106612540278716e-06
Position 104: 2.86754163876038e-06
Position 913: 2.0194174504514674e-06
Position 880: 1.84316404318733e-06
Position 502: 1.5967518373976854e-06
Position 145: 8.947236995706326e-07
Position 460: 5.271060896359886e-07
Position 280: 3.8152311735291513e-07
Position 291: 7.540986164295599e-08
Position 294: 2.9919121012398816e-08
Position 303: 7.50126143269448e-09
Position 610: 2.5110720729738425e-09
Position 478: 1.9725235202473184e-09
Position 484: 1.344015036296696e-09
Position 194: 1.1037868949191153e-09
Position 430: 9.812894570520936e-10
Position 315: 3.3658573108357345e-11
Position 285: 2.4756732554277615e-11
