Gene = Mt2
index = 1289
Annotated 5SS: [122]
Annotated 3SS: [170]
SMsplice 5SS: [122]
SMsplice 3SS: [170]
top_k =  1000
Partition function (log Z): -10.890489549147992

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.8531799084489843
Position 980: 0.1154442101336581
Position 252: 0.010041207883949594
Position 290: 0.009577971257291451
Position 29: 0.009030449167805092
Position 36: 0.007395938641967388
Position 64: 0.005672876668021482
Position 32: 0.00422812158796295
Position 27: 0.003442916646003376
Position 260: 0.002389678191463522
Position 230: 0.0012475511531157217
Position 126: 0.0009485019171450845
Position 3: 0.0006224937852702952
Position 918: 0.00047022200478351084
Position 13: 0.00035124570709261723
Position 612: 0.00015129133247570678
Position 716: 0.0001472680836670761
Position 681: 0.00012811734184239328
Position 795: 0.00012598000978588728
Position 734: 0.00011530454229338207
Position 895: 7.387407897334873e-05
Position 445: 5.348853457039235e-05
Position 761: 4.8496717572727866e-05
Position 520: 4.358986794110733e-05
Position 73: 4.0771463532573226e-05
Position 288: 3.959291833139528e-05
Position 660: 3.7773732821092734e-05
Position 541: 3.410462673278452e-05
Position 471: 2.1027617499044753e-05
Position 464: 1.9983921286376538e-05
Position 767: 1.9939428888802413e-05
Position 194: 1.5236975685163875e-05
Position 342: 1.1809043083090235e-05
Position 412: 1.1217889501669698e-05
Position 704: 8.86543256405595e-06
Position 569: 7.131756648928256e-06
Position 299: 7.059810045669461e-06
Position 218: 6.829943231869874e-06
Position 805: 5.923859324039689e-06
Position 209: 5.300151379597233e-06
Position 89: 2.879187908205921e-06
Position 1010: 2.7693923164690883e-06
Position 130: 2.4133810613823857e-06
Position 499: 2.0196131528950305e-06
Position 937: 1.7872366653231754e-06
Position 430: 1.1746283823383469e-06
Position 633: 2.7934286151892644e-07
Position 746: 2.1667763018911462e-07
Position 899: 1.8299869485684784e-08
Position 414: 9.794672708112527e-12
Position 331: 2.2921357239511894e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 170: 0.8117575427210199
Position 1055: 0.11450568132268145
Position 194: 0.03895188062680188
Position 346: 0.02338795148382333
Position 79: 0.013421675231779727
Position 428: 0.0030858126755962173
Position 817: 0.0017354831875349874
Position 282: 0.0017027601440129895
Position 361: 0.0015476702174619112
Position 270: 0.0014372148377258752
Position 313: 0.0014220363882873211
Position 1108: 0.0013500929432816665
Position 295: 0.0012819011472324298
Position 252: 0.0012490373288117894
Position 89: 0.0012328407526560408
Position 610: 0.001201773982143108
Position 640: 0.000834502781013154
Position 798: 0.0008126802946621095
Position 307: 0.0005336983367202807
Position 759: 0.0005264801622954829
Position 668: 0.0005120809134298385
Position 979: 0.0005090319379517714
Position 871: 0.00036947742804319117
Position 795: 0.00033675363914156017
Position 299: 0.0003233962023498222
Position 469: 0.00025523531926379436
Position 1075: 0.00024577559227909046
Position 487: 0.00012715795511961413
Position 1095: 0.00011983569172698156
Position 955: 7.676590151253606e-05
Position 617: 6.459601963966773e-05
Position 673: 4.9478358542672355e-05
Position 946: 4.834576126652978e-05
Position 925: 3.9275131999860965e-05
Position 679: 2.7321971628476317e-05
Position 838: 2.3894842293714016e-05
Position 904: 2.260134934430922e-05
Position 937: 2.12669526890099e-05
Position 383: 1.8946797674960913e-05
Position 499: 1.8414258726685838e-05
Position 126: 1.8042578829876063e-05
Position 895: 1.015782606216716e-05
Position 436: 7.997418873122999e-06
Position 372: 4.909095311899998e-06
Position 445: 3.4031150509692905e-06
Position 650: 2.0232352854311634e-06
Position 1036: 1.8260690405217425e-06
Position 918: 4.6185803218904264e-08
Position 478: 2.8911139988547755e-08
Position 517: 2.7008976926591016e-08
Position 288: 1.1341226877097699e-11
Position 388: 2.4777353112929265e-13
