Gene = ms(2)34Fe
index = 1796
Annotated 5SS: [ 290  684 1847 2658 3524 4259 4489 4757 4923]
Annotated 3SS: [ 345  741 1908 2719 3638 4333 4548 4814 4982]
SMsplice 5SS: [ 290  684 1847 2658 4259 4757 4923]
SMsplice 3SS: [ 345  741 1908 2719 4548 4814 4982]
top_k =  1000
Partition function (log Z): 20.070369807324067

Sorted 5' Splice Sites (High to Low Probability):
Position 684: 0.9986808960918454
Position 4923: 0.9953073995296249
Position 1847: 0.9942676124642085
Position 290: 0.9862589057494074
Position 2658: 0.9755602898730341
Position 4259: 0.9315679258046158
Position 4757: 0.8556494816490263
Position 4489: 0.45741993903629263
Position 3090: 0.3885889857540334
Position 3524: 0.3345354109745927
Position 1569: 0.2702336513170848
Position 1393: 0.14777777019209407
Position 3939: 0.07744322148197529
Position 5137: 0.05248793837248213
Position 1723: 0.029835037310635675
Position 3529: 0.022000186206358647
Position 4768: 0.01608912911912639
Position 3789: 0.012548101614759579
Position 2179: 0.009822415088753275
Position 1074: 0.009821003421176745
Position 1247: 0.009008168464740536
Position 3667: 0.008377083555684376
Position 4670: 0.007437765621877083
Position 2820: 0.007148890802361287
Position 1259: 0.006964901914115515
Position 1387: 0.006051881571719573
Position 1536: 0.005338672857936628
Position 988: 0.005011131659184202
Position 2463: 0.004869328837916531
Position 2160: 0.004306433264421503
Position 1028: 0.0038523380016679603
Position 1301: 0.0035491430666500256
Position 3491: 0.003467576148747152
Position 1080: 0.003200703830625495
Position 1833: 0.003127533498671929
Position 2162: 0.0028507883263305185
Position 2318: 0.0028388296634689818
Position 3268: 0.0027434999876725747
Position 3601: 0.002623654210599131
Position 2812: 0.002216017580462675
Position 2967: 0.002191306810779799
Position 3970: 0.0019466668099573738
Position 1851: 0.001654602678725725
Position 2283: 0.0014146434947288852
Position 443: 0.0013003981591733459
Position 4908: 0.0012427126460688481
Position 2763: 0.0011451953816725522
Position 4934: 0.0011228861813756894
Position 3736: 0.0011212534652850692
Position 4893: 0.0011169531723375207
Position 1420: 0.0009966335269937642
Position 2024: 0.0008596643678886545
Position 4743: 0.0007806136478398572
Position 2019: 0.0007065058504280195
Position 1070: 0.0006925360820824823
Position 3585: 0.0005930823947158405
Position 2191: 0.0005095783032481856
Position 1363: 0.0004943734030353097
Position 5325: 0.0004929165851988217
Position 1950: 0.00041328725664923775
Position 3151: 0.0004083965945887042
Position 1690: 0.00040666706895849027
Position 1170: 0.00038804499898542155
Position 1174: 0.00038402092580282844
Position 1771: 0.0003818833090916236
Position 270: 0.00034753036450674524
Position 323: 0.00033689914132015484
Position 5085: 0.00031414508446100736
Position 787: 0.000283580726753986
Position 2586: 0.0002796156289388276
Position 297: 0.0002746560903233777
Position 1607: 0.00026841153726205925
Position 4691: 0.00026657605239229604
Position 5182: 0.0002523667463272413
Position 2166: 0.00024140978164806585
Position 1758: 0.00023357332523842375
Position 4638: 0.00023088097308151037
Position 1516: 0.0002090954782946562
Position 1107: 0.00020751591340759538
Position 5314: 0.00019922227810821307
Position 464: 0.00018339278803391833
Position 3136: 0.0001720949290942201
Position 1529: 0.00017172605965423048
Position 2745: 0.00017122157434945948
Position 2366: 0.00016212980840405182
Position 651: 0.0001554223095637678
Position 1940: 0.00014772646571521784
Position 1960: 0.00014761311853235938
Position 4913: 0.00013518979093214673
Position 5139: 0.00013310476164810306
Position 4722: 0.00011856405051880031
Position 5334: 0.00011181597415681217
Position 671: 0.00010953356892381405
Position 2666: 0.00010107780700196426
Position 1104: 9.807808725734885e-05
Position 1192: 9.760541790336703e-05
Position 4254: 9.251096082678376e-05
Position 416: 9.151889666335594e-05
Position 1592: 9.036500280986625e-05
Position 4241: 7.302997484185205e-05
Position 4927: 7.241875554465115e-05
Position 2408: 7.235932491046107e-05
Position 1020: 7.00036008987561e-05
Position 5312: 6.383429039662722e-05
Position 2801: 6.140509478243917e-05
Position 1333: 5.6648006734007866e-05
Position 5276: 5.5217418959508094e-05
Position 2066: 5.4631155206773987e-05
