Gene = Spindly
index = 1513
Annotated 5SS: [ 550  780 1062 1262 1501]
Annotated 3SS: [ 613  845 1119 1401 1560]
SMsplice 5SS: [ 550  780 1062 1501]
SMsplice 3SS: [ 613  845 1119 1560]
top_k =  1000
Partition function (log Z): 6.655346544177686

Sorted 5' Splice Sites (High to Low Probability):
Position 1501: 0.9957816242453363
Position 550: 0.9934177114580032
Position 1062: 0.9884886586639194
Position 780: 0.9653280628738533
Position 1262: 0.22619067788680622
Position 1359: 0.10767315137544572
Position 1354: 0.03753134022598247
Position 783: 0.02660703292458331
Position 1223: 0.009829923013120563
Position 1940: 0.008362458632284733
Position 1865: 0.006330876131691501
Position 2735: 0.005701358191651571
Position 1992: 0.005450538609533533
Position 2477: 0.005249912887752651
Position 2252: 0.004733146510516213
Position 1706: 0.0045290446514995525
Position 1313: 0.0025452176382263878
Position 405: 0.0025225319868435016
Position 2745: 0.002407279443092189
Position 728: 0.0014779992054080918
Position 417: 0.0013033119282316267
Position 343: 0.0012111354744947446
Position 1066: 0.0012087919794135263
Position 2732: 0.0008370961418395803
Position 2042: 0.000800591634380072
Position 535: 0.0006004599842799135
Position 641: 0.0005009955915440751
Position 2292: 0.0004958850979748995
Position 1340: 0.0004797905426715497
Position 501: 0.0003803673633126149
Position 476: 0.000375817982002168
Position 1916: 0.0002710689131238277
Position 1959: 0.00025167183498700757
Position 1798: 0.00023249352158870594
Position 1083: 0.00021658781980508798
Position 1712: 0.0001971924502641569
Position 2690: 0.0001684535238980208
Position 569: 0.00016719937627484704
Position 1922: 0.00015319139101125926
Position 1281: 0.00014406061354081662
Position 1227: 0.00012043073068540426
Position 1268: 0.00011445632974198589
Position 1087: 0.0001068312891325622
Position 1660: 0.00010229406278108034
Position 2673: 7.759198702645094e-05
Position 2129: 7.714162932632036e-05
Position 2297: 7.059077935197238e-05
Position 1023: 7.023400114255944e-05
Position 2217: 6.184627182254221e-05
Position 1041: 5.053491035485824e-05
Position 978: 4.613489789622963e-05
Position 1710: 4.193935386709521e-05
Position 2175: 3.45893153761722e-05
Position 288: 3.242591451376492e-05
Position 2727: 3.0221222405535135e-05
Position 1826: 1.9908085752941203e-05
Position 2578: 1.9207126797372946e-05
Position 1481: 1.7852749457061547e-05
Position 2853: 1.555946333898804e-05
Position 84: 1.3755350476645143e-05
Position 2257: 1.3436602762960235e-05
Position 2421: 1.0954867455992683e-05
Position 2225: 8.589824164520352e-06
Position 711: 7.794606988946605e-06
Position 281: 7.529760961336223e-06
Position 1868: 6.2722958563098636e-06
Position 33: 4.867853575871272e-06
Position 195: 4.4927464173849e-06
Position 11: 3.891317620069014e-06
Position 449: 3.85426062539567e-06
Position 1108: 3.1648025638130007e-06
Position 224: 2.4979084821195544e-06
Position 76: 1.918403772104363e-06
Position 995: 1.320394557791076e-06
Position 316: 7.683430181439352e-07
Position 875: 6.026259124580849e-07
