Gene = Tfb4
index = 1555
Annotated 5SS: [  61  299  547 1027]
Annotated 3SS: [ 117  350  607 1090]
SMsplice 5SS: [  61  299  547 1027]
SMsplice 3SS: [ 117  350  607 1090]
top_k =  1000
Partition function (log Z): 5.245700708823288

Sorted 5' Splice Sites (High to Low Probability):
Position 299: 0.9887649030050103
Position 547: 0.9514271844052147
Position 61: 0.9395622204067103
Position 1027: 0.9127917790250077
Position 818: 0.02569275481373108
Position 494: 0.025165826181429093
Position 276: 0.007597893122302293
Position 1160: 0.004059412061024356
Position 808: 0.0038329848570036636
Position 688: 0.003318182619432723
Position 531: 0.002442379373946758
Position 853: 0.0013507307306661605
Position 977: 0.0012172392772124747
Position 676: 0.001063594691837949
Position 219: 0.0010176545947996709
Position 303: 0.000622398057403888
Position 771: 0.0005662567852724825
Position 273: 0.0004561863046216077
Position 1031: 0.00039764422703996295
Position 945: 0.0003546648217866091
Position 439: 0.000322392948595305
Position 789: 0.00029276900092154817
Position 989: 0.00027772590622532063
Position 408: 0.00017119045416859674
Position 697: 0.00016196135904909773
Position 321: 0.00014619217344354583
Position 1172: 0.00011552750561934658
Position 707: 7.136730966152018e-05
Position 500: 6.552147166959153e-05
Position 67: 3.5620912233327635e-05
Position 519: 2.910054661636417e-05
Position 857: 2.0448955216980114e-05
Position 427: 1.7482154207445126e-05
Position 397: 1.3459902816516912e-05
Position 844: 6.378363561341428e-06
Position 656: 4.014457368880205e-06
Position 632: 3.457987701222511e-06
Position 1005: 3.0072102855012306e-06
Position 141: 2.8328713513462048e-06
Position 968: 2.8315613881979696e-06
Position 417: 2.0759441748987547e-06
Position 382: 2.036821711039354e-06
Position 177: 1.4536647271676255e-06
Position 914: 7.537847935121983e-07
Position 602: 6.760465528044036e-07
Position 1185: 6.562334430214972e-07
Position 659: 6.078495280252241e-07
Position 360: 2.648330728243833e-07
Position 882: 1.2107698291838225e-07
Position 1111: 7.273690792667447e-08
Position 893: 3.643034879643741e-08
Position 147: 1.412313345886653e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.9888835209566805
Position 607: 0.9673612230864755
Position 117: 0.9358040949336989
Position 1090: 0.9055080296669534
Position 877: 0.0390724752161445
Position 374: 0.00743117305265716
Position 613: 0.005712040563290208
Position 1103: 0.005030065334087923
Position 1229: 0.004306235407262358
Position 1127: 0.0029657229488261037
Position 377: 0.002266742928857081
Position 808: 0.0021213956247483766
Position 170: 0.001615167399023472
Position 914: 0.001208273851464796
Position 1069: 0.001114522640163116
Position 194: 0.0010909158317070659
Position 724: 0.0004233917054355865
Position 1056: 0.00026178689164997696
Position 665: 0.0002186874910013984
Position 185: 0.0001994756518920506
Position 688: 0.0001736021516997454
Position 637: 0.00016150366726941368
Position 1217: 9.411389019080381e-05
Position 1005: 6.427363506831114e-05
Position 1169: 5.5921239570412515e-05
Position 414: 4.02876226795401e-05
Position 435: 3.647609013506923e-05
Position 1172: 3.376074473019439e-05
Position 215: 2.9266521930129948e-05
Position 817: 2.1818679477931423e-05
Position 615: 2.148504769478657e-05
Position 557: 2.0576946268347866e-05
Position 1027: 1.8991122231260935e-05
Position 251: 1.0222716762517802e-05
Position 844: 1.0192203456452435e-05
Position 781: 9.887579441585586e-06
Position 545: 9.143895448664947e-06
Position 826: 8.169511765677678e-06
Position 1175: 8.116576605867582e-06
Position 669: 7.895602377280714e-06
Position 771: 6.1134169478005626e-06
Position 785: 5.6681439979245435e-06
Position 763: 5.417260614946888e-06
Position 254: 5.298957914889891e-06
Position 1136: 5.214965305797211e-06
Position 397: 4.439615526664597e-06
Position 1142: 2.894013740552324e-06
Position 408: 2.479443783213514e-06
Position 1194: 2.3541198530280304e-06
Position 1145: 1.5165627489696969e-06
Position 550: 3.912761644766406e-07
Position 1198: 2.6295004435241834e-07
Position 485: 2.441462674866276e-07
Position 1072: 1.930362096368269e-07
Position 382: 1.854804969573066e-07
Position 552: 1.8252747811524983e-07
Position 515: 1.4289887118949424e-07
Position 260: 9.598881157233785e-08
Position 450: 6.159907567179973e-08
Position 306: 6.131740200068589e-08
Position 447: 5.527317232177036e-08
Position 561: 1.4873473926775061e-08
Position 444: 2.396620811703221e-09
Position 458: 1.8410223665885532e-09
Position 308: 1.4309807990911148e-09
Position 432: 1.346548863475553e-09
Position 498: 3.873134707288101e-10
Position 303: 6.171940557096802e-11
