Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
top_k =  1000
Partition function (log Z): -0.2505902435918458

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.998031117731962
Position 456: 0.7879936478573003
Position 140: 0.11201557678608044
Position 788: 0.06210379148399534
Position 435: 0.04577895047418966
Position 980: 0.01741716238047721
Position 835: 0.014692421002606577
Position 361: 0.0058809920138949475
Position 423: 0.0057347903145538144
Position 867: 0.005435668528954109
Position 31: 0.0026798276631613805
Position 632: 0.001767244739400439
Position 1376: 0.0017214992805267572
Position 387: 0.0013035835745072108
Position 1468: 0.0012776439240932964
Position 239: 0.001277046578962569
Position 172: 0.00116244485623853
Position 13: 0.0011595781872167314
Position 1046: 0.0010013613566004756
Position 258: 0.0009663351587975963
Position 858: 0.0008971656803239512
Position 74: 0.0007436180660177687
Position 1043: 0.0007313989480948571
Position 260: 0.0006573628302935341
Position 262: 0.0006340560602091502
Position 264: 0.0005632489350199806
Position 159: 0.0005494892047040242
Position 266: 0.0003994643792504847
Position 736: 0.00026995567524314276
Position 901: 0.0002435355672147139
Position 1143: 0.00024133887585059738
Position 408: 0.0002216025758419128
Position 10: 0.00021331654179128823
Position 108: 0.0001761367571940259
Position 26: 0.0001711248916766119
Position 1018: 0.00015445710334071634
Position 411: 0.00014254634377451955
Position 28: 0.00012306833012787116
Position 186: 0.00011337951276530492
Position 1015: 9.25925780139285e-05
Position 48: 8.716540143278683e-05
Position 1157: 6.834078873349055e-05
Position 1086: 5.267851752278283e-05
Position 1029: 5.266491629988382e-05
Position 843: 4.3924456263242474e-05
Position 1059: 4.288856151898931e-05
Position 851: 4.239042179790535e-05
Position 839: 3.82821594008881e-05
Position 1571: 3.457296069565739e-05
Position 956: 2.423798018950221e-05
Position 1343: 1.7377321379239234e-05
Position 833: 1.7339521742712647e-05
Position 1527: 1.565487308251946e-05
Position 270: 1.5412447363611993e-05
Position 1419: 1.4258357084298406e-05
Position 268: 1.027588062260696e-05
Position 775: 9.851330928008103e-06
Position 708: 9.620727106962224e-06
Position 330: 7.399151180729938e-06
Position 998: 6.902796341103497e-06
Position 277: 2.500413024677361e-06
Position 1206: 2.4736180005500712e-06
