Gene = eIF3l
index = 1686
Annotated 5SS: [ 142 1326 2353]
Annotated 3SS: [ 846 1379 2411]
SMsplice 5SS: [ 142 1326 2353]
SMsplice 3SS: [ 846 1379 2411]
top_k =  1000
Partition function (log Z): 0.17053508640610834

Sorted 5' Splice Sites (High to Low Probability):
Position 2353: 0.9891872340120611
Position 1326: 0.9688654700848266
Position 142: 0.7304356351621047
Position 405: 0.1895442928899445
Position 416: 0.022708761690561574
Position 585: 0.01747650331579198
Position 484: 0.015346613908282588
Position 704: 0.01211578588490263
Position 942: 0.010378847103180256
Position 785: 0.009200108425075532
Position 402: 0.00813836932186077
Position 566: 0.00647393124543466
Position 1529: 0.005710124354337395
Position 687: 0.005005408714111607
Position 424: 0.004208921513054494
Position 1075: 0.003936738563809229
Position 2134: 0.003907503892353609
Position 793: 0.0036504754786425638
Position 284: 0.003271450426694021
Position 1290: 0.0029774056791246452
Position 1657: 0.0024515446169697595
Position 1553: 0.0023122188928782527
Position 694: 0.0022419380578450614
Position 937: 0.00198322333940847
Position 987: 0.001971064816716638
Position 717: 0.0019079687582434788
Position 631: 0.0018539410152491403
Position 1005: 0.0017837094340029701
Position 2119: 0.0017224835772263278
Position 604: 0.001560290202209561
Position 553: 0.0015236776169880474
Position 782: 0.0015014765670647672
Position 306: 0.0012024446062513224
Position 439: 0.0009273630877544388
Position 1634: 0.0009143678199096988
Position 1422: 0.0008890852446520858
Position 375: 0.000887748782944163
Position 1102: 0.0007660646883018636
Position 422: 0.0007583518765296209
Position 1278: 0.0007481773835628711
Position 897: 0.000740522952942557
Position 579: 0.0006987930332253627
Position 111: 0.0006664461305108891
Position 2044: 0.0006244404748156702
Position 1945: 0.000613932217981142
Position 1282: 0.0005944799678658925
Position 652: 0.0005213737802529148
Position 1296: 0.00047989535297665765
Position 1735: 0.000459534763651932
Position 2005: 0.00043823387579633016
Position 2340: 0.00037034902373148695
Position 1087: 0.00035154005748323113
Position 1330: 0.0003168775253037244
Position 2471: 0.0003131815389981608
Position 288: 0.00029412906367756904
Position 1725: 0.0002575720969709459
Position 1994: 0.00020806748385176818
Position 2487: 0.00020186813583113859
Position 1320: 0.00019891652990474453
Position 1170: 0.00018745298167005344
Position 1686: 0.00018606105547801891
Position 1803: 0.00017890614871475478
Position 1272: 0.00015685363679274382
Position 1728: 0.00011865280539379274
Position 1906: 0.00011790223251227049
Position 1294: 0.00010126598575401085
Position 1128: 9.687378031682411e-05
Position 1827: 6.833628135664358e-05
Position 1814: 6.231771037244668e-05
Position 488: 5.851894128087598e-05
Position 2169: 5.606499277794806e-05
Position 327: 5.4096816868855095e-05
Position 266: 5.3608785008131096e-05
Position 1125: 5.317452352838078e-05
Position 290: 4.889364952194791e-05
Position 77: 4.531858591350976e-05
Position 146: 4.443190346144555e-05
Position 378: 4.089062082050984e-05
Position 64: 3.2084330491710746e-05
Position 1302: 2.9591371885957662e-05
Position 1160: 2.7104372803545538e-05
Position 116: 2.542975435533325e-05
Position 655: 2.385441315003355e-05
Position 2181: 2.085682639566681e-05
Position 1443: 1.7764740465067633e-05
Position 2065: 1.33360362370609e-05
Position 347: 1.2492229574640499e-05
Position 2491: 8.985152211504014e-06
Position 1243: 7.67115261585488e-06
Position 1838: 6.9334035676042025e-06
Position 2460: 6.383386390866206e-06
Position 40: 5.648301725961751e-06
Position 81: 5.2433426054800344e-06
Position 1881: 4.912395082392621e-06
Position 1531: 4.476096707641257e-06
Position 469: 3.912035224993764e-06
Position 29: 3.608991758525644e-06
Position 220: 3.1652308015125574e-06
Position 663: 1.9104500153131724e-06
Position 35: 1.5755831681263874e-06
Position 2299: 7.04601620512734e-07
Position 486: 6.204076459686058e-07
