Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  1000
Partition function (log Z): 3.676589999691127

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9991758390211336
Position 12012: 0.9886890589721058
Position 12436: 0.8879961391840053
Position 1137: 0.8756079245710502
Position 417: 0.3648789781010008
Position 13656: 0.2613679850081837
Position 10241: 0.035785200473776875
Position 435: 0.02759394402684312
Position 1884: 0.024519686792877148
Position 15258: 0.020015676875985086
Position 206: 0.019816782667983524
Position 6641: 0.015585405975738757
Position 826: 0.012629881130010227
Position 14355: 0.01079722528252324
Position 1932: 0.009777998216655807
Position 3274: 0.008970210433257676
Position 60: 0.00896025054272133
Position 1876: 0.008836786683350114
Position 1152: 0.007724658221744482
Position 12078: 0.006616554301077695
Position 6975: 0.0065044565470472075
Position 4547: 0.006448156500071979
Position 8536: 0.006264195200497352
Position 19253: 0.005526341476599756
Position 6492: 0.005284256250868936
Position 19615: 0.005258869938408541
Position 799: 0.005172722357100781
Position 15419: 0.004183689699641759
Position 18787: 0.0039893001181777535
Position 291: 0.003419348820455883
Position 3561: 0.0030417520885251442
Position 2211: 0.0028122431579986396
Position 2007: 0.001988326545550066
Position 8306: 0.0018577208199034327
Position 10178: 0.0017948784172930868
Position 3461: 0.001658936705529541
Position 1540: 0.001649490169420497
Position 6329: 0.0015815761924358645
Position 9181: 0.0015576357201995017
Position 4986: 0.001467354927416309
Position 16421: 0.0014543120142470382
Position 1197: 0.0014527718689706904
Position 67: 0.001446837548137055
Position 10159: 0.0012745864204781654
Position 9130: 0.0012641349532676938
Position 7745: 0.0012639062832991651
Position 7027: 0.0012552683595801243
Position 11936: 0.001248810834209697
Position 12557: 0.0011603159495852306
Position 1220: 0.001116222385056366
Position 910: 0.0010294974420797319
Position 2029: 0.000975865630408649
Position 12296: 0.0009388711181562052
Position 12699: 0.0009099887759535969
Position 6333: 0.0008994474085325419
Position 9217: 0.000852703617561448
Position 3694: 0.0008277307684056113
Position 2025: 0.0007735492729084318
Position 421: 0.0007481866228703771
Position 11767: 0.00070397880861775
Position 3791: 0.0006999040872003567
Position 6826: 0.0006696183410556933
Position 8331: 0.0006571617987265935
Position 17628: 0.0006566726135317457
Position 7940: 0.0006221419236756549
Position 12304: 0.0005936111261757447
Position 6971: 0.0005918947671263174
Position 12559: 0.0005900581845111494
Position 739: 0.0005697215006677581
Position 12451: 0.0005637305751108458
Position 742: 0.0005426360193057399
Position 12465: 0.0005326900372479968
Position 3209: 0.0005292461742129094
