Gene = mre11
index = 1794
Annotated 5SS: [ 317 1444 1664 2029]
Annotated 3SS: [ 368 1502 1718 2095]
SMsplice 5SS: [ 317 1664 2029]
SMsplice 3SS: [ 368 1718 2095]
top_k =  1000
Partition function (log Z): -3.699764763478621

Sorted 5' Splice Sites (High to Low Probability):
Position 1664: 0.9594568648989386
Position 2029: 0.873401595750252
Position 317: 0.8730997861257348
Position 1444: 0.28135276948550814
Position 271: 0.05685364452211855
Position 472: 0.03829692799614562
Position 782: 0.03668576067856066
Position 739: 0.025563652844258333
Position 1381: 0.02260423955171818
Position 2017: 0.021631696654737558
Position 1376: 0.015032375896625327
Position 1010: 0.013688276407203047
Position 308: 0.010349288628210898
Position 826: 0.008025039596760607
Position 819: 0.006390309420977624
Position 468: 0.00564809285119902
Position 681: 0.005543009248067713
Position 1157: 0.005398298745810949
Position 608: 0.004998679945622051
Position 48: 0.004636415650679075
Position 1174: 0.004571469099478946
Position 2038: 0.004360792569237096
Position 1436: 0.0035644948087567778
Position 901: 0.0033475449381871886
Position 2024: 0.0033438291624302424
Position 1272: 0.00181912580511984
Position 2021: 0.001787338693769092
Position 1320: 0.0014768761407305939
Position 631: 0.0013762028849198748
Position 1532: 0.0013212140626300216
Position 186: 0.0011418338856403782
Position 1222: 0.0009639720562701214
Position 291: 0.0008938210195124075
Position 1973: 0.0006002631159608377
Position 595: 0.0005927075709942912
Position 1277: 0.0004284038912440995
Position 239: 0.0004025829700914729
Position 24: 0.00036207938174544316
Position 1384: 0.0003273392688712476
Position 460: 0.0003151347306945953
Position 30: 0.00030120921138027904
Position 1858: 0.00021518378193774337
Position 2011: 0.000211359772358069
Position 1659: 0.00020964360565895593
Position 1391: 0.00017533635300949704
Position 511: 0.0001560394862302036
Position 744: 0.00014754617843810059
Position 1366: 0.0001461045105600219
Position 554: 0.0001437435043560175
Position 1114: 0.0001087381365683679
Position 1580: 0.00010860368959655136
Position 1668: 0.0001062709800243326
Position 401: 0.00010606415429370869
Position 1090: 8.828046759229091e-05
Position 1363: 7.679014577216355e-05
Position 129: 6.398992679319008e-05
Position 1408: 5.5368204468970336e-05
Position 612: 5.06219231141151e-05
Position 1371: 4.9940412809241895e-05
Position 810: 4.5505445121650204e-05
Position 1238: 4.400756709279949e-05
Position 988: 4.207350490578562e-05
Position 1622: 3.5845882694245665e-05
Position 1117: 3.473223799254174e-05
Position 1991: 3.2464637061983576e-05
Position 763: 3.045279533051915e-05
Position 1332: 2.8391729597682383e-05
Position 1892: 2.8185512953179307e-05
Position 2145: 2.5124280628396205e-05
Position 237: 2.4853421369879422e-05
Position 823: 2.2722100612310354e-05
