Gene = Sec61alpha
index = 1480
Annotated 5SS: [ 252  542 2605]
Annotated 3SS: [ 473 1512 2677]
SMsplice 5SS: [ 252  542 2605]
SMsplice 3SS: [ 473 1512 2677]
top_k =  1000
Partition function (log Z): 1.9625999127736924

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9974774415228685
Position 542: 0.7590528701637278
Position 252: 0.5986368095290243
Position 1337: 0.13301202398181666
Position 1290: 0.09892308232333108
Position 2841: 0.0886031802216939
Position 2340: 0.06896552159541132
Position 2116: 0.06263309841842651
Position 1741: 0.059440932848518646
Position 161: 0.057830771074504635
Position 1658: 0.042545000708255794
Position 2402: 0.024666271785032064
Position 556: 0.02196163939606812
Position 3074: 0.01553932962326096
Position 2262: 0.013285977085992171
Position 1676: 0.011439466812173777
Position 1198: 0.008475022563630169
Position 1845: 0.0057042061856569775
Position 399: 0.005129368101921797
Position 1655: 0.005032387873520857
Position 1913: 0.003731909728423942
Position 2847: 0.0035993889978497466
Position 1745: 0.002599021965829978
Position 1388: 0.0023457609244683
Position 780: 0.0023124053451780823
Position 124: 0.0021347799787829426
Position 256: 0.0016391066379377558
Position 566: 0.001435177378108625
Position 3080: 0.0010852036118051789
Position 546: 0.0010753766585822552
Position 1592: 0.001030277148245223
Position 1306: 0.0008991490688103781
Position 609: 0.0007510744657316565
Position 1778: 0.0007044432118938474
Position 1233: 0.0006804114496830634
Position 438: 0.0006619927493457537
Position 1177: 0.0006282325582837626
Position 1294: 0.0006049008800320156
Position 1814: 0.0005866789465217595
Position 363: 0.0005834558055953029
Position 2609: 0.0005348831607873728
Position 575: 0.0005153268219499708
Position 48: 0.0004967957624503093
Position 3087: 0.0004671583157378339
Position 1801: 0.000445975224018395
Position 1266: 0.0004291674445547075
Position 383: 0.0003952929177509949
Position 2054: 0.0003684689349787326
Position 657: 0.00035652606430011294
Position 106: 0.0003134803919425664
Position 507: 0.00030304906068009827
Position 303: 0.00024257567265041104
Position 235: 0.00023388806643946585
Position 2622: 0.00022557529795727134
Position 115: 0.00021076918839435372
Position 37: 0.00021002838064773356
Position 154: 0.0001444918275975547
Position 2319: 0.0001416045802063115
Position 295: 0.00013658164553055085
Position 743: 0.00013500507337389293
Position 189: 0.00012269282716625109
Position 2803: 0.00012097408596349348
Position 577: 0.00012016703295643274
Position 1391: 0.00010880636531525984
Position 142: 0.00010627662650259512
Position 394: 0.00010339793163957336
Position 2611: 0.00010190035453071888
Position 1328: 9.221298268980837e-05
Position 1168: 8.223098656392061e-05
Position 182: 7.180674238814641e-05
Position 98: 6.982827749435979e-05
Position 176: 6.672805423356489e-05
Position 614: 6.240350323223662e-05
Position 60: 5.8088046329214604e-05
Position 2456: 5.596453343832308e-05
Position 2249: 5.5560459489718365e-05
Position 309: 5.505934684731962e-05
Position 838: 4.6203247977697165e-05
Position 3191: 4.5886570372874197e-05
Position 721: 4.3817314600175796e-05
Position 311: 4.0920311087629846e-05
Position 923: 3.9987261401877495e-05
Position 783: 3.932655903011306e-05
Position 764: 3.458975719217118e-05
Position 316: 3.0981356968540746e-05
Position 2781: 2.9911164261210427e-05
Position 89: 2.765946137990975e-05
Position 1247: 2.3775984536477547e-05
Position 95: 2.2403989789856035e-05
Position 937: 2.052054378328395e-05
Position 149: 2.0321869690639824e-05
Position 836: 1.7922089867206828e-05
Position 3055: 1.7086557209806333e-05
Position 544: 1.5948576171700605e-05
Position 2807: 1.4827415638297855e-05
Position 397: 1.3225545655958756e-05
Position 994: 1.2642752339779661e-05
Position 1634: 1.1609185709847172e-05
Position 903: 1.069054729975783e-05
Position 827: 9.782420279377393e-06
Position 478: 6.398738948302636e-06
Position 450: 6.182681196284741e-06
Position 262: 5.951099161774821e-06
Position 17: 5.874718775566442e-06
Position 214: 5.785237599796206e-06
Position 3331: 4.3118709645401574e-06
Position 2905: 3.95276554385277e-06
Position 2074: 3.710649595299943e-06
Position 3133: 3.251670574569009e-06
Position 718: 2.2228109867565838e-06
Position 2708: 1.9383858803383583e-06
Position 488: 1.4267120313142123e-06
Position 2453: 1.3048801656162037e-06
Position 1831: 1.1955601776685846e-06
Position 865: 1.152266479152408e-06
Position 19: 9.542388297815135e-07
Position 602: 8.599048862176009e-07
Position 11: 8.513613395887007e-07
Position 1318: 6.887700801996419e-07
Position 1135: 6.141966918171127e-07
Position 1636: 6.042367899004937e-07
Position 3059: 5.509983427549777e-07
Position 2488: 5.459759494934786e-07
Position 863: 4.5008791146380784e-07
Position 2550: 4.4599698417222733e-07
Position 2541: 4.3428800951692984e-07
Position 26: 4.2646567495521193e-07
Position 584: 3.102373562396028e-07
Position 29: 2.447559123225971e-07
Position 968: 1.720324668897375e-07
Position 1567: 1.5888060960981419e-07
Position 347: 6.420465164317921e-08
Position 1690: 6.079654260768357e-08
Position 2520: 5.813786682906584e-08
Position 1857: 5.00310963125329e-08
Position 734: 4.7604595608461004e-08
Position 2061: 4.521787234465619e-08
Position 2784: 3.862030967829819e-08
Position 2370: 3.568975215405332e-08
Position 2854: 3.170721657596151e-08
Position 2011: 2.866013894572429e-08
Position 1921: 2.8291542902534833e-08
Position 1876: 2.5355631979011477e-08
Position 1825: 1.8449946179474263e-08
Position 1874: 1.655547933048852e-08
Position 2197: 1.3842579893602413e-08
Position 1902: 1.1414496169708588e-08
Position 2038: 9.048114402550277e-09
Position 2344: 8.508842294665004e-09
Position 2200: 6.082024271156591e-09
Position 648: 2.1203008048977344e-09
Position 3052: 9.34559001534752e-11
Position 2945: 8.107058464387385e-11
Position 3043: 2.2463725420539448e-11
Position 2861: 1.614184210870271e-11
Position 2935: 1.053809354981263e-11
Position 499: 4.585921470216818e-12
Position 473: 1.2653513585188716e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2677: 0.9998054615590671
Position 1512: 0.936570962045878
Position 473: 0.4932996275728799
Position 2482: 0.2289201864690813
Position 2319: 0.07266416359079067
Position 2899: 0.06861960132597458
Position 1081: 0.062016264689488745
Position 1197: 0.04320909962209594
Position 696: 0.031980512707578075
Position 994: 0.030808596398447838
Position 1713: 0.02418988723696921
Position 214: 0.020616399542124176
Position 3128: 0.018822689813829733
Position 2355: 0.015131402003566281
Position 2902: 0.012089489669424438
Position 903: 0.0062151969848632735
Position 1523: 0.005422548136367101
Position 2905: 0.004177877128218288
Position 1818: 0.0036024372572253578
Position 937: 0.0034873264528294014
Position 507: 0.0033469797448825995
Position 316: 0.0027172040568199255
Position 221: 0.0023760456134011886
Position 3131: 0.001961482469252491
Position 375: 0.0018582107113453538
Position 2105: 0.0017904917262427085
Position 783: 0.001775869877916406
Position 185: 0.001735744269873948
Position 1578: 0.0013487519172251583
Position 847: 0.0012639803434042805
Position 1899: 0.001248098815347545
Position 3074: 0.0010811208025702194
Position 743: 0.0010300921896093961
Position 1785: 0.0010223765187385807
Position 3171: 0.0010193790482367255
Position 272: 0.0009467173390135985
Position 300: 0.0009460906004406356
Position 2215: 0.0008417954898938055
Position 2027: 0.000602673686888344
Position 3178: 0.0005230696985000241
Position 764: 0.00041929691752783587
Position 1788: 0.00038008814726992455
Position 705: 0.00036065362201508696
Position 671: 0.0002982501481075849
Position 1020: 0.00028178145271078877
Position 1157: 0.0002690051237174224
Position 2945: 0.0002386331166553278
Position 2887: 0.00022565959449539848
Position 1419: 0.00021171859204609103
Position 3382: 0.0002014432350573969
Position 1391: 0.00019185657775723448
Position 226: 0.00018477746734641415
Position 3143: 0.00017972352994285928
Position 478: 0.00017365160801038106
Position 2973: 0.0001572999794899025
Position 3323: 0.00012996809650592174
Position 2283: 0.0001276479161753594
Position 563: 0.00011920296532275359
Position 2689: 8.876472668171013e-05
Position 2148: 8.181651552420543e-05
Position 154: 6.679090441443155e-05
Position 3328: 5.0380268844891806e-05
Position 2942: 4.5240725304702766e-05
Position 953: 4.2436739616508824e-05
Position 580: 4.213653157872829e-05
Position 1172: 4.08124172273527e-05
Position 1606: 3.5321542270885337e-05
Position 2241: 3.530441508650378e-05
Position 816: 2.7762273949940985e-05
Position 3305: 1.3077740509899079e-05
Position 3078: 8.12301002051182e-06
Position 1323: 7.3098933755971755e-06
Position 2686: 7.0696799392076125e-06
Position 584: 6.72534623593727e-06
Position 1531: 5.013343789360626e-06
Position 295: 3.766288258350337e-06
Position 1241: 3.540162819540491e-06
Position 202: 2.0180494641988823e-06
Position 3091: 1.8070485728872575e-06
Position 488: 1.262022754067573e-06
Position 256: 9.410263024620158e-07
Position 433: 9.287131807328296e-07
Position 139: 8.20983088321458e-07
Position 235: 6.29532409897187e-07
Position 161: 5.385471194229987e-07
Position 189: 3.5068444064240945e-07
Position 252: 1.138530190645449e-07
Position 535: 5.1403717927009216e-08
Position 575: 3.989412403337686e-08
Position 2701: 3.919799088264485e-08
Position 2695: 7.839658164321725e-09
Position 541: 3.0187903982180416e-10
Position 165: 5.924989418952515e-13
