Gene = bib
index = 1628
Annotated 5SS: [ 502 2311 3083 7818]
Annotated 3SS: [2143 2955 7609 8621]
SMsplice 5SS: [ 502 2311 3083 7818]
SMsplice 3SS: [2143 2955 7609 8621]
top_k =  1000
Partition function (log Z): 4.763262308625815

Sorted 5' Splice Sites (High to Low Probability):
Position 502: 0.9989757051022289
Position 2311: 0.9886667485148107
Position 3083: 0.9831691022584714
Position 7818: 0.9826634491794096
Position 7120: 0.16374616309264883
Position 3696: 0.07464790233621171
Position 3762: 0.06117445587114307
Position 8561: 0.04376744250473624
Position 7325: 0.02633264096176743
Position 8941: 0.02515530347917379
Position 8030: 0.02381329936239584
Position 7516: 0.01930803454522612
Position 8040: 0.019086524634465925
Position 4251: 0.012671347191958343
Position 9047: 0.01101000117327165
Position 6192: 0.009401458730265273
Position 8995: 0.008422245352255274
Position 9146: 0.005600116651352033
Position 10145: 0.005595877819629022
Position 9749: 0.00518189613213086
Position 4446: 0.005149778582754755
Position 7107: 0.004908029042530012
Position 8979: 0.00430545612326695
Position 9816: 0.003545770874484617
Position 9071: 0.003287172936002381
Position 8235: 0.003210379504708863
Position 864: 0.003184924300929465
Position 1951: 0.003087903024522343
Position 10412: 0.002997782785569432
Position 8738: 0.002922062328032135
Position 10712: 0.002903038992224478
Position 1396: 0.002856640918293473
Position 8315: 0.002594682382280463
Position 7527: 0.0023684692456062404
Position 7309: 0.002320781020482266
Position 10725: 0.0021412244917427786
Position 8712: 0.0018899778912462894
Position 1902: 0.0018767743195525447
Position 9578: 0.0017313230628980482
Position 1878: 0.001675253154195276
Position 7521: 0.0015723143491710176
Position 8230: 0.0015622490499395765
Position 95: 0.0014712273570511897
Position 1245: 0.00146363887657878
Position 9196: 0.0014193555489189563
Position 8867: 0.0013889567680215483
Position 2084: 0.0012030646026730035
Position 1042: 0.0011116967727015496
Position 181: 0.001073687847570067
Position 3149: 0.0009933747117962899
Position 8809: 0.0009890733985165078
Position 2700: 0.0009867442876581728
Position 76: 0.000923534566079491
Position 8075: 0.0009034675626605533
Position 2601: 0.0008214424720912083
Position 9092: 0.0008057359692033453
Position 10328: 0.0008056494987740587
Position 4157: 0.0007761357481521002
Position 8019: 0.000752528274445944
Position 7089: 0.000732861671873193
Position 6040: 0.0006435264450328348
Position 7043: 0.000625047579497567
Position 6104: 0.0006096285936301774
Position 127: 0.0005923303872895871
Position 1534: 0.0005752765733712312
Position 6916: 0.0005348438480781831
Position 9076: 0.0004925858061746822
Position 5165: 0.00048474002025099446
Position 9217: 0.000469234986717944
Position 8744: 0.0004482062660047971
Position 3934: 0.0004346819374551643
Position 7371: 0.0004171008283966784
Position 7872: 0.00038771443301077583
Position 9605: 0.00035793623695972164
Position 762: 0.00034593132558469105
Position 4057: 0.00032558134442064654
Position 4258: 0.00031150840396720815
Position 1563: 0.00029409762521773896
Position 5369: 0.00028913098257439974
Position 7716: 0.00027583605664353053
Position 3994: 0.00027184371662420797
Position 10596: 0.0002616341199588307
Position 120: 0.0002521399662540621
Position 941: 0.00024399412577867375
Position 89: 0.000229861771252288
Position 7053: 0.00022281040925729712
