Gene = Vajk1
index = 1592
Annotated 5SS: [ 205 1029]
Annotated 3SS: [ 554 1092]
SMsplice 5SS: [ 205 1029 1721]
SMsplice 3SS: [ 554 1092 1784]
top_k =  1000
Partition function (log Z): 1.7148265344237206

Sorted 5' Splice Sites (High to Low Probability):
Position 1029: 0.9947078943404155
Position 205: 0.9872337449940657
Position 1721: 0.49638131926729456
Position 801: 0.42084167792352356
Position 1678: 0.24449759484300498
Position 1733: 0.15965813234878348
Position 2610: 0.05061515022047679
Position 2462: 0.015548239847078293
Position 1351: 0.015224959205574942
Position 1240: 0.008222540884895149
Position 1949: 0.006761856542472478
Position 1261: 0.006710752959399547
Position 1477: 0.005464957682796894
Position 1893: 0.00485654283585567
Position 1985: 0.0022746806382199915
Position 1660: 0.002198729527753964
Position 471: 0.002177655998874121
Position 262: 0.001982444091615538
Position 921: 0.0018622282480179897
Position 1147: 0.001531181861960348
Position 1429: 0.0014700378556521511
Position 704: 0.0014679722935149212
Position 47: 0.001452010066408175
Position 2086: 0.0011383507364128125
Position 2110: 0.0010595716175244264
Position 1033: 0.0009237631566423727
Position 229: 0.0009213250444006503
Position 2614: 0.0008155144844132374
Position 1453: 0.0007816557400804127
Position 1423: 0.0006680319401694226
Position 305: 0.0006391925607636542
Position 2538: 0.000540832953643455
Position 1970: 0.00048650292241815866
Position 807: 0.0004347697198029513
Position 765: 0.0004279089363984343
Position 2095: 0.0004101503834151925
Position 2103: 0.0003627008833588671
Position 879: 0.00035772607111145846
Position 501: 0.00031511523670160594
Position 2618: 0.00030492015877049233
Position 1465: 0.0002574197008287542
Position 789: 0.00022668798736434344
Position 813: 0.00021419002486917444
Position 1255: 0.00021261021831461054
Position 873: 0.00017001840156860402
Position 2645: 0.00015518924120867014
Position 1129: 0.00014990736998912968
Position 2576: 0.00012235639876553446
Position 244: 0.00011409198165728336
Position 420: 0.00011301322213514564
Position 2641: 0.00011197559015689357
Position 215: 9.894001796009569e-05
Position 209: 9.840693461697998e-05
Position 750: 9.779073147792226e-05
Position 1195: 9.510849618397467e-05
Position 246: 8.468939822957993e-05
Position 831: 8.447037792423358e-05
Position 1339: 8.071716756222415e-05
Position 2633: 6.31575137874555e-05
Position 1471: 6.0411715356536934e-05
Position 951: 5.950560025032995e-05
Position 1494: 3.836142148030845e-05
Position 1593: 3.598449690849731e-05
Position 231: 3.554337849199248e-05
Position 198: 3.505190742131972e-05
Position 315: 3.197274835284904e-05
Position 44: 3.041220258608896e-05
Position 1207: 3.0153838440140708e-05
Position 2628: 2.949963058757708e-05
Position 56: 1.9612018374521225e-05
Position 2320: 1.9482488052136788e-05
Position 2546: 1.8356182512880384e-05
Position 297: 1.7362328594151977e-05
Position 236: 1.6418349747582378e-05
Position 1904: 1.5925727691998064e-05
Position 897: 1.4149943033836451e-05
Position 1435: 1.398818034941438e-05
Position 441: 1.371889806613176e-05
Position 475: 1.3336851609861368e-05
Position 1910: 1.3280209276934932e-05
Position 1369: 1.2999827770646138e-05
Position 1501: 1.2970617299003597e-05
Position 66: 1.266207424290981e-05
Position 1531: 1.2515130216952534e-05
Position 2303: 1.142216567368543e-05
Position 1549: 1.1411098555296565e-05
Position 407: 1.0736359145008367e-05
Position 1093: 1.0290343607026986e-05
Position 1141: 9.684031964080999e-06
Position 2073: 8.677442152271237e-06
Position 2544: 8.357796352690274e-06
Position 2730: 7.776350587187073e-06
Position 1399: 7.14265985974451e-06
Position 2566: 7.1149283548801625e-06
Position 1411: 7.069084318049223e-06
Position 2535: 6.665169035017244e-06
Position 2671: 6.5660506013899456e-06
Position 1171: 6.507205843785226e-06
Position 1279: 5.748974519763667e-06
Position 1357: 5.741468896383891e-06
Position 1213: 5.489802924761182e-06
Position 1303: 5.016530936571505e-06
Position 1153: 4.984902596185446e-06
Position 15: 4.2027839886452356e-06
Position 933: 3.089178642073368e-06
Position 939: 2.3727598199306592e-06
Position 981: 2.192983336310068e-06
Position 2375: 2.011543700299915e-06
Position 1023: 1.870112568272125e-06
Position 449: 1.6288989919663793e-06
Position 2372: 1.5291076924974318e-06
Position 999: 1.4204541476134676e-06
Position 603: 1.3290234917551967e-06
Position 1117: 1.2625286216716634e-06
Position 113: 1.1073193162854634e-06
Position 1183: 1.0642479916074938e-06
Position 1017: 1.0192920774383655e-06
Position 22: 8.258470349130635e-07
Position 861: 6.885833963704619e-07
Position 2427: 6.336476536913974e-07
Position 2761: 6.23238013977624e-07
Position 131: 4.819413932125785e-07
Position 30: 4.300056858569947e-07
Position 1061: 4.022175361169941e-07
Position 837: 2.809939670191685e-07
Position 58: 2.7683470357658685e-07
Position 1327: 2.56504019406806e-07
Position 1135: 2.41417870699255e-07
Position 1393: 2.3480959831196326e-07
Position 167: 2.2339653252508453e-07
Position 107: 2.223943865577175e-07
Position 1333: 2.2220808979600732e-07
Position 1513: 2.1156306203770042e-07
Position 867: 1.8521053985944245e-07
Position 1387: 1.760426423551386e-07
Position 118: 1.513798344568254e-07
Position 843: 1.3245717360356457e-07
Position 1231: 1.2055243712349876e-07
Position 1315: 1.1164912062654792e-07
Position 1099: 7.230473185637886e-08
Position 1267: 5.348483094759397e-08
Position 1243: 4.5229392520300966e-08
Position 1489: 1.2174862434404927e-08
Position 1382: 1.0836490830239455e-08
Position 987: 8.5432268234109e-09
Position 1063: 7.530230161764235e-09
Position 969: 1.7987921250619891e-09
Position 523: 7.587719524217995e-10
Position 1085: 1.0183972560770179e-10
Position 2515: 1.0465330300839404e-11
Position 579: 1.6661648860586714e-13
Position 993: 3.460512777323958e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1784: 0.9719441729497688
Position 1092: 0.9413609192129138
Position 554: 0.9100383989237385
Position 872: 0.47924082756207126
Position 2667: 0.051293123872616954
Position 598: 0.014518696644932312
Position 2515: 0.008903067541412412
Position 2025: 0.007026489015484885
Position 1171: 0.005742713760630898
Position 561: 0.005373551471837579
Position 2525: 0.00523317117782349
Position 1945: 0.0050039062733700885
Position 1117: 0.004578481185408036
Position 491: 0.003502282257994951
Position 1506: 0.003049796441562615
Position 1545: 0.002926314022557255
Position 2160: 0.0026495667313524447
Position 2709: 0.0023405745523912987
Position 2048: 0.002109956671835656
Position 977: 0.002045279550083324
Position 1407: 0.001793100773973888
Position 1327: 0.0016288771894913073
Position 1303: 0.0013941398769962772
Position 497: 0.0012655446531768496
Position 1260: 0.001094806232931681
Position 1569: 0.0010049262169075982
Position 1521: 0.0007475462605846023
Position 1239: 0.0006304564057094646
Position 475: 0.0005859244691136271
Position 1461: 0.0005454509911901778
Position 274: 0.0005142244115341853
Position 878: 0.0005044409946141815
Position 2130: 0.00043029304082378716
Position 424: 0.0004287681306746866
Position 851: 0.0004212850783141948
Position 107: 0.00041662258897959704
Position 118: 0.0003352986318457783
Position 2836: 0.00028656384176499607
Position 980: 0.0002856705058084786
Position 2139: 0.0002286072096364487
Position 2400: 0.00021043247546464707
Position 800: 0.00019865951283151901
Position 2008: 0.00019343190902494759
Position 2730: 0.00018305035741694443
Position 2639: 0.00017505441892009662
Position 2124: 0.0001723411282145871
Position 441: 0.00017154288990979367
Position 255: 0.0001589196152762227
Position 2248: 0.0001420111464134627
Position 926: 0.0001300164038138836
Position 1605: 0.00012706322644583136
Position 2706: 0.00012593570910653966
Position 2494: 0.00012119572430180437
Position 2001: 0.00010460073629459454
Position 1851: 9.609894474722393e-05
Position 1404: 9.380764573622619e-05
Position 887: 9.280256189101593e-05
Position 177: 8.339194491951986e-05
Position 1146: 7.934318613440872e-05
Position 827: 6.872394282334485e-05
Position 2173: 6.467089838748371e-05
Position 1962: 6.41317320071915e-05
Position 2797: 6.322404125545615e-05
Position 929: 5.4780241025934834e-05
Position 1584: 5.3667385553961925e-05
Position 797: 4.66964382301433e-05
Position 920: 4.090088780491203e-05
Position 1542: 3.90773873126946e-05
Position 1128: 3.8953470813922975e-05
Position 2032: 3.842688271704336e-05
Position 773: 3.803512840291472e-05
Position 938: 3.760147453894392e-05
Position 293: 3.6536340187237243e-05
Position 2115: 3.6315745838764515e-05
Position 315: 3.465332815233454e-05
Position 2462: 2.239559351457615e-05
Position 281: 1.9668407299031974e-05
Position 1428: 1.798915033476332e-05
Position 1179: 1.5285079769423783e-05
Position 848: 1.4864532566493887e-05
Position 1221: 1.1393702988361919e-05
Position 623: 9.639452423331941e-06
Position 609: 9.011939930251996e-06
Position 1333: 8.956989638496154e-06
Position 1017: 7.788672789459863e-06
Position 647: 7.615838758297342e-06
Position 1236: 7.397404880051974e-06
Position 1350: 7.080108106331948e-06
Position 974: 7.048136755441695e-06
Position 614: 7.033676989291381e-06
Position 950: 6.6128865406784375e-06
Position 1587: 6.414501195617094e-06
Position 650: 5.599205255682628e-06
Position 1855: 5.451330703437384e-06
Position 501: 4.328747088937893e-06
Position 776: 4.292325967399581e-06
Position 2199: 3.646007614785843e-06
Position 262: 2.5576888485608505e-06
Position 1141: 2.457897250849389e-06
Position 779: 2.4442349736278856e-06
Position 620: 1.9983286957649707e-06
Position 644: 1.7854946841181612e-06
Position 76: 1.5945883141129551e-06
Position 704: 1.463928707793713e-06
Position 1476: 1.4258969373319558e-06
Position 957: 1.3457274264738085e-06
Position 1125: 1.2870713822852082e-06
Position 1411: 1.2222233500236074e-06
Position 66: 1.22149984592065e-06
Position 305: 1.0012671352850481e-06
Position 2228: 7.897992611539961e-07
Position 2254: 7.488293578662467e-07
Position 824: 6.308574393967603e-07
Position 641: 4.4847063204935545e-07
Position 662: 2.4790196777838345e-07
Position 191: 1.7526593656618658e-07
Position 668: 1.1019099292742432e-07
Position 807: 6.905955229539103e-08
Position 188: 4.9591477326897854e-08
Position 221: 3.210590072280629e-08
Position 681: 2.1938292463174902e-08
Position 1200: 1.3329356636369921e-08
Position 1028: 1.2207248340686979e-08
Position 244: 2.2430476440825592e-10
Position 1054: 1.294478632945969e-10
Position 209: 1.2216785548639294e-10
Position 198: 4.052736348656373e-11
Position 236: 3.5977276506846254e-11
Position 710: 9.528243378110692e-12
