Gene = CSN8
index = 1046
Annotated 5SS: [125 250 474]
Annotated 3SS: [184 297 533]
SMsplice 5SS: [125 250]
SMsplice 3SS: [184 297]
top_k =  1000
Partition function (log Z): -2.04580324779916

Sorted 5' Splice Sites (High to Low Probability):
Position 250: 0.8791876744034998
Position 125: 0.8664954831749548
Position 474: 0.3261911761815566
Position 427: 0.17694633302679058
Position 446: 0.17052961869061833
Position 522: 0.003705501368482842
Position 436: 0.002101869059815274
Position 92: 0.0005661990776527223
Position 254: 0.0004795731183194275
Position 451: 0.0004488413964951433
Position 433: 0.00025778562642990904
Position 206: 0.00020711391641300517
Position 458: 0.0001506779944504429
Position 704: 0.00014279619626188824
Position 87: 0.00011183731198004082
Position 686: 0.00011000523422235598
Position 188: 2.5519088280667472e-05
Position 95: 1.5567339062746692e-05
Position 129: 1.5107541360232739e-05
Position 29: 1.097834698962324e-05
Position 310: 6.265231057692568e-06
Position 326: 4.761027924221359e-06
Position 726: 1.966534386522282e-06
Position 678: 1.616945898316626e-06
Position 135: 1.383573363400846e-06
Position 313: 7.586304061167274e-07
Position 316: 6.486196520277178e-07
Position 40: 5.19794237915918e-07
Position 645: 3.4113521822614807e-07
Position 619: 5.451923014761524e-08
Position 742: 1.3932415847973728e-08
Position 289: 6.714070490712848e-09
Position 553: 1.8671230836862785e-12
Position 580: 2.4534227083960457e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 297: 0.968893029764312
Position 184: 0.7541326709506744
Position 533: 0.4995881265395102
Position 592: 0.17956667634878032
Position 188: 0.012898668470597513
Position 570: 0.005379709693453454
Position 391: 0.002844604811563743
Position 492: 0.0013450183410241396
Position 154: 0.0006713671827655861
Position 310: 0.0005658862870401259
Position 625: 0.0005289701432340158
Position 332: 0.0003441031882868031
Position 538: 0.0003341651183639561
Position 776: 0.0002847803370489564
Position 427: 6.090692665141519e-05
Position 548: 5.146297161949004e-05
Position 342: 5.095649561258478e-05
Position 697: 3.9292602271415685e-05
Position 364: 3.0674195021629364e-05
Position 269: 2.8911207072320538e-05
Position 352: 1.681788186388454e-05
Position 703: 1.2204839745209162e-05
Position 742: 1.2187003295631577e-05
Position 87: 9.65801050135144e-06
Position 214: 8.442015772423284e-06
Position 166: 5.289222482358701e-06
Position 254: 3.6050015622473355e-06
Position 206: 2.3448912399276183e-06
Position 474: 1.6978206390689852e-06
Position 785: 1.6874075041331638e-06
Position 751: 1.523930669102303e-06
Position 709: 1.1168447290695865e-06
Position 778: 6.438173730544198e-07
Position 324: 3.4136476296412726e-07
Position 667: 2.5989603698554815e-07
Position 95: 7.108796711527314e-08
Position 550: 5.637605451114621e-08
Position 722: 3.73420368595174e-08
Position 200: 1.1319653408032117e-08
Position 444: 4.963923516363763e-09
Position 92: 4.304349832228953e-09
Position 451: 2.7556778037692568e-09
Position 326: 1.9091862530524157e-09
Position 463: 1.7760127950487014e-09
Position 433: 8.410615195637283e-10
Position 446: 2.2074340518093428e-10
Position 115: 2.1281804057969717e-10
Position 124: 5.1353192959597355e-11
Position 109: 3.360929085582204e-11
Position 129: 2.947067291615804e-11
Position 100: 6.3879971662955685e-12
