Gene = ICA69
index = 1217
Annotated 5SS: [ 933 1242]
Annotated 3SS: [1001 1302]
SMsplice 5SS: [ 933 1242]
SMsplice 3SS: [1001 1302]
top_k =  1000
Partition function (log Z): -1.012510888835496

Sorted 5' Splice Sites (High to Low Probability):
Position 933: 0.9833733886065114
Position 1242: 0.9622527404206281
Position 15: 0.05138944449309796
Position 1139: 0.018718150804045864
Position 1229: 0.010134702268893963
Position 907: 0.008124556738725794
Position 474: 0.00319966664958611
Position 50: 0.002240622917822706
Position 95: 0.002031484227703846
Position 879: 0.0013152107100761713
Position 671: 0.0010037338152097523
Position 1212: 0.0008113237617106389
Position 619: 0.0007759666839715128
Position 1226: 0.0007586149674641254
Position 847: 0.0006033685459705806
Position 210: 0.000554736972411068
Position 396: 0.0004994964743848837
Position 1194: 0.00047616454857797916
Position 857: 0.0003189402679025079
Position 1367: 0.00018434132686016003
Position 24: 0.00018084002406242863
Position 303: 0.00015083206915062289
Position 565: 0.00011505742697537274
Position 1150: 8.30073624774554e-05
Position 578: 6.456355766130533e-05
Position 885: 6.008477085229675e-05
Position 1436: 5.478607522458283e-05
Position 563: 4.8737635493350527e-05
Position 399: 4.868988530953904e-05
Position 366: 4.619207758534827e-05
Position 317: 4.479987714335674e-05
Position 476: 4.293764244428821e-05
Position 809: 4.2800691173696215e-05
Position 1067: 3.9304463463142276e-05
Position 1574: 3.853761874366514e-05
Position 1152: 2.946918437311072e-05
Position 645: 2.8972966334836053e-05
Position 956: 2.8248971899585135e-05
Position 681: 2.4368650011976442e-05
Position 359: 2.3067986592078292e-05
Position 169: 1.6183860681053856e-05
Position 1034: 1.3470211818485662e-05
Position 300: 1.0525058367383052e-05
Position 200: 1.0200666429405154e-05
Position 675: 8.38814154149878e-06
Position 1347: 8.241595013651532e-06
Position 708: 7.862765743386306e-06
Position 1568: 7.657814306310077e-06
Position 1050: 5.266105031025157e-06
Position 569: 4.827546904406702e-06
Position 171: 4.131370233026878e-06
Position 1546: 4.049724058624653e-06
Position 1166: 2.839782131216149e-06
Position 1588: 1.4821229125962041e-06
Position 1059: 1.4067041766554946e-06
Position 1509: 1.2474072062066477e-06
Position 509: 9.726113576181244e-07
Position 716: 9.350515296095053e-07
Position 714: 5.975171719064172e-07
Position 622: 5.320339864429227e-07
Position 1500: 2.0060690540019704e-07
Position 567: 8.558848763073758e-08
Position 377: 7.264790296978303e-08
Position 1697: 6.0443152998555526e-09
Position 551: 6.0287120787445815e-09
Position 1308: 2.56745995932837e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1001: 0.9960404495368277
Position 1302: 0.9863726832599184
Position 135: 0.03152986992627119
Position 161: 0.015208460029566606
Position 1188: 0.006885547273101782
Position 533: 0.003276903017825482
Position 1017: 0.0016721130819518976
Position 395: 0.001557114002913113
Position 200: 0.001444423435975307
Position 320: 0.0011523853773955852
Position 300: 0.0007718378688130539
Position 1308: 0.0005647182018194398
Position 557: 0.0004892778488134683
Position 258: 0.0003816355760089844
Position 665: 0.0003257064814455505
Position 1014: 0.00031419701840169895
Position 455: 0.00026906805055005467
Position 560: 0.00019973132547705774
Position 169: 0.00016974966782963251
Position 1425: 0.00013239999297407092
Position 229: 0.00011637243761416854
Position 749: 0.0001142343930408765
Position 577: 9.824929895017847e-05
Position 1514: 8.67371971693115e-05
Position 929: 8.467206583843582e-05
Position 58: 7.335929638271913e-05
Position 872: 6.915943923799864e-05
Position 701: 6.813819182123528e-05
Position 737: 6.6785427558197e-05
Position 809: 6.385709123992663e-05
Position 499: 5.6474371448404216e-05
Position 404: 5.4215179561906903e-05
Position 1654: 4.607069157788432e-05
Position 1133: 3.264621176204415e-05
Position 359: 2.761607602543748e-05
Position 1521: 2.2584620107560504e-05
Position 1314: 2.1605279347975166e-05
Position 1106: 2.1295221758388798e-05
Position 1160: 1.9197801255951148e-05
Position 758: 1.6739932400168193e-05
Position 1484: 1.606157422182543e-05
Position 1737: 1.5512101130766064e-05
Position 773: 1.3321726720190855e-05
Position 1422: 1.2587610874481879e-05
Position 371: 1.138691193129225e-05
Position 210: 7.191784293799265e-06
Position 1088: 7.114794865454109e-06
Position 563: 6.0829851222651485e-06
Position 536: 5.9108963791516444e-06
Position 590: 5.0567849736263445e-06
Position 377: 5.0350088886867575e-06
Position 1258: 3.613182108134782e-06
Position 1139: 3.5958602913009485e-06
Position 817: 3.3355682330485936e-06
Position 1085: 3.0561873057388915e-06
Position 365: 2.7735503636720415e-06
Position 1118: 2.7363592340227262e-06
Position 237: 2.7287230992020845e-06
Position 641: 2.4430107698030873e-06
Position 1605: 2.2588334693466402e-06
Position 587: 2.0679613829759317e-06
Position 1563: 1.9814996751210327e-06
Position 770: 1.2517118461333344e-06
Position 1666: 1.221665810421617e-06
Position 1190: 1.1529359412397087e-06
Position 467: 1.1153238039035506e-06
Position 422: 9.631624885817499e-07
Position 1073: 9.603813356788951e-07
Position 1518: 9.466348613514489e-07
Position 845: 9.361022067857144e-07
Position 431: 8.300918724880149e-07
Position 1320: 8.03485568718458e-07
Position 1595: 8.024244901996654e-07
Position 1546: 7.872506518446573e-07
Position 1494: 7.823675501703327e-07
Position 1344: 7.487704780584688e-07
Position 893: 6.898504037315289e-07
Position 746: 5.685656729105927e-07
Position 1549: 5.135351174739625e-07
Position 622: 4.875823499244888e-07
Position 1332: 4.782492887493959e-07
Position 1179: 4.5663878597592884e-07
Position 410: 3.5070324695396763e-07
Position 1272: 3.471148819374806e-07
Position 667: 3.219376743658707e-07
Position 1209: 2.9372467386949787e-07
Position 1194: 2.8106735767081474e-07
Position 1447: 2.258410316925238e-07
Position 1431: 2.108757523678757e-07
Position 1697: 1.296015354426817e-07
Position 1541: 1.2691048192338967e-07
Position 1527: 4.6445349390039666e-08
Position 1573: 4.470098622314477e-08
Position 1260: 3.1662858977677666e-08
Position 1775: 3.024604132525333e-08
Position 1436: 2.3672743838437006e-08
Position 1347: 1.1656289994693562e-08
Position 1367: 1.1070938681327887e-08
Position 1710: 9.054176947690137e-09
Position 1568: 8.999430649684537e-09
Position 1220: 6.7281470332153875e-09
Position 425: 2.882363522125662e-10
Position 473: 3.4187084839146344e-14
