Gene = Ance-3
index = 21
Annotated 5SS: [  526  1181  1840  2137  2926  3356  3521 40133]
Annotated 3SS: [  673  1680  1895  2200  3251  3421 39991 40539]
SMsplice 5SS: [  526   879  1181  1840  2137  2926  3356  3521 40133]
SMsplice 3SS: [  673  1006  1680  1895  2200  3251  3421 39991 40539]
top_k =  1000
Partition function (log Z): 18.8230354454499

Sorted 5' Splice Sites (High to Low Probability):
Position 3521: 0.9999999999996398
Position 526: 0.9939759586287562
Position 1840: 0.9931793043982846
Position 3356: 0.9921337251053742
Position 2137: 0.9919927951386702
Position 2926: 0.9247458182891698
Position 1181: 0.8685391360739114
Position 879: 0.5184086135143187
Position 2317: 0.3004721920946789
Position 2672: 0.14412238007354586
Position 2557: 0.13022648757173516
Position 2400: 0.12277027091009897
Position 1464: 0.08917269851725688
Position 3159: 0.08171875501258212
Position 935: 0.042404238864510994
Position 810: 0.0327788136892219
Position 901: 0.023450165366471144
Position 926: 0.022993477666892935
Position 741: 0.022939527556536398
Position 2246: 0.0183504908814334
Position 2618: 0.016983987483474954
Position 766: 0.014527964902555071
Position 1154: 0.010711010231965714
Position 1185: 0.010234021155323646
Position 76: 0.007651786944398705
Position 3363: 0.007223015318783682
Position 731: 0.005727358578720306
Position 2693: 0.005695211841241784
Position 756: 0.005628376244654255
Position 1279: 0.004493741393709101
Position 40: 0.004421080659261474
Position 2662: 0.0042105875524967975
Position 61: 0.003499000496069653
Position 2130: 0.0033844229902515394
Position 530: 0.0030869813410512757
Position 70: 0.0021682107454958463
Position 2938: 0.0021205202440782085
Position 2141: 0.0018252883411474209
Position 1873: 0.0016053478315291665
Position 1575: 0.001441457151330211
Position 2800: 0.0013488603692323982
Position 485: 0.0012885796040800442
Position 33: 0.0012566511822416603
Position 1283: 0.0011700000218212649
Position 2482: 0.0011464844175284286
Position 1801: 0.0010197292189342202
Position 1487: 0.0010172576279814341
Position 1638: 0.0009314446702301965
Position 1828: 0.0009221677412377423
Position 2969: 0.0008950533919977383
Position 65: 0.000806985252762121
Position 1275: 0.000806156378271836
Position 1438: 0.0007162843616454389
Position 491: 0.0006445041830089792
Position 1563: 0.0006388210612383636
Position 2956: 0.0006228787924856858
Position 3368: 0.000615511607585051
Position 1374: 0.0005829518617479998
Position 1476: 0.0005225982453500511
Position 219: 0.0005206450583959024
Position 1265: 0.0004424137374415171
Position 2321: 0.0004395085053270016
Position 1222: 0.00043164873406994944
Position 854: 0.00040927360442828296
Position 2820: 0.0004079651397470306
Position 3101: 0.00039249089533734496
Position 59: 0.0003762323805205614
Position 1595: 0.00037438539527292103
Position 2226: 0.0003555441895672159
Position 2616: 0.00031381988073599196
Position 1287: 0.0003119347637906243
Position 181: 0.0002971463569985623
Position 2824: 0.00028499478173095384
Position 1454: 0.00026387383716896834
Position 290: 0.0002175448900565836
Position 161: 0.00020854725175077423
Position 2345: 0.0002023756972952812
Position 1553: 0.00018773277403829838
Position 159: 0.00017483206704065846
Position 96: 0.00017183699516386903
Position 1351: 0.000168403958330273
Position 308: 0.00012597283782145107
Position 153: 0.00012420827968121623
Position 798: 0.00012217141611727708
Position 1082: 0.00011617609140229057
Position 2529: 0.00011075388247766583
Position 2121: 0.00010005292733752622
Position 1269: 9.725823383801233e-05
Position 618: 8.87167044472853e-05
Position 211: 8.827053799064282e-05
Position 292: 8.690883518492034e-05
Position 1124: 8.46185601497359e-05
Position 2272: 7.882986572375022e-05
Position 2941: 7.488292084342428e-05
Position 2422: 6.903925363799037e-05
Position 3126: 6.614470478811453e-05
Position 1231: 6.015484515196195e-05
Position 2517: 5.306282019258054e-05
Position 1319: 5.2106626971722416e-05
Position 2611: 4.460509351432364e-05
Position 1851: 4.083633125268054e-05
Position 338: 4.067351821430117e-05
Position 1928: 3.845807393428702e-05
Position 2568: 3.302988060246922e-05
Position 1087: 3.288030419440342e-05
Position 253: 3.134398186403299e-05
Position 3117: 3.11792868659443e-05
Position 2089: 2.9996004639005457e-05
Position 2109: 2.9925801381508698e-05
Position 16: 2.88908758230887e-05
Position 255: 2.7951624101874117e-05
Position 2561: 2.5356745249390434e-05
Position 3360: 2.4667784198168532e-05
Position 2467: 2.239934476160371e-05
Position 1192: 2.1801174253550855e-05
Position 1844: 1.782262985573602e-05
Position 1419: 1.7686895948346607e-05
Position 2148: 1.730779217120132e-05
Position 1111: 1.682409000095526e-05
Position 1794: 1.5453969087418506e-05
Position 2424: 1.3889603683209736e-05
Position 382: 1.374140480191749e-05
Position 2415: 1.3294179997340753e-05
Position 1293: 1.2833207322703378e-05
Position 1533: 1.2077927250299671e-05
Position 1135: 1.0118860238734332e-05
Position 1387: 7.578684293401148e-06
Position 1895: 6.366180911633006e-06
Position 2702: 5.768523064175755e-06
Position 1316: 5.640578158299427e-06
Position 607: 5.5018556558331115e-06
Position 2099: 4.352843614290879e-06
Position 7: 3.325832113785051e-06
Position 1237: 2.9769157162131843e-06
Position 990: 2.4493427992324537e-06
Position 558: 2.322302963600801e-06
Position 3293: 2.1362405841683544e-06
Position 1766: 1.6296707694400391e-06
Position 2220: 1.4384009459189084e-06
Position 1970: 1.178315774636487e-06
Position 234: 1.0539193134696915e-06
Position 2049: 5.466438667372655e-07
Position 1948: 5.240300961784295e-07
Position 2511: 5.049188429592124e-07
Position 2550: 4.4943244230193547e-07
Position 628: 3.7459888717960647e-07
Position 347: 3.390106650727711e-07
Position 2241: 3.0901350601633376e-07
Position 532: 2.982528679660183e-07
Position 626: 2.0658972697770494e-07
Position 409: 1.0394800417433054e-07
Position 2174: 6.380648175289354e-08
Position 3337: 1.9618730955395287e-08
Position 2648: 1.1450610306482963e-08
Position 1240: 3.80190117059816e-09
Position 1515: 3.7933153481436976e-09
Position 2412: 3.0920311600575733e-09
Position 2203: 2.0816700516073024e-09
Position 1020: 1.7751555219738872e-09
Position 1504: 1.6014571672012513e-09
Position 2409: 1.2306140558664325e-09
Position 3300: 1.0058212779332914e-09
Position 3307: 8.596392635299258e-10
Position 673: 4.438553889439081e-10
Position 8296: 1.0511381278972057e-10
Position 15276: 9.844581337519957e-11
