Gene = Acn
index = 7
Annotated 5SS: [1693 2008 2300 2471]
Annotated 3SS: [1796 2064 2360 2558]
SMsplice 5SS: [1693 2008 2300 2471]
SMsplice 3SS: [1796 2064 2360 2558]
top_k =  1000
Partition function (log Z): -3.3158653779822806

Sorted 5' Splice Sites (High to Low Probability):
Position 2471: 0.9314762325410186
Position 1693: 0.8555337215188316
Position 2300: 0.8331685200892553
Position 2008: 0.7568390290762079
Position 788: 0.35826855592547313
Position 2734: 0.05194775998814966
Position 1986: 0.04581241214245666
Position 3025: 0.030239586197182627
Position 1117: 0.02457583372088736
Position 2913: 0.02068579813893741
Position 82: 0.020583067292652357
Position 1932: 0.015989090208947628
Position 2770: 0.015640174728707063
Position 794: 0.015341109174513631
Position 1463: 0.015321916986678195
Position 3010: 0.012646141006915535
Position 2909: 0.011967980096581333
Position 54: 0.009200514256317297
Position 2677: 0.005819773401645364
Position 515: 0.0057220016229438606
Position 1508: 0.005400932807282281
Position 3231: 0.005324210427346957
Position 101: 0.005050331801085328
Position 1121: 0.0037068932572817295
Position 3028: 0.003681460782404069
Position 1735: 0.002552479016499282
Position 1995: 0.0021686946669941826
Position 132: 0.0017134050103591704
Position 1135: 0.0016510781746167922
Position 1702: 0.001402399006114515
Position 737: 0.00128907886790342
Position 1660: 0.0011338120195667763
Position 686: 0.0010366053762922338
Position 3031: 0.0009751970302069795
Position 2841: 0.0009112053393797134
Position 20: 0.000909352688633744
Position 1697: 0.0008984587217136563
Position 299: 0.0008797737333153851
Position 2713: 0.0007993120505317045
Position 323: 0.0007773332704036584
Position 1568: 0.000734242204992642
Position 371: 0.0006858227129896642
Position 2309: 0.0005881237870989156
Position 590: 0.0005715758093813158
Position 1153: 0.0005380974879642625
Position 1164: 0.0005064919275438312
Position 845: 0.0004804623249527382
Position 1451: 0.00044581398718974985
Position 3287: 0.0004362698122146071
Position 2891: 0.0003724961633634942
Position 1638: 0.00031530624471190775
Position 2686: 0.0002745515319743904
Position 2964: 0.0002506583342797317
Position 117: 0.00015732036468126077
Position 2656: 0.0001341293262845468
Position 704: 0.00011437446970375014
Position 1666: 0.00010185833423726175
Position 1867: 0.0001016325344091532
Position 1965: 8.508550097078882e-05
Position 136: 7.379941110962372e-05
Position 446: 6.850252715625627e-05
Position 2581: 6.819860272300262e-05
Position 155: 6.0827259531370514e-05
Position 1092: 5.4145417046010835e-05
Position 619: 5.3603557237791136e-05
Position 2288: 5.075079819771262e-05
Position 840: 4.3285308816296025e-05
Position 1980: 3.497016225472264e-05
Position 1705: 3.153481159382069e-05
Position 257: 3.1444644740914966e-05
Position 1512: 2.7996654420453067e-05
Position 2611: 2.700574430214466e-05
Position 1521: 2.5652145505862456e-05
Position 1859: 2.5578159892500364e-05
Position 301: 2.4249783738955368e-05
Position 147: 2.401532257186159e-05
Position 1484: 2.0876083290255543e-05
Position 689: 2.0873176073422344e-05
Position 219: 1.9901622721486167e-05
Position 2491: 1.9739292567532817e-05
Position 2475: 1.8416928042125926e-05
Position 672: 1.483079890263982e-05
Position 1845: 7.882464775798197e-06
Position 1175: 7.389856846910139e-06
Position 869: 4.969941338338599e-06
Position 2362: 4.5788742134149325e-06
Position 2884: 4.225988180252852e-06
Position 2172: 4.1094658578731964e-06
Position 1220: 3.793636181942632e-06
Position 557: 2.6478261891328824e-06
Position 178: 2.1141436792601246e-06
Position 493: 1.8765601544454411e-06
Position 282: 1.4605354507444557e-06
Position 238: 1.341626747431593e-06
Position 335: 1.3249671071508413e-06
Position 3379: 5.931010645326705e-07
Position 630: 4.1250744808365386e-07
Position 1223: 1.570479647176062e-07
Position 263: 1.2124182842933533e-07
Position 2523: 6.947811116254456e-08
Position 2210: 6.923035512771446e-08
Position 338: 5.397928249514558e-08
Position 572: 4.426758172533261e-08
Position 414: 3.7628795573418994e-08
Position 423: 1.4056084922765717e-08
Position 269: 7.662147467914878e-09
Position 2351: 4.422741654118865e-09
Position 241: 1.6606650826660087e-09
Position 244: 1.303486664557579e-09
Position 188: 1.1761186681947196e-09
Position 456: 1.153505228083249e-11
Position 2141: 2.7456946817587927e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2064: 0.9554381533065404
Position 2360: 0.7250283770808937
Position 2558: 0.7240731110382941
Position 1796: 0.7144108619714916
Position 3105: 0.24562146172355087
Position 3115: 0.13460820806954507
Position 1583: 0.1146169145896453
Position 851: 0.1080014633256069
Position 1870: 0.07362995326991595
Position 3151: 0.03546542169724741
Position 166: 0.030734469019400662
Position 912: 0.020486373012196173
Position 2428: 0.019552537531241095
Position 1204: 0.019491172984868244
Position 859: 0.019423021433689576
Position 1228: 0.017423532592204097
Position 2397: 0.015440850527198072
Position 1071: 0.012545002609348235
Position 863: 0.010156893538004481
Position 2374: 0.009238440788492383
Position 1880: 0.008478114703415194
Position 1268: 0.008433241248465905
Position 840: 0.00761593081783788
Position 1214: 0.006978872032424806
Position 1034: 0.006704775255021222
Position 3324: 0.006230894450459856
Position 2902: 0.005042315856761137
Position 1074: 0.004716699991991595
Position 2517: 0.002955611678136916
Position 810: 0.0022730514047675687
Position 2103: 0.0020609252174958108
Position 2377: 0.0014847134612071219
