Gene = CarT
index = 1054
Annotated 5SS: [ 123  406  800 1207 1854 2315]
Annotated 3SS: [ 180  616  947 1261 1915 2389]
SMsplice 5SS: [ 545  851 1207 1854 2315]
SMsplice 3SS: [ 616  947 1261 1915 2389]
top_k =  1000
Partition function (log Z): 1.6305068788848893

Sorted 5' Splice Sites (High to Low Probability):
Position 2315: 0.980100993544254
Position 1854: 0.9040311899742435
Position 545: 0.7228722415712684
Position 1207: 0.6707275373356704
Position 851: 0.6040892489891244
Position 406: 0.4041920553641003
Position 133: 0.2108039738338195
Position 1161: 0.15577924080413072
Position 117: 0.14308902936281906
Position 791: 0.054353250877381236
Position 2686: 0.045677661785186466
Position 123: 0.02895878032408712
Position 1211: 0.026836727947497106
Position 800: 0.017612968468919625
Position 884: 0.013011978869013901
Position 2927: 0.00839917499221141
Position 2960: 0.007419083306017109
Position 2524: 0.004360354399650097
Position 2058: 0.004288722820463723
Position 1513: 0.003916720155738948
Position 2335: 0.0038505072890811973
Position 2326: 0.0035711389913682234
Position 2077: 0.003502994102537109
Position 2669: 0.0033259234336649535
Position 1858: 0.003232799120408852
Position 760: 0.003157937824984972
Position 479: 0.0030856258313677093
Position 510: 0.002761182383526444
Position 2911: 0.0027587546334142026
Position 2554: 0.0026049538666121624
Position 1609: 0.002585978611018715
Position 501: 0.0025245016440008858
Position 1375: 0.0024572340107062688
Position 842: 0.0024504092873732
Position 2332: 0.0018453579759233564
Position 465: 0.0017636157008492457
Position 290: 0.001582232707261559
Position 1797: 0.0014400952630177633
Position 2645: 0.0013331144270215182
Position 781: 0.0011599496525638282
Position 498: 0.0011516435726811962
Position 857: 0.0011376622517454945
Position 2296: 0.0010803134459077073
Position 742: 0.001048463093620873
Position 410: 0.0010180212479272963
Position 773: 0.000961025135250271
Position 2592: 0.0007162855873456983
Position 1986: 0.000700414287558324
Position 2493: 0.0006143444725402006
Position 2065: 0.0005543499755661404
Position 247: 0.0004174941099689623
Position 1740: 0.0003699389950795126
Position 1273: 0.00036427747278827184
Position 2104: 0.00035269217836607456
Position 2463: 0.00027820997215271664
Position 2086: 0.0002336436731802027
Position 450: 0.00023010060753131308
Position 2760: 0.00021632009116121943
Position 2319: 0.00018200056615723308
Position 2607: 0.0001577081653983677
Position 1979: 0.00014195350771531754
Position 143: 0.0001299456654075327
Position 1428: 0.0001152079154026178
Position 726: 9.895545266740992e-05
Position 1182: 9.145689975386396e-05
Position 776: 8.956416301741218e-05
Position 1017: 7.953133207584068e-05
Position 959: 7.45226444967037e-05
Position 1673: 7.346078727285699e-05
Position 1051: 7.215668457412649e-05
Position 2348: 6.827615053699098e-05
Position 284: 6.4656981400246e-05
Position 2950: 6.26923853387269e-05
Position 1150: 5.38480938709739e-05
Position 1938: 5.23966089176662e-05
Position 32: 5.0879350777004054e-05
Position 1155: 4.904506568790184e-05
Position 1081: 4.4987000203081856e-05
Position 279: 3.958498535444975e-05
Position 1860: 2.2509029112811717e-05
Position 1054: 1.9121131663302635e-05
Position 2282: 1.7199741422182664e-05
Position 486: 1.5800769824471152e-05
Position 1974: 1.43721779180832e-05
Position 2264: 1.4276832209472892e-05
Position 957: 1.2370997256024452e-05
Position 2921: 9.392566279104121e-06
Position 1023: 8.973139681377449e-06
Position 2548: 8.704096317366694e-06
Position 1077: 8.013321308839032e-06
Position 2565: 6.620900229679067e-06
Position 469: 4.988908725322127e-06
Position 3031: 2.628095121071792e-06
Position 303: 1.7631700237952527e-06
Position 947: 1.6782703364071849e-06
Position 2485: 1.6140023821493515e-06
Position 294: 1.3976189250868204e-06
Position 336: 1.2382065982936967e-06
Position 428: 1.123936747146442e-06
Position 645: 1.0848759766020372e-06
Position 14: 9.087366720513283e-07
Position 306: 3.976092424868533e-07
Position 1677: 1.2447425073514388e-07
Position 168: 1.0891243873114634e-07
Position 1693: 7.988925687470338e-08
Position 387: 2.891567111207432e-08
Position 1888: 2.535685212309381e-08
Position 338: 8.677045878454976e-09
Position 1422: 1.2390532329135178e-09
Position 632: 3.8781311136327903e-10
Position 659: 9.481921693478614e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2389: 0.9926393897799751
Position 1261: 0.8621961202589586
Position 947: 0.8523436965596373
Position 1915: 0.8430144161702912
Position 616: 0.7768287070624574
Position 180: 0.37382252651498543
Position 478: 0.16052366006464977
Position 3057: 0.03448172614122222
Position 2057: 0.02783169550730065
Position 2760: 0.02172960049949212
Position 639: 0.021646355698653415
Position 2904: 0.014940953404752417
Position 2141: 0.014398594114203927
Position 2086: 0.01258770568652893
Position 2243: 0.011093776964865978
Position 1709: 0.00868695919586873
Position 1900: 0.006379050191136163
Position 3022: 0.004472448977094173
Position 183: 0.004228365239989806
Position 673: 0.004185997512432036
Position 303: 0.003060240813611105
Position 1653: 0.002790230773110831
Position 1986: 0.002569461499869616
Position 2831: 0.002452946044038465
Position 3060: 0.002237875090577871
Position 1673: 0.0020716512855264452
Position 900: 0.0016610717120413713
Position 957: 0.0013142190041727643
Position 1017: 0.001214603405085242
Position 854: 0.0010313100631072067
Position 1723: 0.0009301471033697715
Position 160: 0.0008669314975300963
Position 375: 0.0005387275150848773
Position 2725: 0.0005223494026408509
Position 878: 0.00040493836417635593
Position 968: 0.000285100326167924
Position 1105: 0.0002671226614240005
Position 454: 0.00026460617704529603
Position 1995: 0.0002233478225446493
Position 484: 0.00018405211404367436
Position 419: 0.00018109319361984114
Position 2978: 0.0001409592029826342
Position 812: 0.00014039406569492466
Position 2811: 0.00013776585524376522
Position 751: 0.00013182560818590053
