Gene = SclB
index = 1475
Annotated 5SS: [  35 1384 2607 3454]
Annotated 3SS: [1240 2297 3372 3526]
SMsplice 5SS: [  35 1384 2607 3454]
SMsplice 3SS: [1240 2297 3372 3526]
top_k =  1000
Partition function (log Z): 1.9366587498748218

Sorted 5' Splice Sites (High to Low Probability):
Position 3454: 0.9940123976405324
Position 1384: 0.9701287385699787
Position 2607: 0.7362478461296379
Position 35: 0.5745434245668696
Position 692: 0.42408401906877713
Position 2237: 0.24386722002918435
Position 1167: 0.2386749570081828
Position 476: 0.1240232452351767
Position 1550: 0.04653442239238634
Position 3000: 0.025530481619448896
Position 1592: 0.022247681754572292
Position 302: 0.017898234653711903
Position 2012: 0.014540598934626973
Position 429: 0.012404016998970802
Position 1159: 0.01222856795833943
Position 749: 0.011843706436833806
Position 774: 0.008587274663136088
Position 1666: 0.006482156545523839
Position 701: 0.006126386687752228
Position 2195: 0.00543745703537449
Position 3628: 0.002929477418294825
Position 709: 0.0026702233172882423
Position 616: 0.0020844638757446846
Position 18: 0.002062855756504326
Position 437: 0.0020374070234325924
Position 1338: 0.0018331520143907304
Position 714: 0.0017447939254022272
Position 2593: 0.001742128983470401
Position 2000: 0.0017348527688019035
Position 1356: 0.0016232178337381863
Position 554: 0.0015559391700049943
Position 3437: 0.0011691879909157849
Position 42: 0.0010770235271960198
Position 3633: 0.0010760522614056594
Position 2241: 0.0009630743815375981
Position 622: 0.0009512866909614737
Position 2086: 0.0009317602296368678
Position 2239: 0.0009294344636528853
Position 298: 0.0008938109659368853
Position 550: 0.0008524778301043241
Position 1795: 0.0008404819258772392
Position 1487: 0.0007715462480366756
Position 578: 0.0007563517510737027
Position 644: 0.0007140168569359067
Position 755: 0.0006014437308964642
Position 232: 0.0005738399017324822
Position 2074: 0.0004600957749385205
Position 2144: 0.0003775341797295955
Position 2428: 0.000351778752712283
Position 2340: 0.0003162312526683689
Position 1836: 0.0002951005872268445
Position 410: 0.0002847608918109783
Position 1646: 0.0002501182673894567
Position 1452: 0.00022332636290110314
Position 3451: 0.0002096956695855789
Position 3817: 0.00020670848678045476
Position 3458: 0.00019412851770926783
Position 142: 0.00017537865803959708
Position 2567: 0.00012790281209256897
Position 2530: 0.00012717742137879058
Position 776: 0.00012676114475719563
Position 2770: 0.00011623425642277769
Position 2915: 0.00010480210434636865
Position 292: 0.00010194155130893656
Position 781: 9.203481799011998e-05
Position 384: 8.57350138857076e-05
Position 783: 8.094004203480868e-05
Position 56: 7.896073701659457e-05
Position 3705: 7.461924209715206e-05
Position 1626: 6.007675055734588e-05
Position 2535: 5.8087605042727706e-05
Position 1363: 5.192442979443262e-05
Position 287: 4.695495955060802e-05
Position 178: 4.586339749825662e-05
Position 3067: 3.717361046755154e-05
Position 211: 3.3541289939718965e-05
Position 343: 3.3319002560039444e-05
Position 3764: 3.247796726911154e-05
Position 3792: 2.907280368143603e-05
Position 171: 2.7462961840778278e-05
Position 887: 2.5815970882393784e-05
Position 3603: 2.492849415275096e-05
Position 663: 2.489631381223388e-05
Position 3700: 2.4893989926091285e-05
Position 2558: 1.9235537421810177e-05
Position 3740: 1.923475870423597e-05
Position 1443: 1.8896911671418032e-05
Position 530: 1.7283670700744784e-05
Position 841: 1.2727752479311742e-05
Position 661: 1.1704488300771411e-05
Position 3815: 1.1002243553065273e-05
Position 1567: 1.0835355136393648e-05
Position 1767: 1.0586289179733987e-05
Position 432: 9.633116754486352e-06
Position 1333: 9.603780351317247e-06
Position 1001: 4.902904625964239e-06
Position 3655: 3.940160186839931e-06
Position 112: 3.284679192793623e-06
Position 1818: 3.009500767514351e-06
Position 3777: 2.5274790239061768e-06
Position 3586: 2.0363316988331635e-06
Position 552: 1.6360980154866922e-06
Position 830: 6.718189447269811e-07
Position 601: 5.251385967356402e-07
Position 1446: 2.889876675011288e-07
Position 1496: 1.595992291020276e-08
Position 3509: 2.51095051596385e-09
Position 1345: 5.931633114836048e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1240: 0.9906441467734145
Position 3526: 0.9861179096525621
Position 3372: 0.9310730888809334
Position 2297: 0.6071440369269149
Position 534: 0.2901181068802209
Position 1446: 0.2167991577669955
Position 1922: 0.08141478079218559
Position 879: 0.05576110907157746
Position 1890: 0.033726796835213964
Position 1659: 0.031401498292038886
Position 3268: 0.030813321836769613
Position 2473: 0.028006365285749683
Position 1055: 0.027351712512599418
Position 145: 0.025742123526176778
Position 907: 0.015258848559912655
Position 2504: 0.012012406934149882
Position 1633: 0.011712951922061815
Position 1996: 0.011442537266360785
Position 569: 0.011225456564286083
Position 2752: 0.010468774190157343
Position 1517: 0.01038496956504516
Position 3691: 0.009519112755529508
Position 82: 0.008507051821467278
Position 2850: 0.00835915999061765
Position 316: 0.006270060255734204
Position 674: 0.006116479720203533
Position 1766: 0.005954271812310813
Position 1930: 0.005091936655323399
Position 1794: 0.005090600277277514
Position 2810: 0.004332778927685885
Position 2924: 0.004131045639957075
Position 2304: 0.004044129907530634
Position 496: 0.003951619862188281
Position 130: 0.0036650679973059394
Position 1452: 0.0035990697780186277
Position 2413: 0.003474934527254012
Position 3129: 0.0029933198840969683
Position 3555: 0.002952541725057271
Position 2781: 0.002890690889870503
Position 1936: 0.0026393858638420788
Position 3322: 0.0024472293570044126
Position 3072: 0.0022890206113471076
Position 2301: 0.001708669689461743
Position 2185: 0.0014102870812042472
Position 805: 0.0010472285500985608
Position 3391: 0.0010334342115024936
Position 3164: 0.0009285372349576166
Position 2714: 0.0009198035678768654
Position 432: 0.0008193750180400764
Position 2402: 0.000732480974569899
Position 1736: 0.0006486394857742203
Position 3194: 0.0005923176469433951
Position 774: 0.000521021710196668
Position 3140: 0.0005103492359900422
Position 1124: 0.0004958665401330972
Position 3564: 0.00048698981648347134
Position 410: 0.00047252274624454843
Position 2119: 0.0003978937557752509
Position 2478: 0.000393653361261405
Position 2237: 0.00039078101973356736
Position 2099: 0.0003389724423139758
Position 2593: 0.0003074007281813064
Position 2421: 0.00030326634548417236
Position 2340: 0.00029689792332754795
Position 3772: 0.00029555080349455057
Position 3406: 0.00027019848510991765
Position 3705: 0.0002492856896979599
Position 3222: 0.00023451765653326905
Position 937: 0.0002230216906163557
Position 807: 0.00019479063071178203
Position 3677: 0.0001910822493387513
Position 3046: 0.00018510123618209232
Position 3871: 0.00018493838807729144
Position 2332: 0.0001675766951746151
Position 3876: 0.00015951435417236792
Position 651: 0.00015285075279036
Position 1254: 0.00014746460966644378
Position 2211: 0.00013254178078342749
Position 704: 0.00011713212173203628
Position 3161: 0.00010663386151516419
Position 1181: 0.00010365094393084969
Position 1643: 8.517499904565523e-05
Position 3803: 8.133513185327181e-05
Position 2967: 7.669504893598775e-05
Position 3892: 7.185170620332705e-05
Position 2711: 6.931074475443157e-05
Position 3711: 6.553309362650807e-05
Position 2168: 4.953940347836675e-05
Position 350: 4.7482533906649533e-05
Position 1604: 3.831642191251024e-05
Position 358: 3.741617947602023e-05
Position 1800: 3.6272213206895994e-05
Position 262: 3.2162413262870066e-05
Position 2572: 3.204004792392838e-05
Position 622: 3.126667922178351e-05
Position 1825: 1.928018129172532e-05
Position 1832: 1.766868389646179e-05
Position 2999: 1.7345632459296832e-05
Position 2219: 1.7053249550678988e-05
Position 2564: 1.6557279053752806e-05
Position 1772: 1.42255960006275e-05
Position 178: 1.339339662525883e-05
Position 633: 1.22408781171873e-05
Position 3628: 1.2184637637441436e-05
Position 644: 1.0617047557145215e-05
Position 3731: 8.061879422950274e-06
Position 3720: 6.679865818094527e-06
Position 225: 6.536505668521155e-06
Position 251: 6.468132244777771e-06
Position 578: 5.573160035526908e-06
Position 691: 2.377181865938787e-06
Position 2147: 9.020040211095997e-07
Position 2144: 8.535547304443944e-07
Position 1264: 2.984736843439979e-07
Position 943: 2.476730729980398e-07
Position 924: 7.138574092860015e-08
Position 947: 6.29109913507904e-08
Position 1359: 5.824832592979739e-08
Position 731: 4.709306344767081e-08
Position 1167: 3.890418607442236e-08
Position 1400: 3.8069101595617763e-08
Position 917: 3.247149630998075e-08
Position 1585: 7.82335212418472e-09
Position 709: 6.5643627754905945e-09
Position 285: 1.913356132058325e-09
