Gene = tut
index = 1921
Annotated 5SS: [186 431]
Annotated 3SS: [251 485]
SMsplice 5SS: [186 431]
SMsplice 3SS: [251 485]
top_k =  1000
Partition function (log Z): -1.5497102900556952

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.9990339154305675
Position 431: 0.7666913269596703
Position 968: 0.09690408556853557
Position 442: 0.029678592808001183
Position 435: 0.004477788031649286
Position 826: 0.0038620037970110797
Position 902: 0.0023371867699212455
Position 972: 0.000591419643190226
Position 803: 0.0003371272669071862
Position 325: 0.0003333853100819624
Position 746: 0.000311506013721228
Position 721: 0.00031146906512661226
Position 597: 0.00028591626748349634
Position 985: 0.00014393852039041712
Position 595: 0.00013263048987867125
Position 197: 0.00010469730999217989
Position 402: 6.956606443647611e-05
Position 192: 6.50845780204058e-05
Position 568: 6.325516255178376e-05
Position 955: 5.6476305623718925e-05
Position 330: 5.0922796394609335e-05
Position 959: 3.3555517484462765e-05
Position 895: 3.0602216067817544e-05
Position 105: 2.5647691961581862e-05
Position 35: 1.7243798190692812e-05
Position 918: 1.5990506538993802e-05
Position 950: 1.56539248057501e-05
Position 892: 1.4597203992925241e-05
Position 1025: 1.4536693409179013e-05
Position 296: 1.0440958464461564e-05
Position 609: 9.734586248694418e-06
Position 190: 7.580189372026759e-06
Position 1008: 7.549646310736201e-06
Position 648: 7.452832460787742e-06
Position 879: 6.812998969648455e-06
Position 526: 2.7498934791348865e-06
Position 634: 2.5714948907443177e-06
Position 556: 2.2390909936886045e-06
Position 768: 1.669887035283928e-06
Position 681: 1.4446701526472622e-06
Position 44: 9.303886815343856e-07
Position 1042: 8.54656663708587e-07
Position 707: 7.682424085461068e-07
Position 850: 7.64092554372185e-07
Position 640: 7.438961586739559e-07
Position 839: 5.300682029987735e-07
Position 138: 4.879756041798963e-07
Position 283: 4.6180782024596334e-07
Position 218: 4.0612083645842863e-07
Position 303: 1.7003702278544352e-07
Position 516: 1.4453766388460332e-07
Position 33: 9.392784758988537e-08
Position 309: 5.830905482559404e-08
Position 265: 4.5539297694434106e-08
Position 42: 3.619590241554566e-08
Position 663: 2.7459442972949196e-08
Position 576: 1.2036972297641559e-08
Position 286: 7.4814198045183e-09
Position 209: 7.068787037072137e-09
Position 238: 4.3919213878251714e-09
Position 263: 1.9012333807926473e-09
Position 100: 1.285220816285194e-09
Position 254: 3.36011106524133e-10
Position 485: 1.467800982356853e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.9973101551773087
Position 485: 0.5635111090913637
Position 507: 0.22878856035890346
Position 1079: 0.06841663762439038
Position 1034: 0.03015124437853416
Position 524: 0.006321426295227898
Position 1146: 0.001742419079979839
Position 658: 0.001404476453639481
Position 1116: 0.0013811931172533459
Position 1008: 0.0010919717071072885
Position 1067: 0.0010914614942861822
Position 584: 0.0010041707534607324
Position 283: 0.0006364308023954086
Position 1042: 0.0004417942112806959
Position 879: 0.00040362569646055233
Position 1091: 0.00038744964639092326
Position 860: 0.00037169398977532765
Position 464: 0.00035735823708946655
Position 571: 0.0003426308534829917
Position 681: 0.00016431378035591278
Position 940: 0.00011724938171506353
Position 274: 8.588871296411468e-05
Position 707: 8.421839673754397e-05
Position 737: 7.636110295707949e-05
Position 717: 6.535018470818907e-05
Position 902: 5.155459016415229e-05
Position 1051: 4.153124064199152e-05
Position 350: 4.0914437855290506e-05
Position 794: 3.635367591799262e-05
Position 975: 3.3513721911384895e-05
Position 826: 1.880783023636722e-05
Position 780: 1.8183212279812745e-05
Position 663: 1.2714326374081346e-05
Position 867: 1.2103002691740281e-05
Position 892: 1.2049607102593247e-05
Position 830: 1.1381024869466453e-05
Position 100: 1.1166035514465805e-05
Position 552: 7.882045344687664e-06
Position 800: 4.402530874195898e-06
Position 1053: 2.9341070434789936e-06
Position 83: 2.398833521733816e-06
Position 138: 2.0875350705922817e-06
Position 972: 1.6422070112168703e-06
Position 603: 1.4454642789644791e-06
Position 806: 8.609922326453491e-07
Position 648: 7.803896301449565e-07
Position 640: 7.462163278757518e-07
Position 595: 6.242333765818488e-07
Position 606: 5.720457085112747e-07
Position 105: 4.6277761032541045e-07
Position 413: 2.8993559506484177e-07
Position 725: 8.7690873740869e-08
Position 316: 5.414519223297493e-08
Position 615: 5.075814818013519e-08
Position 431: 4.381821328082128e-08
Position 309: 3.815550627011588e-08
Position 179: 3.365724609973798e-08
Position 330: 2.3338810605567585e-08
Position 218: 1.0763288914104246e-09
Position 209: 2.2026662455278192e-10
Position 85: 1.8860187959406225e-10
Position 197: 1.0698224281193797e-10
Position 173: 7.740824945133431e-11
Position 721: 4.0141011597075444e-11
Position 185: 2.901786736935642e-11
Position 202: 1.3350197130588797e-11
Position 227: 4.1030933542026884e-13
Position 190: 3.9608406292019556e-14
