Gene = Muc68D
index = 1292
Annotated 5SS: [26]
Annotated 3SS: [82]
SMsplice 5SS: [26]
SMsplice 3SS: [82]
top_k =  1000
Partition function (log Z): -10.2408325987507

Sorted 5' Splice Sites (High to Low Probability):
Position 26: 0.9730162820889747
Position 797: 0.3481229911190187
Position 607: 0.033486439354271536
Position 662: 0.028577987672212434
Position 334: 0.027563290078895242
Position 1313: 0.0258144581673009
Position 1280: 0.024919601610553777
Position 989: 0.018186041971762188
Position 1295: 0.0152223977001005
Position 192: 0.010236817921496229
Position 4235: 0.007662211258606821
Position 1517: 0.00757680285017381
Position 209: 0.006792683949569828
Position 1415: 0.005975188527306695
Position 1922: 0.005729664589013187
Position 977: 0.0041927934114721266
Position 3485: 0.003525821045401572
Position 1484: 0.0035045078247929284
Position 1499: 0.0033084935356397843
Position 3599: 0.0032865734412822196
Position 22: 0.0032848462845334885
Position 1703: 0.0027865974699801004
Position 410: 0.0026499480019249026
Position 1586: 0.002531971514416526
Position 844: 0.0023957265006065926
Position 275: 0.0023704913255989603
Position 2204: 0.0023482949504274662
Position 2387: 0.002303907374007032
Position 2222: 0.0022252730354131328
Position 1397: 0.00221096066629932
Position 2090: 0.002183570495212889
Position 1178: 0.0020933393430659845
Position 1889: 0.002092541766846678
Position 1787: 0.0020725099317637206
Position 1382: 0.0020397409295176065
Position 36: 0.001895675795931952
Position 1952: 0.0018647712298293525
Position 2189: 0.001768437051992642
Position 1688: 0.0014666863666183692
Position 1076: 0.0011800164919191292
Position 2105: 0.0009144717058016773
Position 2402: 0.0008558808712249468
Position 1991: 0.0008282425348045708
Position 2888: 0.000769952488777883
Position 252: 0.0007162547218312175
Position 785: 0.0006981463731132909
Position 2420: 0.0006612292208600197
Position 2123: 0.0006484699630325769
Position 277: 0.0006259275106150059
Position 30: 0.000618553346779811
Position 2486: 0.0005808301030291398
Position 2519: 0.0005553421101577455
Position 5: 0.0005198696527772924
Position 2006: 0.0005154379925265733
Position 2687: 0.00045470631322241917
Position 3188: 0.00041855979096966004
Position 414: 0.0003647453071460111
Position 1211: 0.00022878695775802705
Position 596: 0.0002007298025449957
Position 1091: 0.00019404162876939034
Position 1193: 0.00017759156665244516
Position 2288: 0.00017614974188761307
Position 1047: 0.0001437903489821755
Position 1619: 0.0001372298990435774
Position 1240: 0.00013572009779206924
Position 677: 0.00010745755035293309
Position 622: 0.00010017829026362438
