Gene = Cpr65Av
index = 1099
Annotated 5SS: [259]
Annotated 3SS: [368]
SMsplice 5SS: [259]
SMsplice 3SS: [368]
top_k =  1000
Partition function (log Z): -2.3724829301528096

Sorted 5' Splice Sites (High to Low Probability):
Position 259: 0.9982029613435873
Position 14: 0.014331185698233108
Position 559: 0.005278296871420945
Position 577: 0.00502634546468303
Position 608: 0.0045346693494618135
Position 310: 0.001637057425232517
Position 28: 0.0009231296983793526
Position 630: 0.0007630262749298965
Position 593: 0.00035884991637415555
Position 574: 0.0002649188885830955
Position 521: 0.00020383192823236962
Position 118: 0.00015026728688160112
Position 622: 0.0001481914782163467
Position 640: 9.630215760684781e-05
Position 581: 7.377670973530764e-05
Position 45: 7.16983460607602e-05
Position 469: 6.003742499933194e-05
Position 263: 4.6692457318125785e-05
Position 412: 4.1443608096573126e-05
Position 448: 4.07213646863366e-05
Position 425: 2.7051449823448352e-05
Position 84: 2.589509901650174e-05
Position 572: 2.0579012872140857e-05
Position 460: 1.9831717681908684e-05
Position 308: 1.8679612229596974e-05
Position 446: 1.2784023150245699e-05
Position 18: 1.1665977297772156e-05
Position 455: 4.549546580503403e-06
Position 677: 2.662425487331028e-06
Position 132: 3.340275780250537e-07
Position 349: 1.8835110555811792e-08
Position 134: 1.6381525881204193e-08
Position 380: 8.639041142267522e-09
Position 388: 8.266254339464083e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 368: 0.9929075469089356
Position 677: 0.006287329022063604
Position 698: 0.005485621634559964
Position 118: 0.00467062449426501
Position 333: 0.0037407658917478826
Position 174: 0.0035388130830510444
Position 66: 0.0034994571290941656
Position 620: 0.002909876968054655
Position 744: 0.002372821320989801
Position 94: 0.0021811853561328398
Position 330: 0.0016950521759959978
Position 70: 0.0012262263612452787
Position 399: 0.0005087506154115763
Position 347: 0.0004365420325749533
Position 577: 0.0002228851362049942
Position 126: 0.00019293789696019832
Position 84: 0.00013113329191305316
Position 438: 0.0001071717836773712
Position 375: 7.469169094836759e-05
Position 630: 4.9359602972212985e-05
Position 464: 4.060685558599112e-05
Position 405: 4.0597417240767e-05
Position 402: 2.5014612655561257e-05
Position 380: 1.5763012320428757e-05
Position 581: 1.1502328829593542e-05
Position 435: 7.894776165780157e-06
Position 216: 7.802007586217959e-06
Position 486: 4.007772571116242e-06
Position 349: 2.2883707707249145e-06
Position 528: 8.562201168190035e-07
Position 534: 7.962595971494094e-07
Position 559: 5.748414722325775e-07
Position 411: 5.499469728732215e-07
Position 593: 3.533386785586486e-07
Position 446: 2.8410671295808234e-08
Position 388: 2.1139665990241508e-08
Position 417: 1.772504146270569e-08
Position 590: 1.2036029775002267e-08
Position 266: 6.268934915257052e-10
Position 294: 4.1217838745092003e-10
Position 516: 1.3550035391342964e-11
Position 270: 8.228018099496866e-13
Position 263: 5.599216354526027e-13
