Gene = DNApol-alpha50
index = 1126
Annotated 5SS: [ 186 2821]
Annotated 3SS: [2651 2876]
SMsplice 5SS: [ 186 2821]
SMsplice 3SS: [2651 2876]
top_k =  1000
Partition function (log Z): -5.130495715925157

Sorted 5' Splice Sites (High to Low Probability):
Position 2821: 0.9902536037988819
Position 186: 0.5038009017099273
Position 944: 0.44315346312726017
Position 774: 0.245601337673237
Position 770: 0.23977953240625807
Position 3122: 0.10648154061869268
Position 968: 0.04759759384962429
Position 3149: 0.03655310728904319
Position 1108: 0.02346078409793136
Position 210: 0.022240305013776714
Position 3020: 0.016846974061660108
Position 2593: 0.010277775935324394
Position 2263: 0.008009444224375587
Position 2268: 0.005533975765034542
Position 3252: 0.005270099271700042
Position 2157: 0.0042231739660609936
Position 2066: 0.00414140354235281
Position 1052: 0.004013380460165292
Position 1079: 0.003721077223854198
Position 3790: 0.003569120731086951
Position 2385: 0.003182937413452956
Position 3191: 0.0028259774016393215
Position 1379: 0.0023758728867043647
Position 1139: 0.0023343338354522474
Position 973: 0.0022630660858949272
Position 3261: 0.0021750676335362705
Position 559: 0.0021081059775586056
Position 1056: 0.002086282823499415
Position 2810: 0.0020483355262370965
Position 833: 0.00193100017449033
Position 309: 0.0019043389469903757
Position 1097: 0.0018819712208292432
Position 2335: 0.001765863264963294
Position 121: 0.0017184534377507037
Position 1596: 0.0015507904325767216
Position 2373: 0.0013804636019516614
Position 1193: 0.001338402837912596
Position 2288: 0.0012746678731260321
Position 2555: 0.0012635233865968306
Position 3806: 0.0012577001044291446
Position 172: 0.001182752150253778
Position 2039: 0.0011621291370756326
Position 3176: 0.0010455614567107497
Position 314: 0.0008505265163041743
Position 1521: 0.0007856702349731924
Position 326: 0.000697033697988818
Position 2825: 0.0006945738014660578
Position 1417: 0.0006069826281107416
Position 1643: 0.0005686141736974715
Position 77: 0.0005589654589055564
Position 4: 0.0005300129348972037
Position 714: 0.0005128708277067188
Position 1118: 0.0004946720258371625
Position 75: 0.0004862322275445854
Position 1031: 0.0004725068495782954
Position 3788: 0.000469081684028767
Position 1467: 0.0004090053187161661
Position 3458: 0.00036303908084854694
Position 601: 0.000361224955364629
Position 3275: 0.00034778015909105804
Position 1862: 0.00031742916619753277
Position 1062: 0.0002759873649273509
Position 1364: 0.00026138637646132284
Position 3677: 0.00022363391291329617
Position 3616: 0.00019402044340712917
Position 144: 0.00017622092745890478
Position 52: 0.00011909984340444122
Position 1149: 0.00011853817197919981
Position 3169: 0.00011276040268465843
Position 3081: 8.913247304177222e-05
Position 3048: 8.679587283732505e-05
Position 2415: 8.35922977024595e-05
Position 2316: 8.331420877773777e-05
Position 3445: 8.296128907046123e-05
Position 1886: 7.257883679787036e-05
Position 3222: 7.237796274696786e-05
Position 1955: 6.062705095890967e-05
Position 2762: 6.0527309628892985e-05
Position 1366: 5.9166415878171394e-05
Position 1216: 5.109550206896893e-05
Position 465: 4.862296149856644e-05
Position 1842: 4.350594631330052e-05
Position 962: 3.9459661112594305e-05
Position 675: 3.316542837727275e-05
Position 3725: 3.045791260801652e-05
Position 2800: 2.417387808885285e-05
Position 3434: 2.406574673283926e-05
Position 3126: 2.261256524138833e-05
Position 273: 1.7428629931888224e-05
Position 263: 1.659117062425855e-05
