Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  1000
Partition function (log Z): 29.16049367617981

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.999771962606976
Position 4206: 0.9979253376040436
Position 1286: 0.9950306631139803
Position 3997: 0.9938238745992983
Position 2705: 0.9937406712705044
Position 694: 0.9933294671432131
Position 245: 0.9772257141703988
Position 1496: 0.5481468096139017
Position 2096: 0.13588266520423303
Position 92: 0.06211520114486517
Position 1447: 0.05349587396101426
Position 1712: 0.050660716451793625
Position 2090: 0.02896583933823529
Position 3639: 0.02802653748317431
Position 2327: 0.020356186334422377
Position 3088: 0.015722061594033148
Position 249: 0.010136452259135493
Position 2439: 0.009388275911836254
Position 1458: 0.008760484030595974
Position 4383: 0.006669803588879735
Position 3540: 0.005708964137174092
Position 4366: 0.005689052813613833
Position 3261: 0.004642442217418582
Position 2128: 0.004553832606281018
Position 2709: 0.004077047303050353
Position 1608: 0.004025673143967953
Position 3987: 0.0038521014275275205
Position 1719: 0.0033558304621918306
Position 3049: 0.0032352407868795757
Position 502: 0.0021938816014069763
Position 3747: 0.0020045360769683916
Position 1851: 0.0017169753277010082
Position 2213: 0.0015641862167550622
Position 3003: 0.0015604131866216503
Position 4210: 0.0014840678234304251
Position 4001: 0.001474726244463066
Position 1465: 0.0014659512531868977
Position 3525: 0.0014066478086207483
Position 2928: 0.0013884303054912336
Position 104: 0.0013035781575746078
Position 1619: 0.0012194872191242235
Position 2923: 0.0010135763588308723
Position 4462: 0.0009651160527170201
Position 2021: 0.0008952458888072016
Position 4413: 0.0008451682059358175
Position 2288: 0.0008365444049722893
Position 3675: 0.0008252291745561628
Position 517: 0.0007062518207078708
Position 2086: 0.0006402361302182303
Position 1757: 0.0006126432256290305
Position 2887: 0.000579004544402324
Position 2543: 0.0005615719489935739
Position 3278: 0.0005240526375319708
Position 1624: 0.0005014112641646932
Position 3771: 0.00047671285609261803
Position 1293: 0.0004025359364781867
Position 2024: 0.00039959032506427017
Position 2969: 0.000371280414900837
Position 4396: 0.0003539843453900281
Position 3324: 0.0003411574046481259
Position 1470: 0.00033922878976490117
Position 1732: 0.000328990104731633
Position 412: 0.00032412189597779805
Position 15: 0.0003184501698208937
Position 2033: 0.00030893114604487495
