Gene = toc
index = 1913
Annotated 5SS: [  448 19685 20772 36062 46865 50570 63793 64136 73218 73964]
Annotated 3SS: [16995 19828 35924 46720 50410 63517 63898 73021 73281 74054]
SMsplice 5SS: [  448 17993 19685 20772 36062 46865 50570 63793 64136 73218 73964]
SMsplice 3SS: [16995 19089 19828 35924 46720 50410 63517 63898 73021 73281 74054]
top_k =  1000
Partition function (log Z): 13.968909686586379

Sorted 5' Splice Sites (High to Low Probability):
Position 64136: 0.9999990613509944
Position 73218: 0.9969903159965227
Position 46865: 0.9969877686217378
Position 73964: 0.9953650879785378
Position 36062: 0.9917074826347003
Position 63793: 0.9907991787908241
Position 448: 0.9474699804387854
Position 20772: 0.9455539913945785
Position 50570: 0.9144897367907789
Position 19685: 0.8401557211580106
Position 1525: 0.7596279723903556
Position 17993: 0.609425188340195
Position 50327: 0.4557314834646661
Position 47612: 0.45380261153941265
Position 1837: 0.42461240288744706
Position 831: 0.23873773480945354
Position 47222: 0.23570937997445993
Position 17677: 0.2254295827053824
Position 1751: 0.16259133818129878
Position 72631: 0.13671037615848775
Position 5843: 0.11480348404203433
Position 71625: 0.0966224447771117
Position 17296: 0.07920791349679623
Position 49329: 0.0791853402922152
Position 75028: 0.0726224804583759
Position 46138: 0.06448988333563467
Position 58783: 0.06116308719128882
Position 5422: 0.047505451979836646
Position 47344: 0.047195082431994065
Position 45334: 0.04704508156298673
Position 47283: 0.045758490690480276
Position 18262: 0.038610689985133805
Position 3942: 0.029295134068866118
Position 46108: 0.026573634409601435
Position 74127: 0.020850967033409176
Position 59829: 0.01781925914842702
Position 48915: 0.016596483609132726
Position 19351: 0.015838789086121387
Position 17881: 0.014519652609394534
Position 31051: 0.013550842258621467
Position 48607: 0.01351311237026764
Position 15546: 0.013071727091062892
Position 13213: 0.011184124280768395
Position 56474: 0.00942597041883225
Position 19280: 0.009188346237961206
Position 2528: 0.008421264803566638
Position 860: 0.008130903321839461
Position 38033: 0.0077768944448278685
Position 6242: 0.0075955004171716625
Position 10776: 0.007064886872758573
Position 5433: 0.007048884984232441
Position 2433: 0.007018890043915601
Position 40461: 0.006933040005359021
Position 3: 0.006711915149949569
Position 54952: 0.0065422531525753695
Position 47653: 0.006379826745031433
Position 930: 0.006184683245984902
Position 935: 0.005875179171681023
Position 47490: 0.0053977593369540534
Position 989: 0.005107550893469165
Position 75376: 0.005016973988857163
Position 51390: 0.0048988653210341885
Position 52832: 0.00488627023971227
Position 6238: 0.004783442322785563
Position 570: 0.004349585379121069
Position 36066: 0.004179848354514494
Position 2874: 0.004139497477912121
Position 49756: 0.003949439709821877
Position 63810: 0.0037846327867822236
Position 47361: 0.0036413599556196384
Position 75677: 0.0033845787288916246
Position 63760: 0.003344940393982086
Position 73222: 0.002770185771539445
Position 63620: 0.0027218301213938123
Position 851: 0.0026883166615309442
Position 47744: 0.002662464771273724
Position 53273: 0.002624312411457532
Position 13256: 0.0024310573144173874
Position 74384: 0.0023957670059250183
Position 249: 0.0023837593496211402
Position 7984: 0.0021638010743728385
Position 7851: 0.0020982995088588076
Position 50007: 0.0020849543633903447
Position 3545: 0.0018329960939231504
Position 46914: 0.00176234605183365
Position 50588: 0.0017515817631286752
Position 194: 0.0017272097561868854
Position 3516: 0.001523049636161067
Position 59685: 0.0015067283314387115
Position 75280: 0.0014986202715201104
Position 42906: 0.0014153497190429836
Position 202: 0.001414233202927288
Position 173: 0.0013841476826504094
Position 1880: 0.0013779669049300881
Position 50056: 0.0013490121868847001
Position 42510: 0.0012426074176632254
Position 42761: 0.0011834108088325781
Position 11433: 0.001169020524149118
Position 970: 0.0011342165323885932
Position 75605: 0.0010575610889841658
Position 76009: 0.0010363142584740735
Position 1774: 0.000976194659604146
Position 802: 0.0008279483287916405
Position 63938: 0.0007725078457550863
Position 56071: 0.0006849488611149917
Position 8069: 0.0006713726570282268
Position 688: 0.0006005957645132079
Position 47317: 0.000586976114220059
Position 47279: 0.0005811138392271657
Position 951: 0.000571478349254499
Position 48927: 0.0005006330600919086
Position 47546: 0.0004957997709642877
Position 863: 0.0004811979382412437
Position 799: 0.00046305353612005265
Position 73401: 0.0004603454831041877
Position 25: 0.0004539029422588879
Position 673: 0.00045157629271461554
Position 2961: 0.0004148516945457934
Position 599: 0.0003970221280362051
Position 2936: 0.0003845677288380853
Position 46869: 0.000382505586422004
Position 247: 0.00037856769251728566
Position 73968: 0.0003754972499174362
Position 778: 0.00033881085090587787
Position 68824: 0.0003110449997370222
Position 49149: 0.0002990538854968759
Position 75957: 0.0002791901445039782
Position 307: 0.0002759287855501519
Position 868: 0.00025958617615468407
Position 75234: 0.0002413424255290241
Position 1361: 0.00023921355548454224
Position 745: 0.00023867811496664429
Position 75332: 0.00023150611452553888
Position 1438: 0.0002272620120909951
Position 566: 0.00022406745629407695
Position 2014: 0.00022301943163957868
Position 282: 0.0002196348463410239
Position 69044: 0.00021267460471626422
Position 1704: 0.0002004966982083509
Position 75736: 0.0001984243735960444
Position 198: 0.00019620278696169668
Position 531: 0.00019163436851836254
Position 74344: 0.0001684750008333786
Position 69048: 0.00014959264825533444
Position 47338: 0.0001456869786419964
Position 74576: 0.00014431029033169462
Position 41985: 0.00014139577139827636
Position 75401: 0.00013141081881101315
Position 75899: 0.00012890215915451392
Position 595: 0.00011857759687338163
Position 1296: 0.0001077651441658056
Position 69006: 0.00010591140500778348
Position 47184: 0.00010536564048721777
Position 794: 0.00010426477526465845
Position 1456: 0.00010195458979858881
Position 46975: 9.317848013907064e-05
Position 1469: 9.212651201385267e-05
Position 188: 8.316550988642393e-05
Position 759: 8.210830471775489e-05
Position 220: 8.182180500609736e-05
Position 63647: 7.755445201475192e-05
Position 1023: 7.523081884927228e-05
Position 63971: 7.432938653091067e-05
Position 2571: 6.852857471190889e-05
Position 68617: 6.606807205151595e-05
Position 74148: 6.17050489016555e-05
Position 787: 6.085155358450419e-05
Position 2297: 5.65645528162072e-05
Position 75649: 5.2948029996870834e-05
Position 1151: 5.2727195622536845e-05
Position 1699: 4.190131191806709e-05
Position 256: 4.182432417092348e-05
Position 2031: 4.153729076880441e-05
Position 357: 3.7906152473600775e-05
Position 1287: 3.655654107358557e-05
