Gene = COX8
index = 1045
Annotated 5SS: [204]
Annotated 3SS: [279]
SMsplice 5SS: [204]
SMsplice 3SS: [279]
top_k =  1000
Partition function (log Z): -2.5316275807237734

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9995802241369762
Position 372: 0.002430638363742005
Position 415: 0.0020165640270783233
Position 410: 0.0009231532967916696
Position 398: 0.0005763710202768477
Position 208: 0.00034977636852945624
Position 515: 0.00020493091481869682
Position 83: 0.0001917038695083959
Position 22: 7.50133104505387e-05
Position 234: 3.3594963087364264e-05
Position 447: 2.6141436131760602e-05
Position 161: 1.3040631006729778e-05
Position 525: 1.0784133598060553e-05
Position 439: 6.843791652204723e-06
Position 68: 4.427692370027238e-06
Position 468: 3.493674766387452e-06
Position 218: 2.5206071983006405e-06
Position 507: 2.480217603189919e-06
Position 165: 2.2992275718865162e-06
Position 87: 2.197843571493164e-06
Position 306: 1.3360386677217415e-06
Position 337: 1.2740196194267211e-06
Position 286: 3.72594729314992e-07
Position 136: 2.486532783841504e-07
Position 95: 1.6094635435240372e-07
Position 321: 6.384149417708321e-08
Position 529: 5.193721498349896e-08
Position 168: 4.371372590550162e-08
Position 154: 2.457106532779121e-08
Position 123: 5.1834332286692495e-09
Position 527: 1.5393130151072533e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 279: 0.9932878882663402
Position 282: 0.0043403205475626375
Position 285: 0.0022764144962128044
Position 564: 0.0020179220917359193
Position 468: 0.001713032403777486
Position 512: 0.0013774575040743275
Position 439: 0.0007801103323557877
Position 572: 0.0002604214188322529
Position 418: 0.00013002517543921128
Position 139: 0.00010480963490587273
Position 149: 8.22804949391728e-05
Position 106: 7.095069273620027e-05
Position 415: 5.528788636602066e-06
Position 246: 3.999786011348795e-06
Position 83: 3.6217030371189746e-06
Position 580: 2.3658277424264895e-06
Position 363: 1.0053346901867697e-06
Position 161: 9.899989649320402e-07
Position 230: 1.901149839459472e-07
Position 66: 1.8715990977900255e-07
Position 398: 1.2537270523538374e-07
Position 188: 7.020924702809688e-08
Position 477: 3.38217819672356e-08
Position 151: 3.084570808185353e-08
Position 372: 2.832662335067018e-10
Position 208: 2.0349999985870046e-10
Position 420: 4.9570873344866664e-11
Position 387: 6.956671341342733e-12
Position 214: 3.110937109486489e-16
Position 422: 1.4216800700512607e-17
