Gene = QIL1
index = 1397
Annotated 5SS: [192]
Annotated 3SS: [253]
SMsplice 5SS: [192]
SMsplice 3SS: [253]
top_k =  1000
Partition function (log Z): 0.1533024534899105

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9993664066947997
Position 608: 0.001699074510047457
Position 306: 0.0010690630539364901
Position 586: 0.00023467752969539657
Position 184: 0.00023065980458152475
Position 200: 0.0002185553997238323
Position 660: 0.00019298678946845973
Position 196: 0.0001727276880482817
Position 474: 0.00015331817206196916
Position 411: 9.858258672157539e-05
Position 490: 8.556636633815332e-05
Position 359: 7.79491500834151e-05
Position 537: 5.697854380706775e-05
Position 649: 4.976431862863238e-05
Position 60: 4.313641617149756e-05
Position 598: 1.9849908525160447e-05
Position 116: 1.4760682853897451e-05
Position 344: 8.215854360991362e-06
Position 38: 7.4370631304855195e-06
Position 748: 6.06927798583026e-06
Position 647: 3.88828185168829e-06
Position 419: 2.590438517298585e-06
Position 593: 1.059341048017604e-06
Position 29: 8.335967879725823e-07
Position 684: 3.9734416902472703e-07
Position 261: 2.7562784104078653e-07
Position 271: 2.6088972225496e-07
Position 548: 2.5122597204822826e-07
Position 223: 2.1837313277634794e-07
Position 147: 2.0048835619580234e-07
Position 276: 1.5455833074790561e-07
Position 641: 9.12751202677517e-08
Position 378: 8.826722928230433e-08
Position 288: 4.830850633817734e-08
Position 681: 3.6567607308872825e-08
Position 739: 9.175212559036986e-09
Position 678: 3.873377849975285e-09
Position 694: 2.4910306478144925e-09
Position 689: 1.6079564103419898e-09
Position 691: 2.8565125267940905e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9958860513350565
Position 261: 0.00405542929357102
Position 717: 0.001447013768572233
Position 573: 0.0005597198369486881
Position 519: 0.0005119289800855738
Position 660: 0.0002940485512865843
Position 664: 0.00016609753067776243
Position 637: 0.000154089480544142
Position 383: 0.0001459782986978701
Position 806: 0.00012722360917300242
Position 419: 9.77024470115777e-05
Position 653: 9.250774720333284e-05
Position 386: 6.162978090651312e-05
Position 305: 4.2972947020998426e-05
Position 783: 3.673917064006955e-05
Position 554: 2.4147189183579803e-05
Position 190: 2.1826632200675068e-05
Position 106: 2.0394223639165324e-05
Position 359: 1.7725994627380895e-05
Position 133: 1.276079533560417e-05
Position 778: 8.899817335711489e-06
Position 734: 8.604408840549502e-06
Position 523: 7.643260351657731e-06
Position 365: 6.095433842996869e-06
Position 470: 1.6668842834045164e-06
Position 455: 1.5765526111573078e-06
Position 332: 1.4633197441173821e-06
Position 479: 1.016132572839316e-06
Position 814: 7.569088646606454e-07
Position 533: 6.661830293501559e-07
Position 143: 4.417794677877804e-07
Position 725: 3.2800762599673225e-07
Position 536: 2.3241952357801883e-07
Position 398: 2.1572879763627764e-07
Position 411: 1.8043410513802605e-07
Position 437: 1.6200354199020248e-07
Position 395: 1.072740985753249e-07
Position 542: 8.074983041431384e-08
Position 341: 2.775946750732793e-08
Position 598: 1.08340492946242e-08
Position 392: 1.0698140007908908e-08
Position 593: 8.2163671595588e-09
Position 608: 7.585704376658547e-09
Position 72: 1.8212052587154933e-09
Position 196: 1.5221365990811624e-12
Position 227: 8.202890294938669e-13
Position 216: 2.596600214135106e-13
Position 321: 5.4966072917146165e-15
