Gene = Ca-beta
index = 1051
Annotated 5SS: [36855 37518 37800 37981 40092 40323 40561 41283 43665]
Annotated 3SS: [37400 37577 37865 39594 40154 40445 41018 43207 43814]
SMsplice 5SS: [  236 26219 26389 26579 28384 37518 37800 37981 40092 40323 41283]
SMsplice 3SS: [26093 26278 26449 28252 37400 37577 37865 38127 40154 40445 46175]
top_k =  1000
Partition function (log Z): 16.613588726156905

Sorted 5' Splice Sites (High to Low Probability):
Position 28384: 0.9999999999999948
Position 37518: 0.9982239539582374
Position 37800: 0.9921124626486261
Position 236: 0.9614842545664172
Position 40092: 0.94772605896383
Position 40323: 0.9370469017741441
Position 37981: 0.7518342617585301
Position 38825: 0.6961767337563464
Position 41283: 0.6365379020247409
Position 40561: 0.4201596430804797
Position 26579: 0.36553443065283864
Position 3951: 0.2969079967392384
Position 38221: 0.13521771504291458
Position 13841: 0.12658401281255308
Position 26571: 0.12645234309988457
Position 33177: 0.11570599559596989
Position 37960: 0.09928422820343434
Position 39077: 0.07727352785138357
Position 45326: 0.06947788593817267
Position 40343: 0.061119178890688804
Position 41990: 0.0579395116601383
Position 38577: 0.052205267091396605
Position 42477: 0.04785754146550557
Position 38331: 0.04215621316911338
Position 37942: 0.03682988852815232
Position 21477: 0.03609922147395958
Position 224: 0.03606640739604573
Position 38022: 0.028424958849115403
Position 46402: 0.02504304825833135
Position 46267: 0.019540612824852067
Position 19621: 0.01720599938299802
Position 16368: 0.016742094432476214
Position 39741: 0.010128040934703052
Position 15390: 0.00996467437067017
Position 45771: 0.009819361911937639
Position 39281: 0.009448112242500483
Position 40087: 0.008536115950730418
Position 42812: 0.007568727652565992
Position 43341: 0.0057891861558481365
Position 41555: 0.00550335921362781
Position 16376: 0.005111602916629979
Position 41649: 0.005054420131086625
Position 39436: 0.004285590106786904
Position 38311: 0.0038001124262017536
Position 37703: 0.003510477918368209
Position 42683: 0.0033088347633021564
Position 12675: 0.0029315607086769398
Position 38397: 0.002782876641497041
Position 38591: 0.002679687625342197
Position 8757: 0.002600260430676014
Position 42040: 0.002292100817965246
Position 38955: 0.0018924519360064135
Position 37522: 0.0017033770641155643
Position 37752: 0.00161463297217127
Position 38048: 0.001612916771215278
Position 38339: 0.0014329272165627723
Position 6539: 0.0012744421350141316
Position 11870: 0.0012612522465000897
Position 40327: 0.0012530472932645426
Position 42888: 0.0012168286514957437
Position 240: 0.0012042630901270255
Position 38637: 0.0011252727973267286
Position 15181: 0.0011172842576503853
Position 42169: 0.0009527219855528174
Position 41816: 0.0007907120247868328
Position 2197: 0.0007507005622899395
Position 41441: 0.0007288620554009247
Position 14103: 0.0007136680818482323
Position 14759: 0.0006865734344756873
Position 42390: 0.0006013522026621348
Position 294: 0.0005584668341557772
Position 14862: 0.0005417784305831607
Position 14106: 0.0005388958234903353
Position 39144: 0.0004621906815224974
Position 39945: 0.00044491203470756045
Position 40380: 0.00040919688376627947
Position 41508: 0.0003970600468090932
Position 38173: 0.00039099849835597204
Position 43054: 0.00028222562802174354
Position 14475: 0.0002660827168330954
Position 40637: 0.0002631575886737801
Position 14134: 0.00025806768248882566
Position 15162: 0.00024911706377303956
Position 41982: 0.00021870760203674896
Position 38214: 0.0002065519133703533
Position 15255: 0.00019715161516951042
Position 38675: 0.0001942778591681187
Position 13932: 0.0001904248406196672
Position 40067: 0.00019017092606281912
Position 250: 0.00018394109304355693
Position 152: 0.00018038338110149313
Position 37747: 0.00016617242897666782
Position 40009: 0.00016018923179336497
Position 37924: 0.0001576526494476633
Position 40817: 0.00015082975882747034
Position 39768: 0.00013997700174097513
Position 38032: 0.0001396911123423005
Position 40313: 0.0001334797056880977
Position 40837: 0.0001293005111520801
Position 40790: 0.0001226771196131382
Position 37734: 0.00010406647024612797
Position 38532: 9.836036706390085e-05
Position 37718: 9.416071870432211e-05
Position 38667: 6.905574593619142e-05
Position 41617: 6.774521782865322e-05
Position 1429: 6.657770867591092e-05
Position 41959: 6.164676651173866e-05
Position 38096: 6.135846686128591e-05
Position 14473: 5.378441435879113e-05
Position 735: 5.285569853863976e-05
Position 2412: 4.972890117609331e-05
Position 38113: 4.852521876794651e-05
Position 42116: 4.427627912462988e-05
Position 41992: 4.080510292222948e-05
Position 38349: 3.7925794405945255e-05
Position 2442: 3.709876972291542e-05
Position 40600: 3.66591550865497e-05
Position 40263: 3.036385510263395e-05
Position 1370: 2.6485235612273484e-05
Position 38554: 2.1470954359425793e-05
Position 38970: 2.0569528682876404e-05
Position 40218: 1.8207311576291484e-05
Position 39081: 1.8005511605194127e-05
Position 8816: 1.416713062682448e-05
Position 1040: 1.4070687979050242e-05
Position 41415: 1.4034155427171352e-05
Position 38455: 1.3813269315935534e-05
Position 9022: 1.378749441266151e-05
Position 1643: 1.303578405145041e-05
Position 11117: 1.2732458588538284e-05
Position 3776: 1.1228496916921609e-05
Position 3110: 1.0325462330098878e-05
Position 284: 9.814399701693045e-06
Position 4756: 9.555212686929772e-06
Position 38371: 8.5824011616904e-06
Position 3626: 8.170893294047333e-06
Position 39170: 7.555990430360467e-06
Position 37836: 7.023049365199181e-06
Position 38233: 6.901391522403733e-06
Position 3223: 6.660589380497177e-06
Position 38038: 6.538371178926366e-06
Position 2628: 6.107474040864108e-06
Position 38697: 5.45134187420548e-06
Position 3649: 5.325101162422973e-06
Position 3183: 5.02143932665152e-06
Position 39140: 3.530866009193729e-06
Position 37667: 3.0395892629785732e-06
Position 455: 3.0132284438505182e-06
Position 242: 2.985670541527667e-06
Position 37889: 2.9291871824385824e-06
Position 1164: 2.924678010991534e-06
Position 3066: 2.0090237395195183e-06
Position 38130: 2.0084015968706427e-06
Position 40256: 1.9433815221393666e-06
Position 38347: 1.6135073346959765e-06
Position 37647: 1.389568852496285e-06
Position 41230: 1.295683510335198e-06
Position 8119: 1.2546370600949664e-06
Position 11954: 1.2030214901783453e-06
Position 41301: 1.1997322708760424e-06
Position 8085: 1.1618731732970314e-06
Position 41266: 1.144887100177147e-06
Position 6941: 9.393606687579269e-07
Position 38391: 8.919666856065845e-07
Position 38101: 8.909878365059483e-07
Position 38235: 8.069645370407527e-07
Position 11936: 7.936295535591135e-07
Position 37662: 7.551063897017723e-07
Position 1842: 7.105289519317413e-07
Position 2806: 6.351892321002542e-07
Position 37907: 5.609794332222737e-07
Position 3114: 5.028619842195994e-07
Position 2339: 3.397947029049891e-07
Position 37838: 2.8829874007477945e-07
Position 3303: 2.7961704661454733e-07
Position 41326: 2.549694675624718e-07
Position 41316: 2.290064857230994e-07
Position 37611: 2.250385880061898e-07
Position 2483: 1.9612320426143758e-07
Position 40412: 1.7000125360986892e-07
Position 41292: 1.6031783260448852e-07
Position 1627: 1.4609921006935676e-07
Position 5914: 1.427163497817878e-07
Position 1747: 1.1469920973214774e-07
Position 40794: 1.0348327130317373e-07
Position 539: 9.581578017874445e-08
Position 2176: 8.403446931635122e-08
Position 537: 8.28931356578179e-08
Position 4420: 8.119466116095501e-08
Position 2579: 7.146251154065562e-08
Position 41559: 6.970214595284083e-08
Position 801: 6.501632946618279e-08
Position 541: 6.18238057512664e-08
Position 2549: 5.4868618155233396e-08
Position 41345: 5.396345952257859e-08
Position 5901: 5.0826468460925874e-08
Position 1894: 4.5143897668361095e-08
Position 1832: 4.1097034705481796e-08
Position 1036: 3.706717144790469e-08
Position 6262: 3.335528549491335e-08
Position 2345: 3.297869553353401e-08
Position 41206: 3.260912843018511e-08
Position 2501: 3.115475874595448e-08
Position 2586: 3.096445456409324e-08
Position 4867: 2.678558995817436e-08
Position 837: 1.9631602830597513e-08
Position 1020: 1.8141963774814388e-08
Position 543: 1.7359929240321493e-08
Position 244: 1.6697873569009024e-08
Position 41515: 1.626094637389543e-08
Position 417: 1.5366983890604305e-08
Position 504: 1.5031201030016438e-08
Position 40187: 1.3277139369454765e-08
Position 6947: 1.2969085807157937e-08
Position 845: 1.1089559080887827e-08
Position 37862: 9.22682230272766e-09
Position 4172: 8.757755584152438e-09
Position 1442: 6.29549678979793e-09
Position 40243: 5.566724243063331e-09
Position 40448: 5.079237520610319e-09
Position 3918: 3.5899406387975016e-09
Position 545: 3.393025503650283e-09
Position 4397: 1.8582293939099435e-09
Position 547: 1.7076401850423055e-09
Position 58: 1.1966876314478464e-09
Position 858: 1.175175778470589e-09
Position 4725: 1.0030967251620515e-09
Position 834: 8.066844777210473e-10
Position 4107: 7.940012447470449e-10
Position 3989: 7.792688596499257e-10
Position 25: 7.558505986513457e-10
Position 3869: 6.338552107574262e-10
Position 60: 5.620523569134944e-10
Position 380: 5.478988265633352e-10
Position 291: 5.128340256907577e-10
Position 40416: 4.2493718992605463e-10
Position 40583: 3.09674989912125e-10
Position 40540: 2.395113419826565e-10
Position 1117: 1.846269093161375e-10
Position 54: 1.1771356932094482e-10
Position 82: 1.0647079942235656e-10
Position 823: 9.161061214493488e-11
Position 19: 6.766187918467355e-11
Position 7: 6.733275401829149e-11
Position 739: 6.391570952065816e-11
Position 219: 6.200562094313415e-11
Position 354: 5.5391970506921976e-11
Position 228: 5.496073629747556e-11
Position 467: 5.117600170779523e-11
Position 9: 4.6160748987376705e-11
Position 40713: 4.430577264594704e-11
Position 594: 2.973786911067136e-11
Position 40482: 2.6266109986856003e-11
Position 13: 2.0067795701732128e-11
Position 330: 1.335063470719696e-11
Position 551: 1.2013381658535339e-11
Position 86: 1.117767035944213e-11
Position 609: 9.40834915172388e-12
Position 38087: 3.2273974465644054e-12
Position 445: 1.2254655987666641e-12
Position 76: 8.05123624746471e-13
Position 437: 7.639651708825913e-13
Position 863: 6.459239200999236e-13
Position 70: 6.000575815285562e-13
Position 36: 5.373552048964892e-13
Position 67: 4.057294097536355e-13
Position 64: 3.6014926819830124e-13
Position 361: 3.4990162414901223e-13
Position 62: 2.4117539753192106e-13
Position 606: 2.2766681448152076e-13
Position 90: 1.9660631405362566e-13
Position 507: 1.9600743756165785e-13
Position 698: 1.9276822808895575e-13
Position 686: 1.8535825232805932e-13
Position 766: 1.737554907212782e-13
Position 52: 1.6209002509670602e-13
Position 429: 1.2905058592256733e-13
Position 348: 6.625962269093067e-14
Position 108: 3.6691388137216733e-14
Position 11: 2.3647132529417754e-14
Position 84: 1.3558709794568118e-14
Position 549: 1.038570976020785e-14
Position 17: 3.041840595284029e-15
Position 29: 2.8545568029010886e-15
Position 23: 1.5304432556461188e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 40445: 0.9991189363231935
Position 28252: 0.9991096107378116
Position 37577: 0.9983042746084096
Position 37865: 0.995924042061781
Position 40154: 0.9952550342267908
Position 37400: 0.9107104469741154
Position 38127: 0.49685306840698085
Position 46175: 0.3040025573719409
Position 26449: 0.30038396531543277
Position 39594: 0.2726700634285161
Position 38894: 0.18708612558847795
Position 38637: 0.16314365687510612
Position 45174: 0.16195974358886858
Position 38560: 0.15973802779442967
Position 26414: 0.13425336004302407
Position 3749: 0.12918882813007115
Position 46943: 0.12027009591613814
