Gene = capt
index = 1642
Annotated 5SS: [ 184 4877 5492 6086]
Annotated 3SS: [4530 4943 5561 6146]
SMsplice 5SS: [ 184 4877 5492 6086]
SMsplice 3SS: [4530 4943 5561 6146]
top_k =  1000
Partition function (log Z): 6.866385091918877

Sorted 5' Splice Sites (High to Low Probability):
Position 6086: 0.9988025342183331
Position 184: 0.9972162875692325
Position 5492: 0.9943333916767261
Position 4877: 0.9800901876830104
Position 3981: 0.43122617973106364
Position 4379: 0.23502362291183407
Position 4374: 0.04645358807805912
Position 3475: 0.025678267721851725
Position 1644: 0.02550597520055573
Position 1918: 0.013980293773609393
Position 3162: 0.013159610008303891
Position 3711: 0.011814480353376686
Position 848: 0.011426766885473482
Position 4171: 0.007597539406514115
Position 3098: 0.006920749881739091
Position 3006: 0.006692929547667685
Position 892: 0.006190964494273181
Position 5794: 0.004279057157523052
Position 4881: 0.003976524321156348
Position 6256: 0.0037228447529805094
Position 1456: 0.0026508938526110595
Position 1396: 0.002650557030465356
Position 1892: 0.0025518136367527196
Position 4000: 0.00205418243416443
Position 3762: 0.0019729951450954426
Position 5514: 0.0012226399909096527
Position 5808: 0.0010286934206882282
Position 4905: 0.0008970103118113572
Position 6278: 0.0008741458079938284
Position 4329: 0.000866537108693031
Position 2517: 0.0007473301458150954
Position 5806: 0.0007212859233832667
Position 307: 0.0007185935823087665
Position 2071: 0.0004861548518576733
Position 3684: 0.0004503595956808667
Position 4431: 0.0004335116612616826
Position 3048: 0.0004117852520979994
Position 5133: 0.00040363122414576754
Position 4120: 0.0003908879503523218
Position 6297: 0.0003692744445686481
Position 601: 0.0003580911138725732
Position 5474: 0.00031716136661422156
Position 6467: 0.0003118934111233744
Position 5530: 0.0003099879095095254
Position 3119: 0.0002968566300574905
Position 5789: 0.00027072662574659375
Position 5761: 0.0002266628964918718
Position 3974: 0.0001794764846857186
Position 453: 0.00016063495404973504
Position 675: 0.00013366007470565685
Position 5131: 0.0001183829671132841
Position 2954: 0.00011091921705586738
Position 5765: 0.00010223080292888648
Position 6260: 8.997923663628662e-05
Position 5840: 8.967679671624308e-05
Position 5792: 7.901828390466984e-05
Position 6209: 7.880905112762699e-05
Position 6452: 6.643987337691081e-05
Position 5351: 5.183050487090182e-05
Position 5942: 4.711037604921526e-05
Position 6398: 4.308657909581765e-05
Position 6090: 3.131031073714868e-05
Position 6275: 2.862652712282937e-05
Position 932: 2.08584832695976e-05
Position 687: 2.0243559025989436e-05
Position 543: 2.011996810922256e-05
Position 6235: 1.820871451186198e-05
Position 3114: 1.7324312625997554e-05
Position 6323: 1.6656818944486716e-05
Position 4913: 1.6322405630748602e-05
Position 1263: 1.398391364195692e-05
Position 5725: 1.3286785743417374e-05
Position 4792: 1.2923230658644933e-05
Position 300: 1.1400051864883523e-05
Position 5573: 1.0634682154899594e-05
Position 1719: 1.022277939284346e-05
Position 5737: 1.020444317923463e-05
Position 960: 9.905102207753226e-06
Position 125: 8.301765215568374e-06
Position 5963: 7.94680385614804e-06
Position 188: 7.834289436699229e-06
Position 5378: 7.6291049919778194e-06
Position 5260: 7.277069773248643e-06
Position 1578: 7.211330939945823e-06
Position 1666: 6.5042764631481185e-06
Position 1419: 6.419184277385648e-06
Position 1069: 6.181520192064735e-06
Position 5244: 5.7336067135102464e-06
Position 49: 4.8875644002986215e-06
Position 5317: 4.456693628695474e-06
Position 1274: 4.100444968025029e-06
Position 354: 4.089828701317221e-06
Position 472: 3.865600407848658e-06
Position 80: 3.7499474276267867e-06
Position 4956: 1.981432208658499e-06
Position 293: 1.946976911384819e-06
Position 679: 1.8818756132223939e-06
Position 334: 1.701145657931592e-06
Position 5519: 1.6405828455854045e-06
Position 437: 1.6055535527654935e-06
Position 5375: 1.604053052019022e-06
Position 5911: 1.4912438735397739e-06
Position 5239: 1.411322766924498e-06
Position 6040: 1.3981398180406803e-06
Position 21: 1.3931681781668933e-06
Position 6310: 1.3897665394690929e-06
Position 6469: 1.2916322364306715e-06
Position 6029: 1.2669316614484638e-06
Position 338: 1.004601456057663e-06
Position 818: 9.593715195700856e-07
Position 435: 9.390981162244184e-07
Position 1257: 9.180194807516904e-07
Position 1704: 7.454980347649016e-07
Position 5995: 7.398332943625887e-07
Position 474: 6.5954545967798e-07
Position 6317: 6.45453754027188e-07
Position 1198: 6.434851847985161e-07
Position 580: 6.081110445163397e-07
Position 6020: 5.373403387292723e-07
Position 1162: 4.3880504726437844e-07
Position 420: 4.215032105379559e-07
Position 967: 4.112354720103935e-07
Position 1268: 4.1021601067020244e-07
Position 6207: 3.4401404057441345e-07
Position 336: 3.37770091856548e-07
Position 418: 3.239011371821222e-07
Position 1470: 2.868793470852432e-07
Position 1053: 2.48601114672859e-07
Position 5954: 2.2723818312578708e-07
Position 541: 2.022863175099726e-07
Position 6354: 1.8823163478098892e-07
Position 1330: 1.799558174769724e-07
Position 201: 1.0597795319509117e-07
Position 446: 8.513074610044387e-08
Position 213: 5.996980068897123e-08
Position 6471: 5.817733819065256e-08
Position 661: 4.786825589874958e-08
Position 6391: 4.691011217891677e-08
Position 311: 4.060944363044948e-08
Position 360: 3.7244515256351915e-08
Position 364: 3.706489276909242e-08
Position 748: 3.2086025311265985e-08
Position 637: 2.899525044530145e-08
Position 615: 2.0661498366939856e-08
Position 104: 2.0606076836504652e-08
Position 358: 1.8245593147865353e-08
Position 314: 1.6410619376610464e-08
Position 340: 1.3337613011722525e-08
Position 631: 1.1815277165073165e-08
Position 342: 1.1097504839090234e-08
Position 275: 9.755060663363289e-09
Position 277: 9.085300349625063e-09
Position 106: 8.468319197023464e-09
Position 5153: 7.349194060523253e-09
Position 728: 6.930291515580131e-09
Position 5322: 5.192593919967845e-09
Position 5540: 4.58606884300239e-09
Position 5298: 3.6493604760963237e-09
Position 691: 1.283283306032419e-09
Position 5894: 9.041214843445242e-10
Position 5930: 7.289768375157437e-10
Position 58: 6.608851084116405e-10
Position 5800: 3.8920502688214377e-10
Position 5897: 3.875067517565432e-10
Position 5798: 3.3726506366790643e-10
Position 5647: 2.4869001899462755e-10
Position 129: 2.079415631460518e-10
Position 5884: 1.4759665518396052e-10
Position 5411: 1.3681509162065899e-10
Position 5915: 1.1358935613171764e-10
Position 6102: 9.638140272993655e-11
Position 5872: 8.565080671083947e-11
Position 5828: 7.375679533339198e-11
Position 714: 6.944856835485507e-11
Position 5666: 6.425278586818067e-11
Position 260: 6.343714738453453e-11
Position 5906: 4.781599915301937e-11
Position 722: 4.6863259875785107e-11
Position 6170: 2.5414554865667425e-11
Position 740: 2.4438234015357445e-11
Position 319: 1.475890925716286e-12
Position 5852: 2.812600037016727e-13
Position 5702: 1.77808971690238e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 6146: 0.9987763260534852
Position 5561: 0.9956646639630807
Position 4943: 0.9821953640636426
Position 4530: 0.8590820761981078
Position 3855: 0.4826487352402501
Position 4036: 0.06668574653784812
Position 3208: 0.06248888991627564
Position 3821: 0.04822973514890914
Position 4033: 0.03600516731373718
Position 1510: 0.029774483898306333
Position 4257: 0.029373624330715848
Position 4453: 0.025020861807113062
Position 4094: 0.02384716652591033
Position 3802: 0.020571993961788593
Position 4373: 0.019707172692553034
Position 3182: 0.015578340047007698
Position 3089: 0.009036967311223935
Position 4284: 0.00885433793920104
Position 4956: 0.008121796358719107
Position 1023: 0.007314968414244183
Position 3039: 0.007156346374087517
Position 4097: 0.006762371239931052
Position 967: 0.006697686278245028
Position 565: 0.006185543664376596
Position 3782: 0.005389913806211516
Position 4170: 0.005260829642086248
Position 4351: 0.00513837152963427
Position 1339: 0.004262053517206167
Position 2829: 0.004106404275251081
Position 3222: 0.00404972089368938
Position 562: 0.003903060348796147
Position 3762: 0.0034339328176179774
Position 1492: 0.0031955012891098653
Position 537: 0.0030197428377092554
Position 5869: 0.0027374659673388745
Position 4716: 0.0027104210048492644
Position 4753: 0.0023472714316482685
Position 5872: 0.002312296110810924
Position 4719: 0.00212513973383019
Position 6341: 0.002025458642124906
Position 6333: 0.001978051609128135
Position 4680: 0.001907890572583315
Position 1747: 0.0018250620496720804
Position 4977: 0.0016140971111692744
Position 4632: 0.001600183566728724
Position 4750: 0.001599445200565114
Position 2810: 0.001558724776370238
Position 653: 0.0014656213483492534
Position 694: 0.0014564146530946084
Position 1708: 0.0013804160440086066
Position 1296: 0.0012129427767651254
Position 1554: 0.001178287830237757
Position 3005: 0.0011194422097047113
Position 2989: 0.0008511125589893792
Position 794: 0.0008361916715722992
Position 847: 0.0007609475260969275
Position 2886: 0.000741585588392731
Position 5283: 0.0007264119854819695
Position 5839: 0.0007164658772053186
Position 3341: 0.0007097362538380223
Position 2253: 0.0006435643030151418
Position 6310: 0.0006342346355284967
Position 3085: 0.0005723064699418106
Position 6533: 0.0005575723079299186
Position 5590: 0.0004515067730794737
Position 3767: 0.00043270148403872123
Position 4299: 0.000425323739982724
Position 3250: 0.0004163596702884106
Position 5833: 0.0004071369956948861
Position 1456: 0.00039658470234477176
Position 1221: 0.00038685814395082475
Position 350: 0.00037557008763621674
Position 2071: 0.00031210978134125984
Position 3539: 0.0003084213787890195
Position 2966: 0.0002992582481751558
Position 6170: 0.0002989148342699934
Position 516: 0.0002884319826524288
Position 6317: 0.00028766583475739303
Position 770: 0.0002804197001503372
Position 1778: 0.0002772409665177835
Position 2323: 0.00025980179664310623
Position 3274: 0.0002449771319676472
Position 5681: 0.000243155258543265
Position 5642: 0.00023279052311154337
Position 1155: 0.0001974673501082351
Position 5105: 0.00018398967089941265
