Gene = A16
index = 1
Annotated 5SS: [1082 1515]
Annotated 3SS: [1385 1582]
SMsplice 5SS: [1082 1515]
SMsplice 3SS: [1385 1582]
top_k =  1000
Partition function (log Z): 4.414705923009382

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9955128923012522
Position 1082: 0.9914846718238112
Position 5: 0.12156286338846876
Position 662: 0.025649590734547645
Position 1328: 0.013226074362582253
Position 1227: 0.012023408552910488
Position 789: 0.0089656156877406
Position 1289: 0.0035756667758140375
Position 1315: 0.0028316007484034443
Position 1651: 0.0013863113847539577
Position 199: 0.0012585179300238268
Position 461: 0.0009958322059445384
Position 1120: 0.0006769800906625563
Position 1115: 0.0006699604256384964
Position 381: 0.0006675881855269432
Position 1331: 0.0004010850587567771
Position 306: 0.00038566394264356353
Position 1086: 0.00035892377921188456
Position 564: 0.0003279441388602122
Position 1176: 0.00031192911812501114
Position 553: 0.0002475996478416119
Position 1501: 0.00019753077187032478
Position 838: 0.0001962023144931119
Position 521: 0.00011633327115982146
Position 1127: 0.00011065744187870303
Position 168: 0.00010706147639062784
Position 1642: 9.023591741600401e-05
Position 1200: 8.42707466887504e-05
Position 27: 6.759902140380368e-05
Position 364: 5.398758772186923e-05
Position 393: 5.1828485474397085e-05
Position 145: 5.020988319087224e-05
Position 793: 3.0526144212831874e-05
Position 1180: 2.7013571579067063e-05
Position 986: 2.666891047569641e-05
Position 209: 2.5760938639984956e-05
Position 653: 2.4951754903604965e-05
Position 643: 1.891179344402332e-05
Position 1658: 1.605693889036069e-05
Position 245: 1.5879562556589567e-05
Position 647: 1.3448975402844488e-05
Position 1519: 1.2417334555646456e-05
Position 1636: 8.098575899660697e-06
Position 201: 7.3501251203050706e-06
Position 902: 6.8919555481390815e-06
Position 1351: 6.401748136724496e-06
Position 680: 5.746600103426115e-06
Position 768: 5.192037850382569e-06
Position 997: 4.638680724946549e-06
Position 911: 3.955941782100962e-06
Position 203: 3.056516770451734e-06
Position 22: 1.717350920442815e-06
Position 974: 1.5449607072047193e-06
Position 1157: 1.2799294432812213e-06
Position 1355: 5.101177430327949e-07
Position 1457: 3.5730989627239797e-07
Position 361: 3.3762682079146117e-07
Position 589: 2.1943206599589163e-07
Position 892: 1.4256788551706485e-07
Position 640: 1.2448579098432142e-07
Position 1608: 1.133768579678332e-07
Position 1557: 7.645717627936181e-08
Position 989: 6.97025748653269e-08
Position 1553: 6.356350479032129e-08
Position 1442: 2.2687568770942815e-08
Position 1386: 2.4571013062647216e-09
Position 610: 1.3848665477175282e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1582: 0.9956101061033069
Position 1385: 0.9948052801438707
Position 81: 0.06878065054776636
Position 61: 0.03291260419678968
Position 756: 0.017723633015614308
Position 1157: 0.01742899070173435
Position 78: 0.01653116937553486
Position 1200: 0.014202078130631944
Position 907: 0.010429125292406412
Position 1354: 0.004685877083314442
Position 629: 0.002817658155933235
Position 1704: 0.0015049346357002584
Position 478: 0.0010070901071000241
Position 919: 0.0009688294424192206
Position 564: 0.0006839611481756118
Position 820: 0.000596052176383869
Position 199: 0.00044338374641268035
Position 985: 0.0003650622640343824
Position 781: 0.000347684711491478
Position 1217: 0.0002997696955642019
Position 823: 0.00024260525003899126
Position 937: 0.00020071525446884754
Position 886: 0.00016311856236751038
Position 974: 0.00015870740326285563
Position 1020: 0.00014401909249906367
Position 168: 0.00010592396686613487
Position 527: 7.397821003508945e-05
Position 567: 6.546559294158392e-05
Position 853: 6.175143159407845e-05
Position 1606: 5.8668618352215936e-05
Position 1602: 4.742578519724494e-05
Position 1331: 4.679261598214056e-05
Position 270: 2.8095897644019372e-05
Position 1294: 2.6943023378256307e-05
Position 407: 2.3441699621590822e-05
Position 97: 2.236671097958207e-05
