Gene = amd
index = 1608
Annotated 5SS: [2162]
Annotated 3SS: [2639]
SMsplice 5SS: [197 493]
SMsplice 3SS: [ 257 2639]
top_k =  1000
Partition function (log Z): 1.402297760320313

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9648874389501352
Position 197: 0.8588968663342579
Position 2162: 0.20773601780801976
Position 2253: 0.1792745374147132
Position 190: 0.126633351167663
Position 1421: 0.1209700675466042
Position 1328: 0.11675735232641662
Position 3340: 0.039263076293245554
Position 1198: 0.02771770054274973
Position 2547: 0.02194948081579983
Position 1082: 0.01689712314014245
Position 1746: 0.016302158916086697
Position 449: 0.015356011166490432
Position 2859: 0.015062446839931536
Position 661: 0.014694565384438791
Position 2263: 0.005961935663421111
Position 2355: 0.005579011921620335
Position 199: 0.004910073003314107
Position 3568: 0.004300660171002568
Position 1364: 0.003369791041357996
Position 510: 0.0032077908225097416
Position 3549: 0.0023825298020707496
Position 2257: 0.0018010774303492461
Position 1802: 0.0015187337186999385
Position 3652: 0.0014616612207310083
Position 1845: 0.001309907845379974
Position 1047: 0.0010681305069652873
Position 2137: 0.0010209148595217998
Position 36: 0.0009406676830569195
Position 2177: 0.0009373616368416323
Position 2531: 0.0009156196083953816
Position 2854: 0.0008540556293069656
Position 2314: 0.0007218185828059177
Position 2403: 0.0006981412416634863
Position 81: 0.0006373047440956568
Position 3120: 0.000601224311181181
Position 517: 0.0005972931372695509
Position 28: 0.0005240391795069133
Position 2511: 0.0004930243745510227
Position 488: 0.0004896961016377765
Position 2114: 0.00042838940382840636
Position 2246: 0.00038131440163441496
Position 2166: 0.000362556633786377
Position 1425: 0.000357673159723927
Position 1694: 0.00035402802994132166
Position 1383: 0.00034392340282925486
Position 1548: 0.0003285694185939051
Position 1571: 0.00032773866843655296
Position 3672: 0.0003257614028560596
Position 1931: 0.00030619231935706987
Position 2101: 0.0002937485227554937
Position 2288: 0.0002914794868708437
Position 3143: 0.0002901228733276983
Position 2496: 0.00028319479169148837
Position 1428: 0.00026824375670648007
Position 377: 0.00025772974172476055
Position 1024: 0.00023426518995571174
Position 1078: 0.0002149260383329457
Position 2751: 0.00019174930739183278
Position 886: 0.0001840326119058303
Position 3896: 0.00016557651841059648
Position 1067: 0.00016226198291698204
Position 3854: 0.00016182137530348288
Position 1686: 0.00013967241241976305
Position 1033: 0.0001282856961447053
Position 3175: 0.00012825385356130176
Position 571: 0.00010922464322115632
Position 1468: 0.00010407760824879657
Position 3288: 0.00010029469486285241
Position 1438: 9.7776783672713e-05
Position 2170: 9.092924681163074e-05
Position 203: 8.370354807145245e-05
Position 343: 8.124927265711998e-05
Position 1523: 7.77590800200876e-05
Position 1809: 7.466479112555964e-05
Position 21: 7.249657660914974e-05
