Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  1000
Partition function (log Z): 1.3399134356123081

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9930381358448489
Position 615: 0.8956305919671427
Position 653: 0.05629453175112469
Position 619: 0.041158815982216476
Position 1384: 0.0407988889353738
Position 412: 0.024700422426274925
Position 1392: 0.014116549042334002
Position 1096: 0.002642277592973336
Position 999: 0.001969540636308124
Position 304: 0.001315990625159214
Position 606: 0.0011750192031212815
Position 730: 0.0011624577524669037
Position 648: 0.000905765417974421
Position 1327: 0.0007178306298610851
Position 1405: 0.00042873898014807865
Position 633: 0.00032992934769804887
Position 1121: 0.0002215137624290933
Position 47: 0.00015377324179750677
Position 30: 0.0001425679371620312
Position 220: 0.00010822902633594957
Position 452: 8.535457782167288e-05
Position 60: 8.218758964383044e-05
Position 1357: 7.846964594199482e-05
Position 905: 4.42841785280736e-05
Position 766: 4.330262005181543e-05
Position 622: 4.161297059776165e-05
Position 1585: 4.129001848158965e-05
Position 946: 3.938724079646562e-05
Position 880: 3.314789874021464e-05
Position 256: 3.21347352296847e-05
Position 1296: 1.1481799961605991e-05
Position 973: 8.774157003093068e-06
Position 526: 7.902389247803862e-06
Position 1025: 7.469790510821724e-06
Position 1065: 3.9961753610832445e-06
Position 259: 2.5961096359651368e-06
Position 1012: 1.945542328789989e-06
Position 336: 1.6713306917602545e-06
Position 1023: 1.5655875477588254e-06
Position 130: 1.2282305018277123e-06
Position 1471: 1.1151410883216522e-06
Position 1724: 1.078134483519719e-06
Position 916: 8.619234391789611e-07
Position 1003: 8.527709549710779e-07
Position 511: 8.423971515884299e-07
Position 127: 6.099450366456981e-07
Position 1766: 5.713238717663606e-07
Position 1443: 4.823474808083803e-07
Position 864: 4.789373792368397e-07
Position 1641: 4.2798943045989967e-07
Position 1741: 3.29970115293094e-07
Position 1542: 3.032039232550468e-07
Position 831: 1.1254644318224945e-07
Position 1560: 4.502332918498812e-08
Position 1621: 2.624902640311112e-08
Position 1230: 6.776032164217346e-10
Position 783: 3.6248171764295627e-10
Position 1161: 2.2838646109866133e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9971332757199488
Position 1176: 0.9707249402799977
Position 1464: 0.04167311476276491
Position 485: 0.02429020627997193
