Gene = nbs
index = 1814
Annotated 5SS: [  90  977 2569]
Annotated 3SS: [ 154 1033 2628]
SMsplice 5SS: [ 977 1583 2321 2569]
SMsplice 3SS: [1033 2110 2368 2628]
top_k =  1000
Partition function (log Z): -5.407268149248766

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9903263267171899
Position 2321: 0.5569804624244672
Position 1583: 0.4002939734331854
Position 977: 0.37293534622388413
Position 94: 0.23214971206748305
Position 918: 0.14157253927627877
Position 975: 0.12160829888927023
Position 962: 0.11669638692485544
Position 373: 0.05882612968660136
Position 1337: 0.05040534888699862
Position 1612: 0.030439666728326053
Position 448: 0.027342428688344366
Position 103: 0.0203582804378267
Position 2271: 0.020067524780475073
Position 819: 0.014324895934660202
Position 73: 0.008476632233349359
Position 1283: 0.008419580673750818
Position 2288: 0.008190171877822495
Position 872: 0.006933319643678533
Position 2045: 0.006926246281601543
Position 1874: 0.005349010275151542
Position 1264: 0.005212053037623065
Position 1168: 0.004506877849441652
Position 2318: 0.004256896879739028
Position 904: 0.0038902491148531623
Position 462: 0.003584106739949026
Position 1261: 0.0035396056037714204
Position 26: 0.003234747947414415
Position 1954: 0.0029269993854556167
Position 2308: 0.002788855330900112
Position 761: 0.002496898691109055
Position 1164: 0.0018169465611892488
Position 899: 0.0017048955262278826
Position 1071: 0.0015707716827470805
Position 165: 0.0014990123668301228
Position 1134: 0.0014618130106700312
Position 54: 0.0014533652096739196
Position 1558: 0.0013709562882868002
Position 1519: 0.00126824098909985
Position 1903: 0.0011782219463940529
Position 1395: 0.0011102754642310928
Position 595: 0.0011006684220684101
Position 1008: 0.0010147481759620965
Position 1058: 0.0009489610685667117
Position 2223: 0.0007646926647015707
Position 60: 0.0007445565527458423
Position 466: 0.0007177021518695646
Position 2559: 0.0006251677126129165
Position 589: 0.000612381608632873
Position 2690: 0.0005078744464278042
Position 2325: 0.0004592697559852353
Position 541: 0.0004461286367721141
Position 403: 0.0004043225395483977
Position 2563: 0.000384169457106726
Position 190: 0.000297180207487065
Position 2695: 0.00028542040216029605
Position 1272: 0.00027154594315556454
Position 874: 0.0002629022946503979
Position 242: 0.000231888915905536
Position 1838: 0.00019987813682488816
Position 564: 0.00019493929857997743
Position 829: 0.000187166983627246
Position 1052: 0.00012910426949169708
Position 910: 0.00011797102385852484
Position 1906: 9.959022989969086e-05
