Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  1000
Partition function (log Z): -4.738498992685707

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9423797490553795
Position 47: 0.5962270919578946
Position 61: 0.11942762377277794
Position 405: 0.02444044573906732
Position 638: 0.012913285073563227
Position 256: 0.009638683410471542
Position 422: 0.0030843199032378056
Position 703: 0.002252362140626481
Position 678: 0.0019488954301905346
Position 228: 0.001450380056834357
Position 219: 0.0010406610838571335
Position 706: 0.0009438137865234783
Position 311: 0.0008322745819907708
Position 672: 0.0004336604492551818
Position 713: 0.00015437993455145744
Position 766: 8.029188660991699e-05
Position 604: 1.9715570429297314e-05
Position 389: 1.1279059756734014e-05
Position 104: 1.0712396223460007e-05
Position 595: 7.273626441186521e-06
Position 29: 7.156284437286114e-06
Position 565: 6.208144709873641e-06
Position 138: 4.28752703018903e-06
Position 91: 2.151431751978695e-06
Position 129: 1.9955543997783007e-06
Position 556: 1.5382992066132157e-06
Position 488: 1.3431577894032883e-06
Position 778: 1.2927639747543744e-06
Position 619: 1.060885135245119e-06
Position 107: 1.0449073779808952e-06
Position 301: 6.019530267923573e-07
Position 131: 2.9092898690683363e-07
Position 121: 2.902249510236151e-07
Position 491: 1.7856391655320915e-07
Position 580: 1.3411105658931464e-07
Position 119: 4.1223372639542424e-08
Position 812: 1.5468368728947076e-08
Position 761: 1.3583052961041904e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9600848216826484
Position 119: 0.6723677406925291
Position 475: 0.022990639721503635
Position 399: 0.022689742843928475
Position 294: 0.018844446647474176
Position 773: 0.004379690934507062
Position 460: 0.0038277514231929446
Position 310: 0.003604254325509812
Position 793: 0.002357481660738244
Position 171: 0.00216542613859178
Position 481: 0.0013015179451700937
Position 778: 0.0009030809422450374
Position 832: 0.0004011929472814423
Position 556: 0.0002675022279464031
Position 499: 0.00018187178256827175
Position 589: 0.00016941778414105197
Position 333: 0.00016022822559023998
Position 260: 9.177549949113939e-05
Position 656: 8.206180736293436e-05
Position 562: 6.930175666584133e-05
Position 565: 6.803722474053552e-05
Position 514: 4.764510800347343e-05
Position 352: 4.0600729570029645e-05
Position 604: 3.205029569271646e-05
Position 535: 2.346390979029344e-05
Position 91: 2.1744740085954696e-05
Position 689: 2.023446529604099e-05
Position 442: 1.9946874938211534e-05
Position 367: 1.8120670590647108e-05
Position 538: 1.6250071571577307e-05
Position 508: 1.0975669131146481e-05
Position 198: 9.472098524970483e-06
Position 488: 8.704863371696383e-06
Position 175: 7.653148505018803e-06
Position 364: 6.153790091080354e-06
Position 430: 5.359328057743029e-06
Position 331: 4.451766340483826e-06
Position 527: 3.7493838417843375e-06
Position 517: 3.028899347613041e-06
Position 416: 2.8563142261880754e-06
Position 601: 2.0877580298495065e-06
Position 595: 1.8606001862420029e-06
Position 177: 1.599222549305701e-06
Position 880: 1.5943724361513632e-06
Position 842: 1.4489884793116008e-06
Position 151: 1.338286620816158e-06
Position 186: 1.2049757985764015e-06
Position 356: 1.1897409679180682e-06
Position 703: 1.0798366049179237e-06
Position 411: 1.0222642154419924e-06
Position 706: 9.087255912583445e-07
Position 383: 5.15927241124674e-07
Position 183: 2.4393330486170325e-07
Position 190: 1.1460892067770751e-09
Position 327: 7.198602842953857e-10
Position 181: 4.60547098763566e-10
Position 79: 4.2516058857570267e-10
Position 377: 8.82899954429597e-11
Position 374: 8.517685338891715e-11
Position 404: 2.1105690945568184e-11
Position 371: 8.10607851492906e-12
Position 358: 1.0622931475141158e-12
