Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
top_k =  1000
Partition function (log Z): -0.39826819812706626

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.9665332202694092
Position 430: 0.9353548564654257
Position 456: 0.05530222326829317
Position 1209: 0.021295273662512496
Position 630: 0.00691873579626531
Position 25: 0.004429541075967428
Position 451: 0.0037275594354786346
Position 238: 0.003589433576933874
Position 605: 0.0011693080427885715
Position 739: 0.0011621173344413518
Position 862: 0.0010317137672496664
Position 1280: 0.0009952059410511009
Position 231: 0.0007738348752376778
Position 1224: 0.00046693086134428616
Position 891: 0.0002606336336299943
Position 14: 0.0002246755934036015
Position 1170: 0.00019029071052931813
Position 96: 0.0001252929226625514
Position 1232: 0.00010362036428722379
Position 1177: 0.0001014143323899812
Position 339: 6.00738925131126e-05
Position 1185: 5.8677936303948294e-05
Position 834: 4.182728736888584e-05
Position 1113: 2.9085094243460583e-05
Position 304: 2.741008854387938e-05
Position 904: 2.4235783773374958e-05
Position 1034: 2.3244480309956145e-05
Position 170: 2.099357848050102e-05
Position 885: 1.8539909598066975e-05
Position 1285: 1.787528998778164e-05
Position 976: 1.6640735638233224e-05
Position 1008: 1.5231578165850537e-05
Position 45: 1.3598183709660852e-05
Position 1021: 1.1235356196236323e-05
Position 297: 1.0353884146264891e-05
Position 229: 1.0200040045681185e-05
Position 909: 9.892365119669341e-06
Position 1320: 6.126451420111131e-06
Position 1356: 5.992424374232526e-06
Position 1317: 5.9812569505599884e-06
Position 1404: 3.3704413246207163e-06
Position 179: 3.2726078546394977e-06
Position 589: 2.536827181098263e-06
Position 898: 2.1517537515125307e-06
Position 1143: 1.9987566176834877e-06
Position 749: 1.490969736175367e-06
Position 489: 1.3023135215449095e-06
Position 843: 9.983202564209337e-07
Position 52: 7.620639093090826e-07
Position 744: 3.7915264353055466e-07
Position 742: 2.402717143314336e-07
Position 1395: 1.6623265173460564e-07
Position 572: 1.1489256332566195e-07
Position 1382: 3.8747370621168047e-08
Position 495: 2.849878714423911e-08
Position 63: 2.029155969001684e-08
Position 545: 1.2507450722659374e-08
Position 55: 8.36794374398066e-09
Position 1256: 3.8817150650855465e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9857173185331085
Position 1279: 0.9489108894083083
Position 1224: 0.01931544789848406
Position 495: 0.0099309532030198
Position 1021: 0.006870507866231533
Position 976: 0.0055592846638319844
Position 1066: 0.004879890923141173
Position 693: 0.004227526165909058
Position 1299: 0.0034481249648972683
Position 336: 0.0028137819302417816
Position 699: 0.0026430064936422137
Position 1342: 0.0016351027854280404
Position 294: 0.0015478899794343275
Position 1077: 0.0012021501874550978
Position 89: 0.00114589386448027
Position 572: 0.001121017314056
Position 787: 0.0005801207387004897
Position 1387: 0.00042972008224150297
Position 317: 0.0003024497395387021
Position 1365: 0.0002426109539552311
Position 1092: 0.00023430807264068074
Position 654: 0.00019435422738723894
Position 1157: 0.0001610985627516596
Position 542: 0.00011194260065793664
Position 1170: 0.00010391031499543833
Position 648: 9.894478393866948e-05
Position 1352: 7.535954341797973e-05
Position 1085: 7.50021866324198e-05
Position 1185: 7.031706862583288e-05
Position 1429: 6.292667216450908e-05
Position 1403: 5.487545588467365e-05
Position 266: 4.8332494553932e-05
Position 793: 4.8172354259977675e-05
Position 926: 3.8787159358102424e-05
Position 1311: 3.768518705983082e-05
Position 227: 3.255533211304818e-05
Position 1451: 2.8606852450977106e-05
Position 1369: 2.7850896276153202e-05
Position 149: 2.7002246702410277e-05
Position 915: 1.6096904366702788e-05
Position 880: 1.6035273456799984e-05
Position 1308: 1.2534415632083506e-05
Position 716: 1.2063761667023263e-05
Position 651: 1.1547104491237624e-05
Position 705: 1.0967778737301479e-05
Position 594: 1.0878418605281086e-05
Position 1426: 1.0358325179021276e-05
Position 1314: 9.505226942770418e-06
Position 728: 5.752073440929074e-06
Position 621: 4.2591461285135155e-06
Position 142: 4.004876538627079e-06
Position 209: 3.65108238918622e-06
Position 556: 2.963702925493619e-06
Position 1317: 2.4869671549286337e-06
Position 553: 1.8658833047096906e-06
Position 1459: 1.7089725841234135e-06
Position 369: 1.2804186751549358e-06
Position 1401: 9.731657067883028e-07
Position 581: 8.684119753873431e-07
Position 826: 8.44893821004675e-07
Position 170: 6.99592834207758e-07
Position 550: 6.98054261976714e-07
Position 1323: 6.22866503321719e-07
Position 1256: 5.746778334618104e-07
Position 343: 4.179595457473273e-07
Position 376: 3.5435925965997405e-07
Position 167: 3.465684158478246e-07
Position 738: 2.843090346569559e-07
Position 391: 2.0541438378842232e-07
Position 179: 1.996425750111788e-07
Position 160: 1.8914355955470574e-07
Position 380: 1.8190935081065417e-07
Position 630: 1.5144997584336075e-07
Position 795: 1.305712467304818e-07
Position 128: 1.0630398304851704e-07
Position 257: 9.143217820500502e-08
Position 451: 7.733795337526567e-08
Position 834: 7.531594877193888e-08
Position 1395: 5.399933485761989e-08
Position 1143: 4.8502683257545466e-08
Position 416: 4.11515127237227e-08
Position 663: 3.275120910230281e-08
Position 203: 3.0585843841901535e-08
Position 810: 5.2509603369543236e-09
Position 229: 2.7879812744912576e-09
Position 428: 2.087811681808827e-09
Position 801: 1.9986069119550203e-11
Position 438: 5.195325259901057e-12
