Gene = aust
index = 1617
Annotated 5SS: [290]
Annotated 3SS: [355]
SMsplice 5SS: [290]
SMsplice 3SS: [355]
top_k =  1000
Partition function (log Z): -0.8674465136908649

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9975223670361452
Position 747: 0.00787722556108001
Position 679: 0.007367362009724996
Position 203: 0.004783350939471066
Position 193: 0.0005001343852380179
Position 801: 0.00012225934212025194
Position 643: 5.5943120604061144e-05
Position 200: 4.681380947467393e-05
Position 258: 3.482316755935397e-05
Position 175: 3.2501120059133465e-05
Position 607: 2.7400806790895507e-05
Position 631: 2.727587802579825e-05
Position 783: 2.3755877716293986e-05
Position 487: 1.3592414437163935e-05
Position 323: 1.03169347015771e-05
Position 514: 9.662663197339925e-06
Position 598: 7.324089497577136e-06
Position 100: 6.444091102963714e-06
Position 924: 3.938697864114277e-06
Position 712: 2.3926578744195785e-06
Position 451: 1.680663709927826e-06
Position 554: 1.3592103989250657e-06
Position 574: 1.208129207837815e-06
Position 4: 1.1285667261263882e-06
Position 308: 1.1133806938822335e-06
Position 921: 9.177486458341402e-07
Position 467: 8.403790486077667e-07
Position 25: 3.181379101403365e-07
Position 329: 2.4555314023944947e-07
Position 877: 6.329350418441245e-08
Position 544: 3.5222238463336153e-08
Position 869: 3.239441741219917e-08
Position 380: 2.3430527266026673e-08
Position 817: 2.071003843283918e-08
Position 62: 1.5699963169378128e-08
Position 896: 7.991924995405575e-09
Position 398: 7.55684258993088e-09
Position 108: 7.18099437984888e-09
Position 843: 5.64556985925588e-09
Position 857: 4.707715689465484e-09
Position 849: 4.068325157786711e-09
Position 890: 3.9697086973408285e-09
Position 881: 3.1564858749556793e-09
Position 884: 3.0095753663500756e-09
Position 854: 2.045015138593143e-09
Position 338: 1.3332805166155082e-09
Position 875: 1.2209827643945403e-09
Position 59: 1.0751042800304212e-09
Position 392: 4.4263112405205515e-10
Position 395: 8.256486134415305e-12
Position 384: 5.432951443835269e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 355: 0.9980577284692684
Position 817: 0.00709598554328017
Position 854: 0.004373790773995463
Position 757: 0.0035691005333067004
Position 264: 0.002288526293133169
Position 392: 0.0008804090060874728
Position 282: 0.0006534824954789493
Position 380: 0.00046369153653982235
Position 417: 0.0003784123357543802
Position 991: 0.0002895007193161121
Position 363: 0.00019190244630339754
Position 766: 0.00014257876891563394
Position 678: 5.9540144040638625e-05
Position 590: 9.193942509218906e-06
Position 549: 9.17629203422147e-06
Position 869: 7.425233283912407e-06
Position 777: 6.863918496335599e-06
Position 206: 1.8222436434791595e-06
Position 621: 8.509633845783053e-07
Position 55: 8.472954111297301e-07
Position 241: 4.709263086720188e-07
Position 654: 3.3732092361527273e-07
Position 192: 3.24693298780815e-07
Position 684: 2.7338402103144875e-07
Position 441: 2.4793672613433515e-07
Position 525: 2.3457083891427835e-07
Position 66: 2.2258043601805222e-07
Position 234: 1.7869923023858675e-07
Position 284: 1.5974184436129247e-07
Position 636: 1.4502648262779135e-07
Position 81: 9.88864733399197e-08
Position 533: 9.601123550432373e-08
Position 318: 8.34096977853272e-08
Position 48: 5.1761281114668637e-08
Position 168: 4.2933810808114025e-08
Position 458: 3.823822123335007e-08
Position 321: 1.8042217834684186e-08
Position 100: 1.7740099384477017e-08
Position 141: 1.5994600756521968e-08
Position 219: 1.491831160104944e-08
Position 72: 1.321759918562207e-08
Position 94: 7.066659664226608e-09
Position 174: 6.0846468811258894e-09
Position 78: 5.645791433279226e-09
Position 159: 4.7692688986430425e-09
Position 172: 6.777088148867293e-10
Position 216: 5.477764539334762e-10
Position 150: 5.368148849676372e-10
Position 138: 1.79692640566436e-10
Position 643: 2.2526744048799575e-11
Position 434: 6.980772412806974e-12
Position 663: 3.778887619205296e-12
Position 508: 1.8380491472520334e-12
Position 289: 1.8216904368967276e-12
Position 467: 1.6402352734114388e-12
Position 155: 6.067866833872718e-13
Position 510: 3.3008446926145904e-13
Position 96: 8.118814314647434e-14
Position 294: 4.8963813416588726e-15
Position 323: 1.3224620634187874e-17
