Gene = NaPi-III
index = 1308
Annotated 5SS: [  119  5397  6533  7202  9677 10250]
Annotated 3SS: [ 5343  5463  6604  9299  9746 10318]
SMsplice 5SS: [  119  5397  6533  7202  9677 10250]
SMsplice 3SS: [ 5343  5463  6604  9299  9746 10318]
top_k =  1000
Partition function (log Z): 10.406648655490635

Sorted 5' Splice Sites (High to Low Probability):
Position 10250: 0.99926323509551
Position 9677: 0.9987865343962694
Position 6533: 0.9924106603148334
Position 7202: 0.9542935866966005
Position 5397: 0.9031991736235954
Position 119: 0.7036244740730072
Position 1794: 0.24489918838969094
Position 5768: 0.14048434273183313
Position 7916: 0.10771003368928926
Position 8678: 0.09471297925673665
Position 1944: 0.09417129311823601
Position 333: 0.08696439153914026
Position 1788: 0.07384619520810223
Position 9816: 0.06376105882415148
Position 9153: 0.05595225165748198
Position 10431: 0.051200336442108536
Position 10607: 0.05097400885708314
Position 329: 0.048668746851213196
Position 87: 0.04791985485982765
Position 5788: 0.02420617367193377
Position 2284: 0.0229896705934999
Position 1732: 0.02267847995099825
Position 1585: 0.021568768694957118
Position 1403: 0.02148712314958551
Position 309: 0.01815550530861602
Position 10642: 0.016236669403747628
Position 726: 0.015190515961731677
Position 5934: 0.015167413484848728
Position 520: 0.014057055946586437
Position 10687: 0.014047764334402085
Position 9819: 0.013241096491771074
Position 2710: 0.01253292309923572
Position 10404: 0.010409928250297728
Position 7823: 0.009842784090113159
Position 8193: 0.009182001617057919
Position 4475: 0.008048152676193486
Position 5659: 0.007739643672463472
Position 8991: 0.007421081452122161
Position 7198: 0.006201693987250189
Position 2030: 0.005884355134862569
Position 10783: 0.005856503087082466
Position 576: 0.005450831207421968
Position 6886: 0.005348536493914213
Position 9072: 0.005091753791907389
Position 7254: 0.005056203683506758
Position 9949: 0.005031223667076641
Position 8908: 0.004877226400587142
Position 9138: 0.004449020948389829
Position 992: 0.003936957468006285
Position 560: 0.003793968518714194
Position 1017: 0.003662944259900757
Position 911: 0.0033908219934912884
Position 243: 0.003081828046112464
Position 245: 0.002961645026072578
Position 1374: 0.002930454244869988
Position 247: 0.0029184880806941184
Position 11093: 0.002776757987404137
Position 249: 0.002373474560037485
Position 8453: 0.002123381862829602
Position 239: 0.0019927711694372138
Position 457: 0.0019680068637788874
Position 8099: 0.0019034864951272493
Position 2523: 0.0017656025261230837
Position 10422: 0.00170107551961087
Position 10059: 0.0016524090674425776
Position 3849: 0.0014757078780088485
Position 5913: 0.001468119204941173
Position 241: 0.0013758132890942794
Position 8740: 0.001362339627962261
Position 461: 0.0012080428927155257
Position 7221: 0.0011374077324009715
Position 188: 0.0011189813437168922
Position 9091: 0.001037615771592109
Position 880: 0.0008572617074186533
Position 1407: 0.000821678889736144
Position 10877: 0.0007854435222757531
Position 313: 0.0007467359766596027
Position 8956: 0.0007462414247026844
Position 5812: 0.0006009426262714879
Position 39: 0.0005559179223426768
Position 10881: 0.0005479889085183212
Position 9686: 0.00053801731098609
Position 6980: 0.0005113401544371753
Position 10780: 0.00047956050877041086
Position 7790: 0.00046679830498295175
Position 6707: 0.00043611633250731255
Position 2033: 0.00043502169644558475
Position 7000: 0.00040319881934524655
Position 6727: 0.0003860562762520455
Position 7117: 0.00038480758552001537
Position 9882: 0.0003703921344789122
Position 6673: 0.0003664255240636063
Position 10254: 0.00036028891584150865
Position 1365: 0.00033855900709341857
Position 918: 0.00033721110911401645
Position 3548: 0.00027508103322288374
Position 1144: 0.00027492786877471786
Position 231: 0.0002727020542809149
Position 10989: 0.0002520655060190524
Position 10413: 0.00024122366703497827
Position 7179: 0.00021948271472831214
Position 8727: 0.00021547052557996382
Position 8177: 0.00020631927107219838
Position 419: 0.00020304568637469444
Position 7261: 0.00019082400774649027
Position 10714: 0.00019028765694032663
Position 7395: 0.00016812440232328105
Position 6518: 0.00016294408708742965
Position 10176: 0.00015969732483601026
Position 6855: 0.00014896931479151717
Position 3373: 0.00014187395852685702
Position 6982: 0.0001397365977370329
Position 1189: 0.00013758489308397353
Position 6858: 0.00013594602170442777
Position 8015: 0.00013013875801548696
Position 6811: 0.000121957942023999
Position 581: 0.00010482902681417125
Position 8857: 9.872360460139453e-05
Position 489: 9.706773759789853e-05
Position 1069: 9.022424326517932e-05
Position 1536: 8.757566112723281e-05
Position 9964: 8.513609365108398e-05
Position 6744: 7.723031666225283e-05
Position 251: 7.03158187457717e-05
Position 315: 6.852380130807066e-05
Position 10408: 6.559999865711461e-05
Position 196: 6.534055074361735e-05
Position 948: 6.369057326870758e-05
Position 6828: 6.234569306624892e-05
Position 10984: 6.0168723249646524e-05
Position 6987: 5.557483032708575e-05
Position 2665: 5.350226331444323e-05
Position 565: 5.0149888250943885e-05
Position 11187: 4.9775206712674745e-05
Position 8258: 4.4771805053860444e-05
Position 123: 4.332701465969237e-05
Position 175: 4.330307513375289e-05
Position 502: 4.1530258187760434e-05
Position 7214: 4.0806664171966545e-05
Position 7582: 3.963897293070886e-05
Position 478: 3.950449011025703e-05
Position 7244: 3.922800916765439e-05
Position 6767: 3.864915930167183e-05
Position 2270: 3.710302598043258e-05
Position 7009: 3.7073983772318744e-05
Position 656: 3.570252154133335e-05
Position 331: 3.318278185700919e-05
Position 6825: 3.292876381213553e-05
Position 42: 3.111645899189724e-05
Position 105: 3.055838752276719e-05
Position 9691: 2.8301321256457836e-05
Position 10444: 2.41574301323915e-05
Position 1284: 2.3495510676560404e-05
Position 1398: 2.078878228780829e-05
Position 1879: 2.053806452773645e-05
Position 606: 1.82507354278556e-05
Position 7379: 1.6551479962112644e-05
Position 11226: 1.5407463402336008e-05
Position 504: 1.5116833213977301e-05
Position 1353: 1.5014999121908605e-05
Position 271: 1.4712672759074407e-05
Position 5819: 1.3593001951256795e-05
Position 481: 1.0928024528775808e-05
Position 253: 1.0473998627409621e-05
Position 650: 9.216636993683352e-06
Position 620: 6.537781932242506e-06
Position 9350: 6.257273032157578e-06
Position 9484: 5.498459452166519e-06
Position 2037: 5.256586629523273e-06
Position 626: 4.748757423538025e-06
Position 11211: 4.499671564136998e-06
Position 10261: 3.867016583230541e-06
Position 10416: 2.97520271722904e-06
Position 9628: 2.783234509645613e-06
Position 9853: 2.0348538736845323e-06
Position 10180: 1.9754307132493742e-06
Position 9433: 1.5150978306551305e-06
Position 10459: 1.1194955930853204e-06
Position 10524: 1.1086039096968815e-06
Position 10500: 7.794629049477244e-07
Position 9570: 6.912597538015812e-07
Position 996: 6.083371812154114e-07
Position 10353: 4.417099745597621e-07
Position 628: 4.1603163811929857e-07
Position 10190: 3.972464356894164e-07
Position 10822: 3.4823004290840994e-07
Position 9398: 2.5526935604518267e-07
Position 10572: 1.5506761616945567e-07
Position 2686: 1.1517774028702587e-07
Position 10335: 1.0903138037926859e-07
Position 10709: 9.526908547673033e-08
Position 465: 7.887173569100024e-08
Position 10566: 7.395141118841984e-08
Position 5654: 7.224052489738651e-08
Position 298: 6.717765552275818e-08
Position 337: 6.508914081118671e-08
Position 10203: 4.4492874656118404e-08
Position 282: 4.370845776308166e-08
Position 10522: 4.020325665594913e-08
